SEZIONE,ricca_257,stampacchia_1038,ferri_381,fortuzzi_5322,casini_69691,terra_544,aiello_1447,palmieri_955,errani_21218,giannini_661,montevecchi_44408,brunelli_53597,TOTALE
418,2,5,2,8,174,3,1,1,73,0,119,120,508
420,1,1,2,8,173,1,4,3,58,1,114,120,486
423,0,6,0,5,172,0,1,3,40,3,108,161,499
425,1,0,0,12,205,1,6,0,52,4,106,110,497
426,2,3,0,11,81,2,9,1,33,1,132,66,341
428,1,1,0,13,167,2,4,0,54,1,115,146,504
429,0,1,1,15,155,2,0,1,55,0,82,105,417
430,0,3,1,15,225,0,1,0,59,1,99,114,518
431,1,4,0,4,144,0,5,6,42,1,82,150,439
433,0,2,1,7,142,0,2,7,41,4,80,176,462
435,0,3,0,7,148,0,2,2,44,3,111,112,432
445,0,1,0,2,28,0,0,0,7,0,15,24,77
