SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
186,0,2,0,8,1,8,32,98,0,2,2,32,2,96,20,1,49,17,370
187,2,0,2,11,1,4,24,120,1,0,3,43,2,104,39,0,60,11,427
190,0,0,1,10,4,8,44,88,0,2,2,25,1,61,98,0,73,29,446
192,0,4,0,13,4,5,44,114,0,1,1,37,2,65,66,1,65,27,449
196,1,1,2,5,6,3,45,85,1,1,2,26,0,57,72,2,62,32,403
199,0,4,1,17,2,9,23,166,2,5,4,70,0,186,56,5,75,18,643
200,1,4,0,19,7,6,33,180,1,4,4,61,3,173,35,2,95,22,650
202,2,2,3,9,2,7,25,170,3,5,3,51,0,101,55,2,69,24,533
203,1,1,0,7,0,7,13,129,0,2,2,46,3,130,35,1,88,9,474
204,0,5,0,16,2,3,15,158,0,3,7,61,1,150,50,2,77,22,572
205,1,0,2,10,3,4,21,151,0,9,1,43,1,114,40,2,85,4,491
206,0,0,2,4,1,9,12,134,2,4,2,39,1,121,32,0,60,16,439
207,0,3,0,11,3,6,16,158,2,5,2,50,1,183,43,3,86,16,588
209,2,1,0,9,3,6,17,164,1,7,1,49,4,116,42,0,62,8,492
211,1,1,0,5,0,3,15,188,0,0,3,44,3,131,40,0,84,16,534
213,0,1,1,18,3,6,23,160,1,8,1,48,2,128,37,5,73,16,531
218,2,2,1,8,2,3,15,127,5,6,1,60,3,136,37,3,52,12,475
219,0,4,1,6,0,6,31,199,3,6,2,80,1,103,37,2,64,11,556
220,0,7,0,9,13,8,21,211,1,3,3,48,1,88,47,2,60,16,538
226,0,2,0,7,0,7,8,118,1,2,1,18,1,99,28,0,58,6,356
227,0,0,0,10,4,1,9,128,0,2,1,26,6,68,26,1,59,8,349
231,1,4,0,4,0,1,4,88,0,2,0,22,1,110,21,1,53,7,319
236,1,2,1,2,1,4,7,171,1,8,1,40,1,92,25,1,69,13,440
237,0,0,1,13,1,6,27,240,1,6,4,74,3,208,44,1,82,15,726
239,3,4,0,3,3,2,15,145,3,4,3,28,3,105,28,3,58,11,421
240,1,6,0,10,1,4,31,156,3,4,1,52,3,197,38,5,87,16,615
245,1,0,2,5,4,4,13,137,1,5,1,34,2,158,33,0,79,9,488
247,0,2,0,6,6,6,15,136,1,1,2,42,0,157,53,2,115,20,564
252,0,2,0,4,0,4,15,182,1,4,2,40,0,83,21,0,69,16,443
257,1,0,0,8,0,2,22,130,2,6,2,29,1,127,35,2,92,14,473
259,1,2,0,4,3,6,17,158,0,6,1,40,0,126,49,3,78,14,508
260,0,1,0,11,1,5,13,91,0,2,1,39,0,91,23,2,37,13,330
262,0,1,0,27,3,7,20,113,0,0,1,47,2,93,51,0,74,9,448
266,0,0,0,13,2,6,15,80,0,4,1,24,1,66,35,0,46,7,300
268,1,2,0,25,4,5,32,133,3,7,1,42,2,103,27,0,53,19,459
270,2,4,1,10,3,7,18,134,5,7,3,37,3,144,34,0,71,10,493
271,1,6,2,26,0,2,15,86,0,1,0,62,4,99,28,3,70,12,417
275,3,1,1,2,0,4,20,139,0,3,2,35,0,89,49,3,53,8,412
276,1,4,0,20,1,10,20,114,3,1,1,49,3,90,24,1,62,12,416
279,0,2,0,18,1,3,11,117,1,5,2,29,2,106,11,0,39,9,356
281,0,3,0,24,1,5,24,81,2,3,3,38,1,83,39,0,52,7,366
284,0,0,1,14,2,6,11,105,4,5,1,52,3,83,27,2,54,15,385
290,1,0,1,7,3,8,22,130,2,5,0,46,1,87,36,0,72,14,435
292,0,1,0,9,3,3,25,111,1,5,0,37,1,117,19,0,40,7,379
293,1,2,0,10,2,1,21,129,0,4,0,34,1,108,29,2,55,11,410
298,1,5,1,6,1,1,12,169,1,8,2,47,1,154,35,7,75,12,538
303,1,2,0,9,3,4,10,130,0,1,2,62,2,119,43,1,57,20,466
304,1,2,0,8,0,5,14,120,1,2,2,31,2,121,58,0,76,11,454
308,1,0,0,5,2,6,15,177,0,4,1,39,0,108,19,0,54,11,442
311,0,0,2,11,4,4,16,175,0,5,1,50,0,95,28,0,42,9,442
313,0,0,0,4,1,5,15,197,1,4,0,43,3,83,30,3,69,12,470
315,0,1,1,14,2,13,26,149,4,2,2,49,0,154,26,1,89,19,552
317,0,5,2,4,2,9,13,150,1,4,1,22,0,95,37,4,52,11,412
321,1,2,1,11,4,3,14,125,2,3,2,39,1,125,30,1,61,13,438
324,1,3,0,11,2,4,17,147,1,2,2,24,2,86,33,0,64,12,411
326,1,3,0,9,5,0,4,88,0,4,3,31,0,132,31,1,52,13,377
327,0,1,0,6,8,2,17,144,1,2,0,45,2,137,41,1,64,12,483
329,1,2,0,6,2,7,21,136,1,3,3,43,3,132,37,1,81,12,491
330,1,2,0,11,3,2,21,143,0,3,4,43,3,155,37,1,74,7,510
338,0,5,0,19,146,0,0,0,0,1,7,44,2,134,47,1,61,12,479
340,1,2,0,10,2,5,12,85,0,5,4,43,2,85,15,1,52,6,330
345,1,5,0,8,1,4,13,110,2,9,3,45,1,111,37,3,60,13,426
349,0,4,0,15,1,2,7,75,1,5,2,35,2,87,31,1,43,5,316
350,1,3,0,15,2,5,15,112,3,4,2,58,0,87,14,2,56,6,385
