SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
67,0,0,0,19,1,6,26,107,1,0,1,56,5,117,33,1,40,12,425
69,2,1,0,11,2,5,19,125,0,1,4,40,2,80,39,1,55,11,398
74,1,3,2,5,1,5,12,140,0,3,1,49,0,62,29,1,57,18,389
77,0,6,0,29,2,6,38,110,1,0,2,33,2,130,38,2,53,11,463
87,0,0,0,8,5,7,30,84,0,0,1,66,3,53,63,0,67,12,399
89,0,5,1,17,3,11,39,77,0,1,2,39,1,56,34,2,40,11,339
90,0,0,0,17,1,5,20,87,0,2,1,51,3,81,44,0,69,11,392
91,0,3,1,33,1,12,42,87,2,1,3,49,1,59,33,2,48,9,386
92,0,1,0,25,2,8,29,98,0,4,2,83,1,75,22,0,38,15,403
93,0,0,1,25,4,6,53,84,3,1,2,45,0,56,48,0,36,14,378
107,0,0,2,39,2,6,23,105,1,5,2,46,1,92,31,1,55,14,425
111,1,2,0,10,5,3,11,118,2,2,3,39,0,102,32,0,72,8,410
114,0,6,0,14,3,6,37,131,1,2,1,47,0,69,74,0,54,25,470
116,0,0,1,13,2,7,21,123,2,4,0,49,1,83,30,0,43,16,395
121,0,6,0,11,4,7,15,121,6,0,1,40,3,115,50,7,56,18,460
126,0,0,1,12,2,3,28,128,0,0,1,46,1,84,51,0,57,9,423
130,0,3,1,12,2,7,20,108,0,5,1,42,1,137,31,7,61,15,453
131,0,4,3,5,7,5,20,159,1,1,0,37,1,135,45,2,93,16,534
133,1,6,3,5,3,10,26,150,2,1,0,44,0,139,35,8,89,27,549
135,0,0,1,8,2,2,11,129,1,3,1,31,1,95,47,1,79,11,423
140,0,1,3,9,2,6,42,91,0,0,6,46,2,65,34,2,50,17,376
144,2,5,2,10,3,7,35,101,1,1,2,41,0,55,91,4,38,18,416
145,0,2,0,8,4,6,48,101,1,1,2,43,0,50,69,4,52,23,414
148,0,0,0,15,1,9,47,72,1,3,3,65,0,52,45,3,41,18,375
151,0,0,0,11,1,6,52,92,1,3,2,31,0,64,66,2,70,15,416
153,0,2,0,19,3,5,43,99,1,2,1,49,2,50,61,0,45,20,402
154,0,0,1,5,5,15,68,113,0,1,2,38,2,54,64,1,59,27,455
157,0,3,2,7,5,9,43,120,1,2,0,40,0,56,84,1,69,26,468
160,0,0,0,8,2,12,25,96,3,5,1,37,2,78,59,5,59,20,412
163,0,6,0,11,5,6,45,104,0,2,0,44,1,51,62,2,51,15,405
165,0,6,4,11,10,6,41,146,0,2,2,36,0,56,47,4,58,21,450
168,0,5,1,7,3,11,41,117,1,2,4,31,2,64,62,4,58,28,441
172,0,0,0,0,4,12,36,114,1,0,4,37,3,62,65,5,82,26,451
174,0,6,1,6,5,10,27,116,1,5,4,42,0,75,39,3,84,22,446
178,1,3,1,11,2,7,35,129,0,1,3,51,1,75,41,0,68,22,451
180,0,1,0,13,4,3,11,104,1,1,0,34,1,92,52,4,63,20,404
183,2,3,0,4,6,5,26,119,1,1,3,40,0,78,66,1,56,18,429
188,0,2,1,7,3,9,9,107,0,1,4,41,0,103,44,2,70,19,422
189,1,3,3,6,7,10,35,104,0,0,0,24,0,64,83,1,60,26,427
191,1,4,3,8,8,12,59,109,1,0,0,24,0,41,109,5,66,27,477
193,0,3,1,11,10,7,39,110,0,0,1,28,3,40,103,7,79,35,477
194,0,1,4,5,10,8,31,112,1,1,5,31,0,39,113,5,75,30,471
195,0,1,6,7,7,8,45,104,0,0,0,60,0,66,67,4,82,29,486
198,0,1,1,10,1,2,34,151,0,3,2,49,3,172,46,0,74,17,566
201,0,5,1,10,1,5,27,141,1,7,5,34,1,148,33,0,58,14,491
208,0,2,2,8,1,4,16,116,2,9,2,30,4,119,32,2,72,15,436
214,1,3,0,16,2,4,18,165,0,5,3,62,0,92,38,1,57,19,486
216,2,2,1,13,2,4,17,145,2,6,4,39,0,85,42,1,67,20,452
217,0,3,2,10,1,6,19,156,0,3,3,34,3,141,44,2,76,15,518
224,1,2,0,8,2,12,8,148,1,1,3,36,2,116,33,2,63,15,453
228,1,3,0,3,0,7,4,122,2,5,0,34,2,101,25,2,57,4,372
234,0,5,1,4,3,1,14,166,0,3,2,42,2,126,53,3,82,18,525
243,0,0,0,7,2,5,13,120,1,7,2,22,1,114,27,0,61,7,389
244,0,0,1,9,4,1,10,145,0,5,3,30,1,137,31,2,73,15,467
246,3,1,0,7,3,3,15,153,1,7,2,31,1,113,50,0,56,9,455
251,0,1,2,8,2,8,18,205,3,6,0,27,1,91,32,3,43,10,460
255,1,1,2,5,4,4,14,138,1,10,1,27,2,141,41,1,66,5,464
256,0,2,0,13,1,1,10,99,0,1,9,32,3,165,48,0,84,18,486
258,2,12,3,7,2,2,18,150,3,5,4,43,1,100,50,3,67,24,496
263,0,2,1,35,5,3,29,109,1,2,4,45,0,88,38,2,59,21,444
264,0,2,2,20,1,9,19,124,2,4,3,58,1,148,42,1,78,16,530
267,0,1,1,19,1,4,14,84,1,1,4,45,0,54,29,2,69,13,342
273,0,3,1,31,2,7,32,107,1,3,1,46,1,125,36,0,66,8,470
274,0,3,0,23,3,6,23,140,2,3,6,70,1,116,33,3,51,10,493
278,0,0,2,24,3,6,24,103,0,3,1,44,0,129,22,1,38,6,406
282,0,3,0,15,1,3,12,94,2,1,4,35,1,97,37,1,38,8,352
283,0,3,0,11,3,4,15,119,1,5,1,46,2,84,20,3,58,12,387
286,0,0,3,23,0,5,14,95,3,6,1,40,2,130,18,0,61,15,416
287,1,4,0,15,1,4,20,114,1,3,1,41,2,85,20,1,60,4,377
288,1,2,0,17,3,3,15,110,1,9,1,37,0,100,30,0,62,3,394
291,2,1,1,13,1,2,7,94,0,3,5,33,1,113,21,1,55,16,369
295,0,2,0,8,1,1,11,103,0,4,2,16,4,104,25,0,40,9,330
297,0,0,1,9,2,5,24,183,4,4,0,46,0,129,31,6,49,6,499
299,0,2,1,13,4,2,21,171,1,5,1,38,3,156,34,1,80,13,546
300,0,1,1,5,2,8,15,130,0,3,1,41,1,106,32,0,69,11,426
302,0,0,0,10,1,3,11,125,0,4,1,38,2,151,27,5,48,16,442
305,0,2,0,8,0,5,15,113,0,5,1,29,1,131,25,1,60,8,404
306,0,0,1,5,4,2,15,201,0,3,1,48,4,100,18,1,52,10,465
310,0,6,0,6,3,2,17,91,1,1,1,44,3,98,36,6,57,15,387
312,0,4,0,1,1,7,9,125,2,9,1,29,1,90,22,0,55,9,365
316,2,1,0,10,4,4,21,130,0,5,2,47,1,141,48,1,68,10,495
322,1,0,1,4,1,0,7,110,0,2,0,39,2,122,27,3,60,11,390
323,2,0,0,5,5,3,6,143,1,4,1,46,3,83,35,0,39,10,386
331,1,2,0,20,1,4,17,94,1,3,1,26,1,97,32,7,45,7,359
332,3,4,1,14,2,4,24,104,2,2,3,45,3,106,50,0,58,11,436
334,0,1,0,5,2,1,21,132,2,5,0,34,3,81,20,0,50,12,369
337,0,4,1,17,3,10,15,126,1,5,1,45,1,113,30,2,54,5,433
346,0,5,1,11,1,8,29,151,0,4,2,50,2,137,64,1,82,30,578
347,0,2,1,9,2,3,17,131,1,1,1,47,3,85,34,1,62,8,408
348,0,0,2,11,3,3,23,130,2,2,3,46,1,117,29,2,64,12,450
352,1,0,0,16,1,3,19,122,0,8,3,42,1,108,35,0,54,13,426
356,0,2,0,3,1,7,8,101,1,2,0,26,2,81,31,3,57,8,333
359,4,0,1,7,0,3,9,97,1,5,3,16,3,75,29,0,62,10,325
366,1,0,1,10,33,7,3,126,0,5,1,28,0,127,61,2,112,17,534
368,0,3,0,8,2,15,26,157,1,8,1,60,0,150,42,1,66,12,552
369,0,3,2,8,9,6,26,184,0,0,0,83,1,85,35,6,52,10,510
375,1,3,0,16,3,1,19,97,2,9,1,32,2,118,48,2,61,14,429
378,0,5,0,14,3,8,14,107,3,3,3,31,3,79,29,5,52,16,375
382,1,3,0,9,3,1,12,127,0,9,4,33,1,107,26,1,71,20,428
387,2,2,1,6,2,13,25,163,1,0,3,30,0,85,33,2,44,25,437
389,0,3,2,7,3,3,10,135,0,4,1,38,1,75,35,0,67,16,400
390,0,2,1,4,2,1,15,129,2,3,2,40,1,121,30,6,47,14,420
393,0,3,1,2,1,1,10,112,0,10,0,30,2,108,35,0,66,8,389
396,1,4,1,9,5,5,18,146,1,1,0,47,0,102,32,0,71,11,454
397,2,3,1,9,1,0,11,124,1,2,0,36,2,107,26,2,55,13,395
398,0,1,0,8,2,6,16,132,0,5,1,37,2,94,38,0,75,25,442
400,0,0,5,10,1,5,13,122,2,3,1,34,5,130,21,0,59,11,422
401,2,1,0,5,6,8,15,158,0,5,4,39,1,128,40,1,56,12,481
402,2,3,0,10,0,5,14,136,2,3,5,42,1,104,24,1,57,4,413
411,1,2,2,6,3,3,5,69,3,5,1,10,1,38,34,0,19,5,207
415,0,1,1,11,10,6,21,148,0,1,2,40,2,115,57,2,83,16,516
416,0,4,1,8,4,15,25,121,0,2,2,38,2,89,57,2,48,11,429
421,0,2,0,4,4,5,20,131,0,2,3,32,2,120,32,3,73,10,443
429,0,1,1,12,10,2,19,120,2,0,1,52,0,73,32,2,57,13,397
431,1,4,0,3,2,9,25,104,0,5,5,34,1,77,44,5,68,28,415
432,0,2,1,5,2,7,27,104,1,2,1,30,1,62,81,4,66,26,422
433,0,2,1,6,4,6,30,95,0,2,7,34,4,74,61,1,88,22,437
435,0,3,0,6,5,1,29,112,0,1,2,39,3,101,45,2,46,15,410
442,1,2,0,0,3,1,0,24,0,2,0,2,0,7,3,0,8,1,54
443,0,0,0,2,0,0,1,20,0,1,0,3,0,14,3,0,3,3,50
444,1,1,0,3,1,1,2,32,0,2,0,8,0,18,9,2,14,1,95
445,0,1,0,2,1,1,2,24,0,0,0,7,0,13,8,0,15,1,75
