SEZIONE,collegio_camera,forza_italia,paese_nuovo,alleanza_nazionale,il_girasole,nuovo_psi,rifondazione_comunista,lega_nord,democrazia_europea,lista_pannella_bonino,partito_dei_comunisti_italiani,c_c_d_c_d_u,democratici_di_sinistra,abolizione_scorporo,la_margherita,lista_di_pietro,TOTALE
100,13,110,0,114,18,3,25,2,5,15,15,13,117,0,83,20,653.01
101,13,131,0,124,7,1,23,6,8,17,4,11,113,0,83,33,674.0
103,12,172,0,124,15,6,21,10,12,22,10,15,160,1,102,23,804.9800000000001
104,12,198,0,98,16,2,30,9,6,28,5,12,150,0,125,28,818.9999999999999
105,12,150,0,97,10,2,28,10,11,23,17,9,180,1,104,34,787.9999999999999
108,12,109,0,50,13,11,30,6,5,15,9,10,268,0,96,22,756.0099999999999
110,12,102,0,47,8,3,38,6,12,26,9,21,176,0,121,25,706.0200000000001
113,12,157,0,84,12,5,37,13,8,26,8,16,147,1,121,29,775.9899999999999
116,12,113,3,83,8,7,30,4,9,7,8,10,224,0,134,18,770.0000000000001
125,12,110,1,78,20,7,63,8,5,17,16,9,185,0,123,19,773.0
127,12,135,0,92,12,8,37,10,11,14,5,10,247,0,139,19,850.99
128,12,122,0,65,13,4,29,8,4,15,7,6,236,1,129,25,775.9899999999999
132,12,152,0,99,23,3,52,7,7,19,8,14,275,0,115,21,907.0
133,12,155,0,95,19,5,43,15,19,17,15,11,209,0,127,30,872.0000000000002
135,12,105,3,66,14,9,53,11,2,13,9,2,294,0,122,14,828.9999999999999
140,12,112,0,69,14,2,44,3,7,21,16,8,125,0,82,22,636.99
150,12,119,0,103,16,4,26,9,6,30,9,12,109,0,96,27,678.0
154,12,188,1,121,12,4,20,5,6,35,9,21,93,0,90,21,738.0
159,12,232,1,141,10,0,11,6,13,31,3,17,77,0,71,29,754.0
160,12,159,0,110,16,2,27,5,8,13,10,24,116,0,113,19,733.9899999999999
161,12,181,1,117,10,3,16,11,21,20,11,31,99,0,78,27,737.99
162,12,209,0,103,9,1,21,6,11,19,5,18,102,0,113,17,746.0200000000001
163,12,162,0,125,12,1,24,3,34,28,4,13,94,0,78,15,704.99
166,12,206,0,106,16,3,20,4,8,30,8,19,121,0,95,18,766.01
168,12,185,0,126,18,5,17,7,15,25,8,24,82,0,100,22,745.99
171,12,169,1,110,13,4,29,10,8,21,7,12,121,0,100,17,734.0000000000001
182,12,126,0,79,9,3,20,3,6,10,9,9,162,0,100,23,671.0
184,12,140,0,92,13,1,21,9,5,24,9,9,168,0,119,16,738.01
190,16,191,0,124,17,6,24,8,7,29,9,10,98,0,76,24,738.98
191,16,212,0,124,14,1,11,11,12,35,7,27,79,1,91,22,762.9799999999999
192,16,165,1,128,15,4,27,10,8,31,12,19,126,0,109,15,786.01
199,14,101,0,80,17,3,41,7,7,13,8,9,240,0,104,32,775.9900000000001
204,14,145,0,76,21,3,42,8,6,17,13,5,288,2,106,36,881.99
208,14,130,1,73,7,4,61,5,5,12,17,7,293,0,85,21,834.98
209,14,115,0,65,14,3,36,7,6,17,8,9,270,1,115,25,804.99
212,14,152,1,80,15,9,45,13,8,13,4,7,277,0,109,15,862.0099999999999
213,14,116,2,45,14,6,29,11,11,7,2,7,342,0,88,16,810.02
218,14,104,1,56,7,8,27,8,4,15,14,6,335,0,81,25,805.0
221,14,84,0,81,9,11,24,9,2,14,8,10,294,0,96,22,778.01
225,14,128,0,95,7,6,26,3,3,11,10,15,251,0,98,22,788.99
228,14,108,1,39,16,8,44,6,3,13,8,10,297,0,71,22,760.01
231,14,131,1,59,11,7,31,8,0,10,7,6,258,0,69,23,735.0100000000001
232,14,115,0,42,12,14,26,5,5,6,12,5,303,0,81,28,767.9799999999999
233,14,120,0,75,13,2,36,8,1,17,10,3,277,0,82,20,778.0
242,14,120,2,74,15,5,43,1,6,15,10,9,329,0,97,24,864.0
246,14,139,0,66,11,5,30,16,8,13,16,8,309,0,67,38,839.99
254,14,88,0,56,12,5,24,10,9,12,12,15,303,0,126,19,805.0000000000001
255,14,114,0,62,15,9,44,6,1,14,13,0,305,0,78,17,791.99
258,14,144,0,61,11,4,15,5,4,18,12,10,239,0,93,19,749.0
263,13,105,1,79,11,6,48,3,13,11,13,23,195,0,119,22,761.98
264,13,109,0,86,20,2,33,4,6,15,15,4,184,0,107,13,710.9899999999999
266,13,121,0,72,23,10,45,11,9,14,11,8,204,0,89,23,753.01
269,13,140,0,71,17,10,43,9,8,18,8,9,214,0,107,27,793.9800000000001
273,13,106,1,76,7,4,44,8,6,18,20,12,178,0,100,29,722.0
275,13,116,1,81,16,6,38,8,12,13,12,10,246,1,113,19,805.0
276,13,104,1,73,23,7,45,9,4,13,12,10,244,0,99,30,787.0000000000001
280,13,97,0,53,16,7,48,7,10,20,3,10,224,1,82,25,716.02
281,13,123,0,94,11,2,37,1,8,13,7,13,222,0,98,18,759.9999999999999
283,13,85,0,70,9,5,41,16,9,17,15,6,263,1,107,22,778.99
286,13,103,0,67,11,4,46,4,10,12,7,7,249,0,104,20,756.9899999999999
288,13,120,0,62,11,10,48,10,3,15,7,9,232,0,93,16,749.0100000000001
289,13,110,1,53,16,7,51,16,2,19,22,10,272,0,86,21,798.9999999999999
293,13,104,1,62,13,8,27,6,6,12,15,5,300,0,83,20,775.0200000000001
298,14,105,0,45,16,6,28,9,6,15,9,15,315,0,93,23,799.02
300,14,107,1,56,16,7,38,6,4,12,13,2,308,0,65,12,760.99
301,14,118,0,43,25,9,46,7,10,16,15,11,331,0,92,28,865.0000000000001
306,14,94,0,47,7,4,32,6,2,16,21,4,375,0,91,18,831.01
309,14,89,0,51,10,8,24,7,3,9,19,8,363,0,79,27,810.9900000000001
311,14,100,0,32,12,8,30,2,5,13,8,12,386,0,87,19,827.9899999999998
312,14,68,0,64,9,6,31,2,3,10,9,4,387,0,99,14,819.99
313,14,126,0,45,10,10,17,2,14,11,5,16,306,0,100,20,795.9999999999999
314,14,128,0,79,13,3,34,3,11,10,9,22,279,0,127,37,868.98
315,14,118,0,63,12,6,41,6,1,12,13,7,263,0,91,36,783.0
318,14,104,1,73,18,4,48,12,3,13,5,8,277,1,72,20,772.9899999999998
321,14,83,0,57,10,4,39,6,6,10,12,2,271,1,75,21,711.0199999999999
322,14,101,0,55,16,7,43,9,2,16,13,15,255,0,95,24,765.01
324,14,104,3,58,17,5,25,13,6,25,8,11,243,0,106,20,758.0100000000001
327,14,99,0,72,14,9,49,6,5,27,15,12,233,0,80,22,757.01
333,13,92,0,38,10,5,40,5,2,9,10,5,272,1,56,13,671.02
334,13,111,1,72,17,7,36,3,13,11,13,10,266,2,87,22,784.0099999999999
336,13,116,0,94,16,5,23,11,10,13,7,14,270,0,115,20,827.01
337,13,98,1,63,14,2,56,7,4,16,12,5,265,0,100,22,778.0
338,13,116,0,69,7,3,27,9,7,8,13,7,178,0,75,15,646.9899999999999
343,13,99,1,50,17,8,66,5,5,20,6,2,292,0,66,21,771.0000000000001
345,13,111,0,57,12,7,43,4,4,20,12,9,227,0,110,27,756.0000000000001
351,13,105,0,75,12,5,39,7,5,11,10,8,257,1,129,21,798.0100000000001
354,13,131,1,80,9,6,24,3,11,12,10,12,256,0,101,22,790.9899999999999
355,13,137,1,83,18,5,34,8,8,12,8,19,185,0,116,26,773.01
357,13,126,0,86,20,6,27,6,13,11,13,14,245,0,104,26,810.01
358,13,125,0,52,17,8,49,7,3,11,7,6,217,0,93,29,736.98
360,13,118,1,56,14,5,56,7,6,13,11,5,238,0,93,24,760.0
361,13,82,0,38,11,6,31,6,5,13,17,4,336,0,99,37,798.0099999999999
364,13,97,1,53,13,7,56,3,2,12,10,7,311,0,87,20,792.0
367,12,136,0,89,16,15,29,1,22,16,7,18,200,0,127,25,813.0099999999999
371,12,166,1,110,16,3,28,6,8,21,6,6,166,0,122,32,803.0
374,12,136,0,90,16,4,33,9,7,17,5,9,217,0,89,24,768.0000000000001
375,12,135,1,85,12,7,43,7,10,17,14,13,174,0,113,20,763.02
377,12,106,0,64,12,7,32,10,3,11,19,13,263,0,113,19,784.0100000000001
379,12,98,0,64,14,9,29,12,2,24,8,19,250,1,106,32,780.0099999999999
380,12,125,1,72,22,3,24,10,4,15,14,11,252,0,103,19,786.99
395,12,134,0,68,10,3,36,10,9,23,5,13,231,2,120,25,801.0199999999999
396,12,118,0,88,10,4,29,9,3,22,10,20,242,0,106,28,800.9899999999998
400,12,98,1,50,23,11,44,10,9,8,7,6,314,1,110,17,821.0
405,12,138,0,86,12,5,29,14,8,21,10,10,262,1,124,25,856.9799999999999
406,12,120,0,88,7,6,33,9,9,29,14,11,251,0,106,23,817.98
407,12,94,0,46,14,5,32,4,4,17,16,10,328,1,107,20,810.0000000000001
411,12,63,0,52,2,11,13,2,5,7,14,3,72,0,24,4,384.00000000000006
414,16,155,0,88,12,4,29,7,8,15,14,15,161,1,123,20,768.0000000000001
417,16,187,0,111,18,2,23,11,8,14,8,20,214,1,86,28,846.9799999999999
425,16,135,0,83,12,2,26,14,5,14,7,11,252,0,116,29,821.99
426,16,93,1,36,13,9,45,1,10,13,22,11,274,0,85,23,752.0000000000001
427,16,106,1,47,13,12,47,7,4,10,13,4,299,1,77,10,767.0
429,16,146,1,96,16,5,24,9,4,13,13,19,215,0,94,17,788.0
431,16,157,0,92,14,13,23,7,6,18,13,7,177,0,94,28,764.98
433,16,163,1,109,19,7,17,11,6,24,8,11,157,0,94,28,771.0000000000001
434,16,123,0,69,13,6,39,5,7,11,6,19,198,0,95,16,722.9999999999999
437,16,15,0,7,0,0,1,1,22,1,0,3,0,0,5,5,176.01000000000002
442,12,22,0,15,2,0,6,2,1,7,1,3,20,0,18,3,212.0
444,12,31,0,12,1,6,5,2,0,1,5,2,46,1,11,5,240.01
445,12,19,0,14,5,4,2,2,0,1,1,4,27,0,10,3,204.0
1,13,123,0,81,10,1,23,4,3,20,6,10,61,0,40,18,513.0
4,13,155,0,105,16,4,34,7,25,31,10,18,107,0,93,28,745.9999999999999
6,13,170,0,93,13,2,23,5,12,29,13,14,113,0,91,9,699.98
7,13,121,0,96,17,6,48,6,10,31,12,9,152,0,100,39,760.01
8,13,102,1,90,12,2,35,3,16,18,13,13,134,0,93,20,665.0
10,13,117,0,78,15,3,59,5,3,26,5,4,153,1,72,26,680.02
12,13,79,0,78,19,1,66,6,6,25,11,9,156,0,89,13,671.0200000000001
15,13,179,0,97,19,2,39,10,11,17,7,11,128,1,89,23,746.01
23,16,189,1,133,22,8,24,6,17,23,8,17,114,1,108,19,805.98
25,16,183,0,119,15,5,36,7,10,29,12,28,119,2,95,16,792.01
27,16,114,0,102,25,4,20,4,8,15,8,16,167,1,113,24,737.0100000000001
28,16,185,0,118,18,1,17,9,14,20,4,29,132,0,116,20,799.03
29,16,153,0,59,16,7,23,10,3,16,10,5,130,1,81,18,648.01
39,16,132,0,87,11,7,39,10,4,13,15,11,203,0,111,26,784.9800000000001
40,16,181,1,87,10,2,19,9,22,21,3,19,64,0,75,14,643.01
41,16,170,0,96,15,7,34,9,6,23,10,17,189,0,85,27,803.98
48,13,188,0,129,18,5,17,7,11,24,9,16,113,69,25,0,743.9900000000001
49,13,152,0,114,15,2,22,8,14,27,6,10,145,0,65,20,712.99
51,13,212,1,147,8,2,22,5,14,29,8,15,85,0,74,21,756.0000000000001
55,13,161,0,93,7,8,19,4,6,17,8,11,103,0,63,29,641.9799999999999
57,13,196,0,152,9,5,20,2,6,22,3,24,94,0,74,22,742.0000000000001
59,13,182,0,115,11,6,22,7,6,9,5,16,131,0,84,30,736.99
62,13,173,0,100,16,2,24,5,6,14,3,13,125,0,80,20,693.99
65,14,111,0,105,12,5,36,9,8,11,9,12,170,0,105,19,726.01
66,14,137,0,76,15,5,42,8,5,19,10,13,204,0,112,27,786.99
67,14,122,3,81,11,9,57,7,2,23,19,6,203,0,77,24,758.01
78,14,174,1,93,10,8,32,12,5,18,5,9,166,0,98,30,775.0
81,14,97,0,64,15,5,53,11,4,24,7,10,310,2,102,32,850.0000000000001
82,14,100,0,58,6,6,43,9,4,11,12,6,265,0,60,18,711.99
87,13,175,1,81,21,4,36,10,5,34,6,17,133,0,104,16,756.01
91,13,116,0,63,15,5,63,7,10,28,24,8,154,0,96,21,723.01
96,13,138,0,94,16,3,29,3,5,21,10,12,137,2,74,16,673.0100000000002
106,12,112,1,82,15,8,52,5,3,10,14,13,202,1,99,29,757.99
109,12,113,0,70,14,5,62,2,2,29,10,8,211,0,111,22,770.99
115,12,101,0,42,17,7,42,11,5,17,12,5,198,0,87,14,670.01
117,12,154,1,83,17,3,25,12,10,27,9,12,172,0,141,41,818.99
