SEZIONE,forza_nuova,lista_monti,lista_giannino,p_d,centro_democratico,s_e_l,la_destra,lega_nord,fratelli_d_italia,p_d_l,rosa_tricolore,p_r_i,io_amo_l_italia,m5s,fiamma_tricolore,partito_comunista,lista_amnistia,rivoluzione_civile,TOTALE
218,1,27,6,265,1,35,2,8,5,52,1,0,0,103,0,2,0,10,618.0
221,0,45,0,235,1,16,0,14,3,58,0,0,0,82,3,1,0,2,560.0000000000001
224,2,33,2,284,0,16,1,7,5,83,0,4,1,105,1,1,0,4,648.99
225,2,39,7,235,0,16,2,16,5,57,1,0,4,81,0,6,2,6,578.9999999999998
227,1,24,1,242,0,7,0,7,2,39,1,0,0,79,1,0,1,9,513.98
229,2,45,3,258,0,27,1,12,9,62,1,1,0,82,0,0,0,5,607.99
235,0,43,0,296,2,22,1,11,6,45,0,2,0,75,1,1,0,17,621.9900000000001
238,1,51,5,248,3,22,2,8,4,65,0,0,0,103,2,1,2,9,626.0000000000001
250,1,31,1,277,1,28,0,16,5,41,0,0,2,98,1,0,0,7,609.0100000000001
255,2,36,4,247,0,20,0,10,3,62,1,1,0,115,0,4,3,3,611.01
261,0,17,2,152,1,38,0,7,4,61,1,0,1,80,0,4,0,9,477.0199999999999
268,8,71,6,232,2,40,3,9,8,69,0,0,0,111,0,1,5,12,677.0200000000001
275,1,44,4,225,4,23,1,10,8,60,1,0,0,78,1,2,1,12,574.9899999999999
280,3,29,1,192,0,26,1,4,2,50,1,2,1,99,1,1,3,16,531.9700000000001
281,0,33,6,179,0,32,2,9,7,57,0,0,0,84,1,3,0,15,528.0
285,0,40,7,212,5,29,2,3,7,59,1,0,2,121,0,2,1,14,605.01
287,1,35,5,243,0,21,1,9,2,38,0,0,0,83,0,2,0,14,553.9900000000001
290,0,43,3,241,2,18,3,16,13,51,0,0,0,102,0,2,3,3,600.0
293,1,26,5,271,1,17,4,13,7,51,0,0,2,88,2,1,2,9,599.9999999999999
295,1,30,2,196,0,21,1,3,1,48,0,0,1,82,0,4,1,10,501.0100000000001
297,0,49,2,307,7,21,0,4,6,58,1,0,2,89,0,6,2,15,668.9799999999999
298,0,37,4,301,2,30,3,7,2,69,0,0,3,130,0,2,1,14,705.0099999999999
300,1,31,8,232,0,22,1,9,4,57,1,1,3,85,0,4,1,2,562.03
302,1,41,4,242,1,23,1,6,6,47,0,1,1,122,1,2,0,17,615.98
304,1,55,5,183,2,23,3,7,3,66,1,0,3,119,2,2,4,10,588.98
306,1,42,3,315,2,28,1,7,5,46,1,0,1,79,0,2,2,8,642.98
310,0,28,1,222,1,27,1,12,5,77,1,0,1,101,2,0,1,3,583.0099999999999
312,0,25,1,269,1,13,0,4,3,42,0,1,2,77,2,2,2,4,548.0000000000002
313,2,52,1,282,5,21,2,6,2,77,1,1,0,82,1,2,3,8,647.9599999999998
315,1,55,7,290,0,32,1,9,5,51,0,0,0,133,0,1,3,12,700.0099999999999
317,1,44,2,242,4,20,0,7,4,84,0,1,0,102,1,4,0,4,620.0
319,1,20,2,321,0,25,1,7,1,45,0,0,1,81,2,3,2,11,622.98
324,1,44,4,240,1,12,0,12,4,56,2,1,2,101,0,3,0,4,587.0
325,1,17,4,248,1,22,2,10,6,64,0,0,4,101,0,4,1,17,602.02
326,1,26,2,213,0,27,1,8,4,57,0,0,0,95,0,0,4,7,545.0
330,0,22,6,256,2,35,3,12,6,65,1,1,3,127,1,3,2,2,647.01
332,0,37,6,213,1,49,5,7,10,54,1,0,2,97,0,0,4,4,590.0
340,1,21,3,198,0,31,0,7,1,46,0,1,0,80,0,2,2,6,498.98
343,0,41,1,200,0,32,2,6,2,43,1,0,1,86,1,4,1,20,541.02
344,2,31,6,252,3,31,2,9,4,45,3,0,1,96,0,0,2,12,598.98
345,1,23,1,221,0,32,0,12,6,54,1,2,1,108,4,7,0,8,581.01
348,0,38,4,231,2,36,1,12,5,52,1,0,2,104,2,2,1,18,611.0200000000001
349,2,11,2,176,2,21,0,5,0,59,3,0,4,96,2,2,2,12,498.99
351,1,33,4,256,0,19,2,6,3,60,0,0,1,119,2,3,1,11,621.0
353,2,34,4,253,0,34,0,14,1,47,0,0,0,85,0,1,1,17,593.0
355,1,47,6,226,1,26,1,14,12,59,5,0,3,71,1,2,2,6,583.0
357,1,46,2,247,1,17,0,10,4,72,3,0,1,94,1,1,3,5,608.0100000000001
358,1,23,2,200,0,20,0,11,5,62,2,0,0,88,0,3,0,4,521.0100000000001
359,2,15,1,201,3,14,1,5,1,65,1,0,1,63,0,1,0,11,485.00999999999993
361,1,23,5,306,1,18,0,11,4,43,1,2,0,80,2,1,0,11,609.02
364,1,17,1,251,0,18,0,5,2,56,2,2,0,64,1,2,1,5,527.9900000000001
365,3,36,1,243,0,26,1,8,6,39,2,0,3,75,1,12,3,17,575.99
366,2,53,15,198,0,29,1,20,4,79,8,0,0,150,1,3,0,13,675.9899999999999
368,1,66,4,291,1,32,1,8,8,72,2,1,0,113,0,2,1,13,715.9700000000003
370,0,62,5,279,5,17,2,13,9,78,1,1,1,81,1,0,0,7,661.9999999999998
373,1,53,5,208,3,29,5,5,8,59,2,1,1,88,2,3,1,6,580.0100000000001
380,1,37,1,208,0,26,1,6,3,51,0,1,3,77,0,0,0,5,519.99
381,1,31,4,172,3,18,0,8,4,71,0,0,0,87,2,1,1,9,511.9900000000001
384,2,85,5,331,1,26,0,11,5,79,1,0,2,87,1,1,2,7,745.9699999999999
386,1,53,5,261,2,21,6,7,2,55,2,0,1,110,1,2,0,17,646.01
387,0,80,6,204,2,24,2,12,8,69,0,0,2,84,2,0,0,9,604.0199999999998
392,2,44,5,180,2,19,0,6,2,67,3,0,0,81,2,2,0,4,519.0000000000001
395,0,28,5,230,1,26,2,13,3,52,3,0,1,93,1,1,0,11,569.9999999999999
401,2,31,0,281,0,15,3,12,4,54,0,1,4,98,1,2,1,10,618.9899999999999
410,1,51,6,215,1,24,0,9,6,89,0,1,0,79,1,2,1,3,588.9900000000001
411,1,18,5,113,1,7,2,2,4,50,3,1,1,24,2,2,1,3,340.0
413,2,49,2,173,0,28,1,4,9,60,5,0,0,122,0,1,0,12,567.99
414,1,44,3,201,0,29,2,8,4,68,0,0,0,84,0,1,2,11,558.0200000000001
416,1,69,5,202,3,16,3,10,3,80,1,0,1,79,0,2,2,9,586.0199999999999
420,0,54,7,212,4,34,4,7,3,76,0,0,5,98,1,3,2,6,616.02
425,3,43,11,261,1,21,0,11,5,69,2,0,1,91,1,2,2,11,635.02
426,0,23,6,178,4,22,0,6,3,50,0,0,3,95,1,3,2,14,509.9900000000001
428,0,63,6,249,1,22,2,9,4,55,1,1,0,109,0,1,1,15,639.0100000000001
430,0,48,5,304,3,23,3,12,12,58,3,1,1,70,0,0,1,7,650.9799999999999
442,1,7,1,57,0,4,0,5,0,15,0,0,1,30,0,1,0,0,222.01
2,0,77,13,121,2,27,2,10,9,103,5,3,0,77,1,2,0,3,555.0
3,0,62,12,123,1,22,6,12,15,99,1,3,2,70,0,1,4,4,537.0199999999999
8,0,44,6,162,1,40,0,8,2,44,0,0,0,72,1,1,1,13,495.0
9,0,45,4,138,3,61,2,13,14,67,4,0,0,80,0,0,2,7,539.9800000000001
10,1,46,6,164,1,62,1,6,4,78,3,1,2,59,0,1,2,14,550.9800000000002
11,2,49,8,153,1,34,0,12,6,49,4,0,0,68,0,4,2,9,501.0100000000001
13,0,21,4,116,0,36,2,7,5,41,0,3,2,49,1,3,2,11,402.99
16,2,47,6,145,2,33,1,9,11,74,6,2,0,82,0,0,3,11,533.97
20,0,100,17,113,3,13,3,23,11,163,2,0,0,57,2,0,1,1,609.0000000000001
22,0,58,10,200,2,55,0,17,9,101,2,0,2,84,2,2,1,11,656.0100000000001
27,0,76,12,199,2,33,0,16,12,64,3,1,1,70,0,1,3,15,608.0000000000001
28,0,64,12,212,2,29,1,21,7,116,4,0,1,73,1,2,2,10,657.02
29,0,56,7,167,0,29,1,14,4,71,1,0,0,57,0,1,1,12,521.0100000000001
33,4,39,9,218,2,38,0,15,4,76,1,0,1,92,0,1,2,7,609.0200000000001
40,1,90,12,119,2,15,0,11,15,116,1,0,1,76,0,0,1,5,565.0300000000002
43,1,75,7,237,1,16,1,21,18,71,2,0,1,83,0,2,3,3,641.9699999999998
44,3,62,4,114,2,18,1,16,18,126,1,0,1,62,0,1,3,5,537.0200000000002
46,1,55,6,168,0,41,0,6,5,84,5,0,0,84,0,1,2,11,569.01
47,1,47,6,162,3,27,3,11,10,99,4,0,1,89,0,1,3,11,578.0099999999999
49,0,73,25,175,0,51,0,14,12,126,1,1,3,95,0,3,2,10,691.0000000000001
52,2,82,6,150,4,18,1,17,12,114,7,2,1,56,0,2,1,8,583.0
58,0,55,12,123,2,29,1,13,7,125,1,0,1,57,0,0,1,7,533.9800000000001
63,0,33,4,182,0,40,0,14,12,74,1,0,5,111,0,0,2,2,580.0199999999999
64,3,42,11,179,2,38,2,7,3,83,1,3,0,91,0,0,2,11,578.0099999999999
70,1,43,10,206,3,24,1,11,5,49,0,1,0,100,1,2,0,5,562.01
71,0,54,6,216,0,32,2,13,12,87,4,0,0,89,0,0,4,13,632.0
77,3,59,6,197,2,36,1,5,2,71,1,2,1,112,1,1,0,13,612.96
80,1,24,3,110,2,14,5,2,3,62,4,0,0,62,2,1,1,1,397.00999999999993
84,1,73,6,102,1,23,0,11,10,83,3,0,1,70,0,1,1,2,488.0199999999999
92,0,39,10,175,1,82,1,10,7,44,3,1,1,81,0,2,1,16,573.9999999999999
97,0,44,8,144,2,38,1,8,5,73,0,1,0,79,0,2,0,13,518.0
99,1,53,14,195,5,32,3,11,15,120,0,1,2,95,2,4,1,7,660.9999999999999
101,2,47,6,158,0,30,1,11,10,94,0,0,0,59,0,1,0,3,522.0000000000001
102,1,61,7,219,3,30,0,6,4,87,0,1,0,75,0,1,1,19,614.98
110,1,50,3,214,2,28,1,9,9,55,0,0,0,108,1,1,2,12,595.9799999999999
111,1,31,3,251,1,24,4,7,6,60,2,1,1,91,2,3,7,7,602.0099999999999
115,1,42,3,214,0,25,1,17,4,58,1,1,2,120,0,2,2,16,609.0
121,1,48,9,179,3,29,3,11,8,74,5,3,1,81,0,3,0,7,565.04
123,2,62,1,215,3,26,2,14,4,87,2,2,4,76,3,2,1,10,616.0200000000001
125,0,28,2,211,1,42,1,14,3,51,0,0,0,98,0,2,1,9,563.01
126,1,63,8,197,3,29,0,10,11,67,3,0,1,84,0,3,0,9,588.9800000000001
127,0,59,6,252,4,32,2,10,5,74,5,0,3,108,2,4,0,19,684.99
129,3,45,3,220,1,30,2,6,5,87,0,0,1,105,0,2,4,12,625.9999999999999
130,0,59,6,231,2,22,1,6,5,63,1,0,2,122,1,3,1,18,642.97
131,2,52,5,248,1,19,3,18,6,68,1,2,1,113,1,0,1,9,649.9799999999999
132,1,70,13,304,5,28,1,11,14,101,2,2,1,127,0,2,3,8,792.9899999999999
139,0,91,8,107,2,16,0,13,11,126,1,0,1,46,3,2,1,3,530.9900000000001
140,1,45,4,152,2,43,0,11,8,62,0,0,3,78,1,2,5,11,527.99
144,0,69,15,146,3,35,2,13,7,105,3,0,0,71,0,1,2,10,581.9800000000001
145,0,84,14,136,2,13,0,11,11,101,1,1,1,66,1,2,0,5,549.0000000000001
146,0,60,10,143,0,34,1,13,11,108,0,1,1,61,0,1,0,11,555.0200000000001
148,2,42,6,155,1,53,1,12,4,68,3,0,0,72,1,1,1,14,536.0100000000002
149,1,52,13,160,2,40,2,3,6,66,0,0,0,63,0,1,2,10,521.0200000000001
152,0,59,9,128,0,30,2,14,18,99,3,0,0,53,2,0,2,5,524.0100000000001
153,4,68,6,146,2,29,2,11,12,79,4,1,1,59,0,0,1,7,532.01
167,0,58,5,151,3,20,5,18,17,90,0,0,0,65,0,0,4,6,541.99
169,0,46,7,171,4,31,2,9,5,68,1,0,1,84,0,3,1,10,543.01
170,0,67,5,183,1,20,1,7,3,70,0,0,0,85,0,2,2,9,555.0100000000001
171,0,60,5,195,3,27,3,22,14,81,2,0,2,75,0,3,0,7,598.99
175,1,59,13,172,6,28,1,3,5,82,4,0,0,71,0,0,1,7,552.9800000000001
177,2,49,3,200,1,26,0,9,9,62,0,0,0,92,0,1,1,13,568.0000000000001
181,0,57,4,193,2,20,1,5,9,82,3,0,1,85,3,1,3,8,577.01
182,1,31,3,179,1,16,1,10,3,53,2,0,2,88,0,0,0,3,492.98
184,2,60,5,179,0,27,1,9,6,65,3,1,4,73,1,1,0,17,554.0000000000001
188,1,50,4,166,2,26,5,8,6,83,8,1,0,109,1,3,1,6,580.0200000000001
194,1,147,20,125,4,18,2,23,15,135,3,0,3,49,2,2,1,2,651.98
196,2,62,18,106,2,8,1,25,16,103,5,0,5,67,0,0,2,3,525.0100000000001
199,1,46,9,290,2,49,5,8,8,66,0,1,1,182,5,2,2,20,797.01
200,2,73,11,307,3,42,2,10,7,76,0,0,1,163,2,2,3,20,823.9999999999999
201,1,31,8,268,0,37,1,12,5,63,0,2,2,121,1,1,2,17,671.97
203,0,35,4,282,0,25,0,15,7,70,0,0,2,120,2,1,3,10,676.0
206,0,53,10,250,1,21,1,10,2,63,0,0,1,94,1,3,0,9,619.0000000000001
214,1,45,1,256,2,32,0,14,9,82,0,0,0,92,2,1,2,9,647.9699999999999
215,0,48,5,222,1,21,0,11,7,61,0,1,1,80,0,0,1,4,563.0200000000001
