SEZIONE,forza_nuova,lista_monti,lista_giannino,p_d,centro_democratico,s_e_l,la_destra,lega_nord,fratelli_d_italia,p_d_l,rosa_tricolore,p_r_i,io_amo_l_italia,m5s,fiamma_tricolore,partito_comunista,lista_amnistia,rivoluzione_civile,TOTALE
436,2,48,2,216,3,24,1,11,4,68,2,1,1,99,2,1,0,9,593.98
437,2,37,9,161,0,21,0,5,3,28,1,0,1,99,0,0,2,11,480.00999999999993
438,0,8,0,45,0,3,0,1,2,14,0,0,0,15,1,0,0,2,191.0
439,0,18,1,113,0,5,0,1,3,17,1,0,0,9,1,4,3,4,280.0200000000001
444,0,7,0,23,0,0,0,0,1,11,0,0,0,11,0,0,1,0,153.99
446,0,3,1,40,0,1,0,2,11,0,0,0,0,12,0,1,0,0,171.01
5,1,52,16,97,1,33,1,14,3,117,3,0,2,70,0,4,1,15,530.0
14,3,49,3,174,2,52,1,8,6,74,2,3,1,91,0,2,1,10,581.9800000000001
15,1,53,8,169,2,40,2,9,10,99,3,1,0,76,1,3,0,12,588.9800000000001
17,1,42,9,214,0,46,1,12,8,76,3,1,1,84,1,3,2,13,616.98
21,1,71,8,190,2,43,0,12,11,67,1,0,1,97,2,2,1,13,621.9900000000001
24,1,72,17,165,3,42,0,19,20,143,0,2,2,64,0,0,3,7,660.0199999999999
26,1,79,12,182,0,30,4,17,7,91,0,0,0,85,2,5,2,4,620.9799999999999
30,2,56,6,187,1,32,2,4,7,78,1,0,3,113,1,4,1,8,606.02
32,1,54,7,199,2,29,4,7,11,61,2,0,2,99,0,2,1,12,593.0000000000001
34,0,39,0,230,0,26,2,10,6,45,0,0,1,83,1,4,1,7,555.0
35,2,57,7,206,1,46,1,19,4,83,2,0,0,108,0,2,0,18,656.0
36,0,63,10,218,2,29,4,19,5,62,1,0,0,68,2,2,1,4,590.01
38,0,32,3,187,3,20,2,12,3,68,0,0,1,79,0,0,1,10,521.0
41,1,67,8,177,2,32,2,16,14,84,1,0,1,120,2,0,3,12,641.9799999999999
45,2,76,19,172,1,31,1,21,8,113,6,0,0,81,1,1,1,3,637.0100000000002
48,0,72,5,137,0,25,1,19,8,115,2,1,1,79,0,1,3,15,584.0200000000001
50,0,75,10,129,2,26,3,12,15,121,1,1,0,60,0,2,0,9,565.9999999999999
53,2,62,8,190,1,41,2,10,6,91,0,0,0,98,1,2,2,21,637.01
55,2,44,6,150,2,37,5,12,6,105,4,1,2,84,0,1,0,7,568.0000000000001
57,0,62,10,145,1,16,1,8,14,105,3,0,1,76,4,5,2,7,560.0000000000001
60,0,44,5,146,3,45,2,8,7,68,2,0,0,60,1,1,3,14,508.99
61,1,50,7,159,2,32,1,9,11,94,1,1,2,100,1,1,1,10,583.0100000000001
65,0,53,2,202,2,33,6,11,6,48,2,0,2,92,0,2,1,11,573.01
66,2,60,4,279,3,40,5,14,3,68,2,1,4,87,0,4,3,15,694.0199999999999
68,2,40,9,209,3,32,0,5,2,50,0,0,0,117,1,2,0,10,581.98
72,0,39,4,216,2,34,3,17,4,68,0,0,1,89,2,1,1,7,587.97
73,1,32,2,273,0,31,3,8,2,51,2,0,6,77,1,2,0,11,602.0100000000001
74,0,35,6,273,4,25,2,15,2,38,0,0,2,69,0,1,1,9,581.9900000000002
78,1,41,4,179,0,20,2,10,2,81,0,0,3,111,0,1,1,8,564.0200000000001
79,0,46,7,163,1,25,3,15,15,100,3,1,0,69,3,1,2,4,558.0300000000001
83,2,35,7,190,0,30,0,5,11,57,0,1,0,72,0,3,1,8,522.0
88,3,21,10,156,2,59,0,2,7,50,2,0,2,90,0,0,2,18,524.0000000000001
89,2,64,3,164,3,47,1,16,7,54,2,1,2,63,3,1,0,10,543.02
90,2,38,8,125,3,38,3,11,11,85,4,2,0,78,1,1,1,13,524.01
91,1,45,4,196,2,49,1,11,5,56,2,0,3,82,1,1,1,5,565.0400000000002
98,1,68,11,141,1,22,1,15,10,88,3,0,0,70,0,1,0,6,537.9900000000001
100,0,35,4,157,1,29,3,5,4,72,0,1,2,69,0,0,4,8,493.9999999999999
103,2,50,8,174,2,30,3,15,4,79,2,0,2,69,1,4,5,9,559.01
109,1,35,8,258,2,71,0,7,5,57,3,0,1,92,1,4,4,6,655.0
113,2,48,6,219,1,32,1,22,7,66,0,1,0,94,2,0,3,9,612.9800000000001
116,1,49,4,218,4,34,0,11,5,52,1,1,0,90,1,1,0,10,582.01
117,1,68,14,226,1,33,3,14,7,75,2,2,1,87,0,2,2,10,647.97
118,2,26,1,111,0,21,0,10,5,50,1,0,0,45,1,0,2,4,379.0000000000001
119,2,54,9,228,4,32,2,19,8,59,0,0,1,67,2,0,3,14,604.0199999999999
124,0,24,4,208,0,30,3,7,4,39,2,0,1,88,0,4,2,14,530.02
128,1,37,3,220,0,25,1,6,4,71,0,0,1,83,1,0,0,10,563.02
133,0,76,12,262,1,22,0,12,9,77,3,1,1,133,0,0,2,6,716.9899999999999
134,2,42,4,252,1,26,1,9,6,89,0,0,1,113,5,4,2,11,668.0000000000001
137,1,42,4,150,0,18,2,8,6,70,0,1,0,141,1,2,1,11,558.0100000000001
138,2,60,11,107,2,21,0,10,9,110,4,0,0,55,2,2,0,3,497.99
141,0,30,7,147,0,43,4,12,6,92,5,0,1,61,0,2,3,4,517.0
142,1,59,8,92,1,10,1,18,6,128,1,3,0,55,1,1,3,0,488.0199999999999
143,1,69,14,141,5,36,4,10,6,104,0,1,1,66,2,2,2,5,568.9999999999999
157,2,83,10,162,3,13,4,16,7,108,2,0,2,67,0,0,3,3,584.98
159,1,101,12,129,2,11,2,13,17,154,2,0,3,53,1,0,6,0,606.97
162,1,72,9,165,1,20,2,11,10,107,1,0,2,60,1,1,2,5,570.0099999999999
164,1,84,19,137,3,14,0,16,16,127,4,0,2,61,0,0,3,6,593.0100000000001
172,0,94,9,147,1,21,5,13,16,104,2,0,1,65,2,0,1,3,584.0099999999999
176,0,62,6,146,2,35,2,12,10,78,0,1,3,65,0,0,0,8,530.02
178,1,53,4,216,0,21,1,17,8,66,1,0,0,80,2,0,2,11,582.9999999999999
180,0,60,5,169,0,22,3,8,5,95,5,1,1,79,0,4,3,9,568.9999999999999
183,2,70,6,168,1,22,2,7,6,89,1,0,5,65,0,1,0,3,548.0100000000001
186,2,51,7,192,0,28,0,14,3,69,2,0,3,93,1,5,3,5,578.0300000000001
187,0,60,3,208,0,27,4,13,9,64,5,1,4,90,0,1,1,7,596.99
191,0,95,17,117,3,15,3,16,20,124,3,3,0,53,0,0,4,5,578.02
193,2,128,27,91,2,14,3,19,12,154,2,0,1,52,0,1,1,4,612.98
197,0,82,6,141,0,8,1,16,14,114,1,1,6,84,0,0,1,11,586.0
204,0,52,8,306,4,37,3,15,6,71,3,0,1,140,0,2,2,7,756.9999999999998
208,3,21,2,232,1,20,0,7,7,73,2,2,1,104,1,4,1,15,595.97
212,3,90,11,317,2,30,1,14,6,108,1,0,1,164,0,2,1,11,861.98
219,0,44,3,384,1,26,1,6,0,61,2,0,1,86,0,1,0,7,722.9799999999999
220,0,62,3,309,2,32,3,12,4,81,0,1,3,90,0,0,1,10,712.9899999999999
222,0,58,2,320,1,21,1,11,7,61,3,0,0,85,0,3,1,6,679.9999999999999
223,2,29,1,256,2,30,1,15,4,58,0,0,3,91,0,0,2,5,598.99
228,1,16,2,261,0,15,2,7,3,65,2,1,2,69,1,4,1,6,558.03
231,0,31,0,197,1,11,1,9,4,61,0,0,3,86,1,3,1,10,519.0300000000001
234,2,52,4,266,2,17,1,16,11,93,4,0,0,103,0,1,0,9,680.9899999999999
239,1,38,2,287,0,16,0,6,5,48,2,0,0,92,1,4,0,6,608.0
240,4,45,6,281,2,38,0,11,7,89,0,1,3,117,3,1,2,9,718.9899999999999
241,1,34,8,320,0,10,3,12,6,49,0,0,2,93,0,1,0,6,644.9899999999999
242,2,41,7,251,1,33,1,5,10,63,2,2,5,105,0,2,1,6,637.0
243,1,28,2,220,0,26,0,8,8,51,0,0,0,92,0,2,0,14,551.98
245,0,43,3,279,0,22,5,12,3,63,1,1,0,129,0,2,2,9,673.9900000000001
246,3,34,4,241,0,11,2,11,5,69,1,0,0,102,1,1,1,5,590.9700000000001
247,6,50,5,249,0,27,5,16,5,69,1,0,0,154,0,4,0,12,702.9999999999999
249,1,38,3,287,2,23,1,10,4,45,0,0,0,81,0,1,0,11,607.0200000000001
