SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
102,46,289,10,35,4,3,8,22,138,1,3,7,8,33,5,711.9899999999999
104,27,278,8,38,3,3,2,19,204,5,2,0,6,15,1,711.0000000000002
106,37,283,11,33,5,4,4,18,102,0,1,1,5,33,1,638.0000000000002
107,44,331,9,21,8,8,0,24,126,0,7,1,3,27,4,713.0099999999999
111,31,337,12,17,10,6,6,18,150,0,0,3,6,29,5,729.9899999999999
112,50,261,22,25,4,6,7,17,128,1,3,4,4,35,0,667.0100000000001
118,18,142,5,12,1,3,1,16,114,0,1,4,2,9,2,430.0100000000001
119,36,311,12,21,3,3,4,24,141,0,5,0,6,18,3,686.99
124,34,296,13,17,4,5,1,11,91,2,1,3,5,22,1,606.0100000000002
127,40,339,19,20,4,5,4,20,152,1,1,0,8,13,3,729.0199999999999
128,21,318,4,10,4,1,5,17,148,0,0,0,2,19,6,654.99
131,35,315,24,25,0,0,6,29,177,0,4,1,7,20,2,745.02
134,38,353,16,34,3,5,4,25,176,6,3,2,6,27,4,801.98
139,19,159,7,32,0,0,15,29,212,1,2,0,7,6,0,589.0
142,17,150,12,25,0,0,9,22,215,0,1,0,4,7,1,563.0000000000001
149,31,222,10,16,3,1,5,24,136,1,3,2,7,30,3,594.0
151,29,205,10,21,3,2,2,17,223,1,3,1,8,19,2,646.01
153,30,189,12,22,2,0,5,18,183,1,1,1,2,16,3,585.01
154,36,201,8,15,0,1,9,25,236,3,0,1,5,15,3,657.9999999999999
155,34,219,23,24,1,1,7,20,231,0,3,2,4,18,0,687.0000000000001
163,26,194,20,48,1,0,1,23,171,1,0,0,5,13,2,605.0000000000001
164,24,182,18,20,1,2,4,40,241,2,1,1,2,16,3,657.0099999999999
166,30,214,15,24,0,1,7,19,240,0,3,2,1,10,3,669.0199999999999
177,23,277,14,25,2,4,3,16,132,0,5,1,4,9,6,621.0100000000001
179,24,300,15,21,4,1,5,15,117,0,2,3,4,21,4,636.0200000000001
180,23,231,4,19,5,3,3,20,204,1,2,2,5,22,1,645.0099999999999
181,35,257,10,22,1,0,2,24,162,0,2,2,4,10,5,636.0
183,26,190,9,33,3,2,4,19,193,2,0,2,8,15,3,609.0000000000001
184,39,257,16,22,1,0,7,25,151,2,1,1,2,18,6,647.9699999999999
187,33,273,12,28,0,0,3,25,153,1,0,1,5,23,3,659.9999999999999
188,39,206,7,14,7,1,2,24,162,1,1,2,3,11,0,580.03
191,16,168,15,39,0,4,9,37,250,0,0,0,5,10,2,655.0
195,34,232,10,30,1,3,8,38,216,4,0,1,3,15,2,697.0199999999999
204,47,386,22,17,1,5,5,31,149,2,3,1,7,24,4,803.9899999999999
206,40,330,10,34,2,1,7,22,151,0,2,3,2,18,1,723.0
208,40,310,12,12,8,3,1,25,115,0,1,3,2,16,2,649.9899999999999
209,59,369,9,25,5,2,0,22,134,3,0,2,6,17,3,755.9799999999999
210,28,267,10,24,0,2,4,24,139,1,1,0,8,17,3,628.0200000000002
211,47,367,33,20,4,1,2,28,143,0,2,2,1,22,3,775.01
215,20,306,16,21,2,4,1,22,122,0,0,2,5,17,2,639.9999999999999
219,33,450,7,16,1,1,1,23,123,1,3,1,8,17,5,789.96
223,25,355,14,22,3,1,3,17,119,1,1,1,4,16,3,684.9799999999998
227,19,301,12,15,3,1,3,21,103,0,2,2,5,16,1,604.0200000000001
235,45,360,15,17,2,2,0,11,127,0,2,1,6,15,2,705.0000000000001
239,30,356,17,12,8,1,1,17,124,1,3,3,3,11,0,686.99
240,32,318,17,16,1,1,1,31,150,1,0,1,7,16,5,697.02
244,39,361,17,31,5,5,0,30,127,4,1,2,8,17,1,747.9799999999998
245,39,385,21,21,6,4,1,24,134,0,1,3,1,32,5,777.01
255,33,334,8,13,0,1,5,19,143,1,2,5,6,12,5,686.98
256,29,225,14,10,4,4,1,34,207,0,4,3,6,19,3,663.0
259,29,347,11,22,1,0,1,34,136,1,1,0,2,14,4,703.01
260,35,294,8,18,6,7,3,19,118,1,0,3,4,29,2,646.9999999999999
262,28,270,10,24,5,3,2,27,175,1,4,0,5,18,4,676.0100000000001
265,12,205,17,13,2,4,1,9,110,2,1,4,7,13,5,505.00000000000006
266,31,261,17,9,3,3,1,17,133,1,1,2,7,25,2,612.96
269,42,311,17,18,2,2,3,14,146,1,0,2,3,19,3,682.9699999999998
271,39,258,16,23,6,7,2,21,113,2,1,1,8,23,7,627.0000000000001
276,34,298,11,22,4,3,4,18,116,1,1,1,8,32,7,659.9799999999998
280,45,269,11,13,0,3,2,14,101,2,0,4,6,31,2,603.01
283,31,320,14,19,3,1,1,23,112,0,0,0,3,11,3,640.9699999999999
284,38,313,10,13,5,5,4,17,107,0,1,3,8,19,1,644.0099999999999
285,43,324,13,21,5,4,1,21,121,2,3,0,1,23,2,684.0000000000002
292,45,297,13,10,1,5,2,14,94,2,1,2,3,30,2,621.0
294,28,328,10,14,5,2,0,9,121,1,1,1,4,22,0,645.9899999999998
297,53,393,14,11,4,0,2,13,133,1,2,3,7,30,2,768.0099999999999
305,24,309,14,19,10,3,0,16,107,1,0,1,3,36,4,646.9999999999999
307,23,375,10,22,1,0,1,26,110,0,1,3,5,13,2,692.0100000000001
308,27,390,16,16,1,4,1,23,114,2,1,2,6,22,4,729.0
312,18,371,9,14,3,3,2,9,97,0,1,1,4,20,3,654.99
313,29,368,7,22,6,0,4,18,149,0,2,6,8,12,0,731.0000000000001
314,46,372,20,22,5,3,2,23,144,1,3,0,7,6,7,761.0099999999999
315,64,474,19,25,3,3,2,22,168,0,4,2,7,29,7,928.99
316,29,299,11,9,3,4,1,23,161,0,3,2,5,19,4,672.9900000000001
328,43,321,13,9,4,6,4,29,163,1,5,1,2,17,8,726.0199999999999
329,45,343,17,13,3,1,4,17,140,2,1,4,2,21,1,713.9999999999999
331,40,241,12,15,5,4,1,18,148,3,1,1,9,18,3,619.0000000000002
334,22,280,11,20,4,1,3,14,109,3,1,1,5,24,5,603.0100000000001
335,36,271,8,31,7,3,4,25,124,1,2,2,6,24,2,646.01
336,31,326,13,40,0,1,6,29,133,1,2,2,3,14,2,703.0100000000001
337,40,330,15,13,3,2,2,16,109,2,4,1,7,16,4,663.9900000000002
340,25,278,7,19,4,6,0,18,113,1,0,1,4,27,3,606.0000000000001
343,24,308,10,9,4,8,1,12,97,0,0,0,7,24,1,605.0000000000001
347,34,270,10,30,2,1,1,32,155,1,2,0,5,17,4,663.99
349,26,269,15,5,5,4,1,11,105,3,2,4,8,25,4,587.0099999999999
350,27,317,4,11,2,4,1,25,81,2,0,1,3,26,2,606.02
352,34,319,9,13,2,0,0,13,146,1,3,4,2,30,2,678.0100000000001
354,23,340,15,21,1,1,3,11,139,0,1,1,7,16,1,680.0099999999999
368,49,360,22,14,0,3,3,25,154,1,2,1,3,14,3,754.0000000000001
371,36,357,12,23,3,1,1,22,160,0,3,4,12,21,1,756.0000000000001
375,34,243,9,24,4,5,4,21,181,0,5,2,3,30,8,673.0
393,31,335,11,11,9,4,3,18,125,3,1,2,4,14,9,679.9899999999999
394,23,312,6,25,2,1,6,31,145,2,0,1,5,19,2,679.97
395,43,297,10,15,2,2,1,23,136,1,3,1,3,20,4,660.9899999999999
403,31,304,15,29,5,1,2,16,107,1,1,5,2,23,7,648.98
404,29,316,16,47,1,0,1,28,191,0,1,4,7,20,3,764.0
405,36,329,14,22,3,2,0,22,174,0,1,1,4,10,5,722.9999999999998
406,30,300,7,30,0,5,4,18,141,0,2,1,1,17,2,658.0199999999999
407,37,378,7,22,3,0,2,12,90,0,0,1,6,15,0,673.0
409,47,370,12,30,3,3,4,21,139,2,2,4,4,27,11,778.9900000000002
410,29,259,14,20,7,0,4,34,161,2,0,2,2,15,4,652.9900000000001
412,23,247,11,28,2,2,4,47,215,2,1,2,3,7,2,696.02
416,45,253,14,31,2,0,7,23,155,1,0,0,4,21,4,660.01
420,42,316,13,19,2,4,8,24,165,1,0,3,2,19,2,719.98
424,35,329,12,24,2,0,0,20,103,1,5,0,6,17,1,654.9899999999999
430,35,367,11,28,1,2,2,31,125,0,1,0,5,23,6,736.99
433,30,238,13,32,3,0,5,29,188,2,1,1,1,11,4,658.01
435,36,273,22,18,7,0,3,20,171,1,1,3,11,11,3,680.0099999999998
437,30,252,6,18,2,1,1,12,89,1,2,2,1,18,2,537.0200000000001
442,3,38,5,3,0,1,3,1,14,0,0,0,3,5,1,177.01000000000002
444,2,40,2,4,1,0,0,1,23,0,0,1,0,0,1,174.99
445,3,41,0,5,0,0,1,2,21,0,1,1,2,3,0,180.0
446,4,28,1,5,0,0,0,2,19,0,0,1,0,1,0,161.01
