SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
251,41,420,9,24,1,4,4,16,98,2,1,3,0,19,8,750.0000000000001
252,33,393,7,14,1,2,4,11,110,0,3,1,4,20,0,702.9900000000001
257,20,284,12,26,1,5,2,25,131,2,2,5,5,9,2,631.01
261,31,226,8,14,3,2,0,9,144,3,1,1,6,22,2,572.0
267,24,232,12,14,1,3,4,26,142,2,3,4,3,13,1,584.0100000000001
270,34,348,15,35,4,0,0,30,122,0,0,1,1,26,2,717.99
273,67,433,27,33,5,6,3,32,173,2,1,3,8,40,8,941.0000000000002
274,39,330,9,25,3,2,2,19,102,0,1,2,4,27,0,664.9799999999999
275,38,285,10,42,4,6,6,17,135,0,2,2,5,27,0,679.0100000000001
277,38,259,8,18,3,3,4,26,209,0,2,4,6,22,1,703.0099999999999
281,21,251,18,28,4,5,2,18,115,0,1,0,8,30,5,606.01
282,35,266,10,18,2,4,1,20,138,0,2,2,0,24,2,624.0000000000001
287,23,325,15,17,5,2,1,17,114,0,2,2,5,11,0,638.9999999999998
288,32,266,16,13,1,1,3,15,131,2,4,1,6,33,5,629.01
300,25,302,10,12,4,2,1,22,115,1,0,0,8,13,5,620.0000000000001
301,39,411,19,30,9,4,0,28,150,0,1,2,5,30,5,832.99
303,40,338,9,17,2,2,3,21,125,0,1,1,7,18,2,685.99
311,26,381,10,15,2,1,0,12,107,1,0,0,7,15,1,678.0100000000001
318,31,302,10,15,4,1,2,26,136,0,1,2,1,14,4,648.9899999999999
319,34,322,9,11,7,1,0,18,87,3,0,2,6,29,3,631.9999999999999
321,32,319,16,13,4,3,0,12,136,2,1,2,4,20,5,668.9799999999999
324,25,327,24,17,3,0,2,24,110,2,1,1,4,15,3,658.0100000000001
326,24,318,13,14,4,5,5,19,132,1,2,4,2,17,6,665.99
330,41,338,14,16,3,2,3,26,140,0,3,5,5,27,9,731.9799999999999
333,23,268,8,14,3,4,3,9,89,1,2,3,3,15,4,549.0
338,63,362,26,36,7,4,3,25,213,1,1,1,3,33,9,886.9999999999999
341,24,278,7,10,7,1,0,16,99,2,2,3,4,16,1,569.9999999999999
342,23,280,7,18,3,3,0,32,109,1,1,1,6,13,8,604.9900000000002
344,56,301,14,15,3,1,4,11,122,0,1,2,3,22,4,659.0200000000001
345,31,294,8,21,6,3,2,18,130,1,0,1,0,21,2,638.0100000000001
346,51,320,16,25,2,6,1,36,216,0,0,2,5,22,4,806.0000000000001
348,33,331,7,14,6,8,2,22,113,0,1,0,3,31,4,675.0
351,48,307,5,14,1,1,4,15,135,1,1,4,2,28,3,669.0199999999999
356,22,303,9,16,6,2,3,19,127,0,0,0,4,17,2,630.0
357,41,310,12,18,2,2,2,18,176,1,4,1,4,11,6,707.9999999999998
358,30,280,11,17,5,2,0,23,104,0,3,8,4,14,1,602.02
