SEZIONE,fiamma_tricolore,moderati_in_rivoluzione,grande_sud,lega_nord,p_d_l,la_destra,intesa_popolare,fratelli_d_italia,io_amo_l_italia,forza_nuova,rivoluzione_civile,lista_giannino,partito_comunista,centro_democratico,p_d,s_e_l,m5s,lista_amnistia,casapound,p_r_i,f_l,u_d_c,lista_monti,TOTALE
173,0,7,0,10,86,0,0,9,3,1,13,11,1,3,197,31,118,2,0,1,1,5,88,686.9699999999999
175,0,3,0,4,82,1,0,4,0,1,10,12,0,5,169,30,81,2,0,0,2,4,62,572.0100000000001
177,0,1,0,6,59,0,0,11,0,2,15,4,2,2,199,34,101,4,0,0,2,6,40,588.0000000000001
179,0,2,0,10,53,1,0,3,0,0,17,7,1,0,221,33,115,2,0,1,3,4,30,603.0200000000001
180,0,8,0,10,97,3,0,6,0,1,10,7,2,2,171,25,102,2,0,1,5,5,53,610.0
182,0,1,0,7,52,3,0,3,3,2,10,4,0,1,169,20,92,0,0,0,2,4,31,504.0
184,0,3,0,8,70,1,0,6,3,2,20,8,1,1,176,26,88,0,0,0,3,5,57,578.0
188,3,6,1,9,74,4,0,7,0,2,11,3,3,2,163,33,120,1,2,1,2,10,54,611.0100000000001
189,0,3,1,18,123,1,0,25,0,1,13,10,0,1,125,18,73,3,0,1,1,14,71,602.0099999999999
199,3,0,0,9,64,4,0,10,0,1,29,13,2,1,290,52,192,5,2,1,2,6,44,829.9899999999999
205,0,2,0,18,84,1,0,4,0,2,12,8,4,0,234,25,130,1,1,0,3,3,51,682.9999999999998
208,0,2,0,7,75,0,0,9,2,2,14,4,4,2,225,24,106,3,0,3,3,5,22,612.0200000000001
209,1,1,0,6,67,2,0,9,0,2,14,6,2,2,281,25,120,0,0,0,2,3,46,689.01
216,1,3,1,13,72,3,0,7,4,2,15,9,1,1,242,23,75,0,1,0,0,5,54,632.0
218,0,1,0,7,53,2,0,5,0,1,12,9,4,0,260,34,118,3,0,0,0,4,30,642.99
219,1,2,0,6,60,1,0,3,1,0,9,6,2,3,380,38,102,0,0,0,0,6,42,761.99
220,0,0,0,11,85,5,0,7,4,2,14,3,0,0,321,26,94,2,0,1,1,5,56,736.9899999999998
225,0,1,0,17,59,1,0,3,3,2,9,7,5,0,246,17,94,3,0,0,0,3,37,607.0
227,0,2,0,8,41,0,0,3,1,1,8,0,0,0,233,11,88,1,0,1,0,6,22,525.97
232,2,1,0,9,41,1,0,5,3,0,11,5,6,2,261,26,85,1,0,0,0,4,21,584.0
234,2,6,0,13,94,0,0,9,0,1,14,3,0,2,258,20,129,0,1,0,1,9,43,705.02
238,1,0,0,12,67,2,1,3,0,0,14,8,1,1,248,21,118,1,1,0,3,15,38,654.9799999999999
239,1,2,0,4,52,0,0,4,2,1,6,4,5,0,281,19,110,0,0,0,0,5,35,631.0000000000001
240,2,0,1,14,90,0,3,4,0,4,13,6,3,3,284,40,127,2,0,1,2,4,48,750.9799999999999
245,0,3,0,12,66,4,0,2,0,0,17,4,2,1,272,31,132,1,3,0,0,2,45,697.02
252,1,0,0,12,60,0,0,6,2,0,8,5,3,1,300,32,78,3,2,0,0,5,23,640.9699999999999
256,1,2,1,19,85,2,0,9,0,0,12,13,2,1,179,25,159,0,1,0,0,1,30,641.9899999999999
