SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
425,71,1,0,236,91,35,15,39,12,11,3,0,1,5,3,37,1,36,597
426,35,3,0,245,68,46,15,26,9,6,1,2,0,5,1,57,0,23,542
427,32,4,0,263,93,26,8,24,11,12,3,1,1,10,1,61,0,11,561
428,59,4,0,211,78,31,25,50,18,16,1,1,1,2,2,40,2,44,585
429,68,9,0,184,95,40,11,39,17,11,2,0,1,4,1,33,1,39,555
430,72,3,0,247,69,33,21,52,20,18,1,1,0,5,1,37,0,31,611
431,74,5,2,161,106,35,19,47,16,10,2,3,1,0,0,22,3,41,547
432,83,2,3,111,133,19,10,42,14,13,1,0,0,3,3,19,0,39,495
433,81,4,3,156,113,43,18,41,24,17,3,2,2,3,0,18,4,34,566
434,58,2,5,187,103,38,6,29,13,18,1,0,0,5,3,41,1,40,550
435,83,4,3,196,110,39,26,34,16,9,5,1,2,4,0,37,1,31,601
436,81,4,2,225,97,45,14,26,15,12,1,1,2,2,0,32,0,29,588
437,18,1,2,47,26,10,0,7,3,4,0,0,1,1,1,11,0,3,135
438,6,0,0,45,26,3,4,7,2,0,0,1,0,1,0,10,0,5,110
439,11,0,0,38,15,7,1,7,1,1,0,0,0,3,0,5,1,4,94
440,3,0,0,10,13,2,2,3,1,0,0,0,0,1,2,6,0,8,51
441,13,0,0,25,11,4,2,7,4,0,0,0,0,0,0,9,0,2,77
442,7,1,3,29,18,7,4,8,3,0,1,0,0,0,0,12,1,6,100
443,10,1,2,27,19,2,2,5,1,0,1,0,1,1,1,7,1,5,86
444,7,0,0,24,11,5,4,5,2,2,1,0,0,0,0,4,0,4,69
445,10,0,0,21,15,1,3,4,0,1,0,1,0,0,0,3,0,1,60
446,11,0,0,25,20,5,3,4,2,3,0,0,2,0,1,3,2,9,90
447,16,0,3,52,20,11,5,2,3,2,0,1,0,4,0,7,0,3,129
448,10,0,1,57,21,10,0,4,3,2,2,0,0,2,0,7,0,11,130
