SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
194,99,3,0,107,165,21,13,50,23,7,0,2,0,0,2,15,1,98,606
195,70,6,0,134,151,36,19,43,22,9,0,3,1,5,3,26,3,67,598
196,108,2,2,83,165,24,12,34,19,8,3,2,0,1,1,18,3,57,542
197,87,3,3,116,146,26,12,49,15,17,1,1,2,2,3,18,1,42,544
198,79,3,4,235,105,56,21,61,18,14,2,1,1,7,0,55,2,22,686
199,75,9,2,266,67,70,39,56,27,15,6,1,0,10,0,64,2,29,738
200,96,4,2,271,74,65,26,63,21,13,3,4,1,2,4,57,1,36,743
201,52,4,0,276,103,59,29,46,19,8,1,0,1,9,1,65,1,32,706
202,65,5,5,257,114,46,31,68,12,15,1,0,0,5,1,45,4,44,718
203,64,3,2,275,92,55,21,53,18,10,6,0,1,13,0,60,0,22,695
204,78,12,1,271,97,63,35,60,20,11,4,0,1,10,2,51,3,30,749
205,76,2,0,246,99,40,23,50,14,10,2,1,2,6,1,36,2,38,648
206,67,3,2,238,113,43,10,48,19,11,2,1,0,2,2,45,4,43,653
207,79,2,3,285,103,50,30,55,16,15,2,0,1,6,3,46,4,33,733
208,49,0,4,256,88,37,15,31,12,9,4,1,0,8,0,56,1,18,589
209,64,5,1,272,77,40,24,60,20,11,0,2,0,10,1,50,4,26,667
210,59,1,1,185,108,37,18,43,14,14,1,2,0,6,0,23,5,50,567
211,67,5,0,278,89,45,22,63,23,11,3,0,0,5,2,35,0,33,681
212,70,5,7,272,117,53,22,33,34,10,2,2,1,3,1,30,0,41,703
213,39,0,2,309,81,35,13,55,9,11,1,1,0,3,4,48,0,29,640
214,63,4,2,264,109,33,13,54,16,14,1,0,0,2,1,25,4,32,637
215,57,5,0,214,87,44,11,42,24,9,0,0,1,3,0,31,5,37,570
216,72,6,2,190,96,37,21,45,17,12,1,1,0,6,1,34,2,44,587
