SEZIONE,collegio_senato,rifondazione_comunista,democrazia_europea,lista_pannella_bonino,casa_delle_liberta,l_ulivo_per_rutelli,lista_di_pietro,TOTALE
418,6,23,7,15,218,392,24,784.997334315
436,6,20,3,10,213,350,8,710.0012582780001
438,6,11,1,2,42,81,7,249.998888889
7,6,39,11,20,225,302,21,724.010679612
8,6,30,21,11,170,264,16,617.999375
9,6,41,5,19,211,256,15,652.9854296159999
11,6,24,7,14,174,237,7,568.993585313
12,6,39,5,19,148,289,7,613.002307692
13,6,25,5,13,129,196,4,478.000430108
17,7,40,7,21,219,341,19,754.0023802160001
19,7,14,15,21,334,199,10,700.0008768970001
25,7,28,7,19,313,253,11,737.997400951
26,7,26,7,27,279,287,28,760.995535168
27,7,21,13,9,210,318,20,697.9932994919999
32,7,29,8,15,250,355,15,778.99547619
35,7,38,12,22,292,312,20,802.989770115
40,7,7,13,17,286,166,11,607.0
43,7,16,14,14,277,301,25,753.982952087
47,6,23,12,20,279,242,11,692.998228279
48,6,11,6,13,314,230,21,700.998739496
49,6,18,15,21,250,230,17,656.996787659
55,6,12,5,12,257,204,17,613.006863905
60,6,20,12,9,248,208,11,613.9970078739999
64,7,33,11,20,267,280,13,730.9984615380001
71,7,20,12,11,246,283,30,708.992259136
72,7,41,9,16,180,350,28,731.0005128210001
73,7,39,7,11,157,410,16,746.9937500000001
74,7,21,11,16,178,382,20,734.9939490449999
76,7,26,4,12,192,286,19,646.003747681
77,7,45,5,11,232,305,21,725.999789984
78,7,23,4,16,253,281,30,713.999126853
79,7,18,10,19,283,282,29,747.988112324
80,7,18,6,7,284,155,27,604.001730382
81,7,47,7,25,160,433,29,808.0047075609999
88,6,32,4,22,163,306,7,639.992509363
92,6,32,5,17,162,299,6,626.992034549
93,6,27,7,17,195,280,14,646.0
94,6,30,7,16,142,270,9,580.009113924
96,6,18,3,14,230,248,13,632.0020532320001
99,6,11,13,17,240,216,12,615.001100196
102,6,30,12,12,227,299,13,698.989021922
107,6,37,8,16,189,394,17,766.997579425
109,6,39,4,21,178,363,17,728.000096463
110,6,34,13,17,156,332,20,677.9940559439999
115,6,35,4,11,147,328,10,641.012056075
122,6,29,7,8,231,349,16,745.99125
123,6,20,9,23,253,316,17,744.0047962379999
124,6,42,6,11,153,386,16,720.010390879
125,6,52,8,16,175,358,16,730.9999999999999
126,6,26,16,13,233,326,22,742.008050314
129,6,32,7,9,197,354,15,719.991726384
131,6,29,10,10,222,383,13,772.997826087
134,6,31,11,11,187,350,23,718.997096248
136,6,29,4,11,216,309,13,687.9928178690001
138,6,11,10,18,302,188,11,645.9970370369999
139,6,7,14,26,296,181,9,639.003320826
141,6,44,9,16,183,267,13,638.0006766920001
142,6,9,3,14,272,182,9,594.990490798
144,6,19,15,16,260,264,12,692.0023208189999
145,6,10,12,14,304,228,17,690.999401709
147,6,33,5,26,209,288,18,684.9994818650001
148,6,38,9,11,213,260,20,657.0065517239999
152,6,9,14,25,261,213,10,638.001729323
155,6,11,7,21,311,255,21,731.9871884980001
156,6,4,7,20,314,208,12,670.997964602
157,6,11,6,15,359,203,18,717.997385621
158,6,11,4,19,347,234,11,732.007188498
159,6,9,9,21,374,181,12,712.0151485150001
160,6,21,9,11,282,272,9,709.996821192
163,6,24,30,19,281,207,10,676.993152364
166,6,8,8,19,326,256,15,738.005822785
174,6,22,14,8,284,277,16,727.0026731080001
183,6,16,13,16,298,242,16,706.9922296169999
184,6,16,3,21,232,319,10,706.992229617
185,6,35,4,9,158,399,10,721.001056911
187,6,12,2,17,216,340,19,712.01019802
194,6,14,24,14,323,241,9,731.0
197,6,20,12,14,250,217,10,628.994091778
204,7,45,6,20,205,416,34,832.9983471069999
207,7,46,10,23,211,432,32,860.990795756
208,7,54,6,14,182,391,26,779.9937741460001
209,7,44,3,13,169,407,22,764.9969300910001
211,7,39,6,20,232,479,24,907.005
212,7,41,14,16,227,399,19,822.996256983
226,7,38,6,5,178,388,18,740.003159558
227,7,38,6,12,151,397,20,730.9997435900001
229,7,17,9,14,242,362,23,773.998725637
231,7,36,2,13,173,347,13,691.004383562
233,7,34,1,16,177,357,27,718.985555556
235,7,41,5,14,160,378,22,727.0129032259999
237,7,39,9,16,144,486,22,822.996927374
238,7,40,8,14,189,398,15,770.9940963859999
239,7,33,2,10,167,417,18,754.000463679
240,7,42,6,12,194,381,26,768.004009077
243,7,48,3,9,163,424,22,776.0048878919999
248,7,27,6,12,127,460,25,764.0095890409999
256,7,22,5,13,212,290,17,665.9955992839999
257,7,25,9,10,183,343,21,697.9901184429999
258,7,17,5,13,197,360,16,714.996052632
264,6,27,4,10,180,333,6,665.991428571
267,6,21,11,14,229,314,19,713.993947368
273,6,23,6,16,189,335,17,691.994914676
276,6,26,5,16,181,402,25,760.9894656490001
282,6,33,5,13,203,361,17,738.001518987
286,6,36,10,17,149,381,19,717.992352941
291,6,39,6,10,139,349,17,666.004285714
292,6,39,5,14,137,406,17,724.0106796120001
293,6,27,9,9,151,414,11,727.0078260869999
297,6,38,11,21,184,469,17,846.0051351349999
298,6,26,8,19,150,417,16,742.008050314
299,6,14,3,20,167,409,25,744.004357367
301,6,40,9,12,154,452,18,790.999416058
302,6,28,5,12,198,435,15,798.9904040399999
303,6,21,4,9,178,421,14,752.9957496139999
307,6,26,11,4,151,461,16,774.9963976079999
309,6,25,5,9,145,468,16,774.0125149699999
310,6,26,13,15,176,416,15,767.0034341909999
312,6,30,2,10,119,503,11,781.004444444
316,7,37,6,15,175,351,29,720.00588907
317,7,24,3,19,162,404,23,741.989527559
319,7,58,4,19,112,441,19,759.9920826949999
321,7,45,5,6,130,364,17,674.006507937
326,7,41,7,11,158,322,15,661.000722022
327,7,47,10,21,165,319,22,690.997945205
334,6,33,9,11,179,371,21,730.008461538
336,6,15,15,8,209,408,11,771.992252252
338,6,29,8,6,177,288,10,623.998455598
339,6,19,7,19,199,375,24,748.9948989110001
340,6,43,3,22,189,375,20,758.0050920250001
341,6,34,7,7,168,397,13,732.011309904
343,6,52,4,19,144,400,10,734.9970906200001
344,6,27,5,17,180,371,14,719.997394137
346,6,19,6,24,258,311,13,737.0010935019999
347,6,34,3,19,249,317,19,746.9942121680001
