SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO PSI,FORZA ITALIA,ITALIA DEI VALORI,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,NO EURO,P.D.C.I.,PARTITO PENSIONATI,RIFONDAZIONE COMUNISTA,UDC,UDEUR,ULIVO,VERDI,TOTALE
75,76,5,2,119,22,31,14,4,0,17,4,37,38,1,282,16,668
76,43,5,1,89,9,12,8,3,2,19,8,23,18,0,239,9,488
77,68,4,4,121,9,30,12,5,1,11,2,35,27,3,273,17,622
78,90,13,2,140,8,12,15,8,0,13,2,27,42,4,245,13,634
79,98,9,1,128,12,15,23,2,0,9,1,30,43,1,241,9,622
80,114,4,1,93,9,13,17,6,2,10,0,11,32,5,148,5,470
81,53,1,1,69,15,24,12,2,1,14,11,40,38,2,396,17,696
82,37,3,0,70,10,10,8,2,0,19,4,35,13,0,329,8,548
83,52,2,0,97,8,24,2,0,0,14,4,19,33,0,276,6,537
84,79,7,0,122,2,25,4,8,0,9,0,17,49,1,119,6,448
85,79,0,2,99,8,38,9,0,0,8,0,40,24,0,215,18,540
86,71,4,3,158,10,25,6,3,0,10,2,24,41,2,185,18,562
87,53,3,1,127,10,31,7,3,1,9,2,46,34,1,229,13,570
88,46,0,3,69,13,38,9,0,1,16,3,61,22,1,204,26,512
89,65,2,2,94,5,31,8,0,0,9,2,41,38,2,205,17,521
90,72,2,3,130,11,39,16,3,1,8,2,45,23,0,181,13,549
91,56,3,0,86,9,46,12,1,0,19,1,51,26,1,233,23,567
92,51,4,2,92,16,32,8,1,1,19,3,71,16,0,229,26,571
93,69,8,2,73,9,39,8,3,0,10,2,35,35,1,236,11,541
94,46,1,4,52,9,19,9,3,1,18,4,37,12,0,204,17,436
95,66,2,0,87,10,37,8,2,1,19,2,37,33,1,231,18,554
96,84,2,0,98,6,20,10,0,0,9,3,51,35,1,185,10,514
97,70,2,0,103,10,22,11,0,3,16,1,49,21,2,206,16,532
98,91,6,1,150,12,15,14,2,1,2,1,16,42,1,185,15,554
99,119,2,2,159,9,24,4,0,0,6,3,24,52,0,244,12,660
100,71,5,0,88,8,26,8,3,0,6,8,28,18,2,215,18,504
101,95,1,2,117,9,17,9,1,1,8,2,21,26,5,196,12,522
102,72,5,1,117,19,31,13,4,0,22,4,52,45,4,283,19,691
103,81,5,2,133,10,26,15,0,0,8,7,32,45,3,234,18,619
104,105,1,4,117,12,23,14,0,0,17,5,22,40,7,258,18,643
105,92,7,2,90,15,27,8,1,0,13,2,35,50,1,245,23,611
106,57,4,2,79,11,14,8,2,0,17,6,43,42,1,284,16,586
107,49,3,1,78,19,26,10,2,2,20,5,53,30,6,318,13,635
108,48,2,2,60,16,13,5,1,0,17,11,29,20,1,332,17,574
109,71,3,1,86,11,23,9,3,0,26,4,57,32,0,341,23,690
110,88,4,3,77,19,21,17,4,0,19,6,38,34,0,338,21,689
111,44,4,3,93,15,18,19,1,0,15,8,42,20,1,357,5,645
112,73,7,4,93,11,26,11,2,0,22,4,56,37,1,289,19,655
113,78,1,1,97,14,22,11,1,1,14,2,33,40,1,277,25,618
114,90,3,0,148,17,31,12,3,1,14,5,36,44,2,231,9,646
115,64,6,0,89,13,27,16,2,3,12,4,56,17,1,264,17,591
116,63,3,1,83,15,23,8,3,0,13,1,37,26,0,328,10,614
117,76,3,0,129,12,23,16,2,2,11,4,36,44,1,319,16,694
118,50,1,2,62,5,11,9,2,1,7,4,18,23,1,161,6,363
119,76,1,3,78,16,15,16,1,1,9,4,31,33,4,312,26,626
120,74,4,0,127,8,17,12,2,0,8,3,32,42,0,242,15,586
121,70,1,0,114,9,13,17,2,0,16,3,31,39,1,249,5,570
122,56,3,3,124,9,12,6,2,0,15,10,24,30,3,290,14,601
123,80,7,1,125,15,23,15,2,0,10,3,19,41,1,258,9,609
124,36,3,3,59,10,32,6,3,0,20,2,44,18,1,318,14,569
125,64,6,2,90,14,15,5,0,0,28,8,50,22,2,284,24,614
126,83,5,3,100,11,23,12,3,1,13,7,32,62,1,263,10,629
127,73,4,0,118,8,15,8,1,3,9,7,33,35,3,375,15,707
128,58,1,1,101,18,18,11,2,1,13,3,22,26,2,329,8,614
129,81,2,2,90,7,17,5,3,1,22,2,40,35,1,340,17,665
130,76,4,1,88,17,24,11,5,0,19,7,33,42,5,301,12,645
131,82,3,0,121,15,25,19,1,0,10,6,24,18,1,318,10,653
132,95,5,0,144,7,23,9,1,0,9,3,40,39,1,385,16,777
133,89,5,1,119,20,24,19,4,3,18,6,36,49,1,360,14,768
134,68,2,5,94,12,19,22,8,2,17,5,46,38,1,365,16,720
135,72,7,0,93,16,12,22,4,1,14,9,57,26,2,344,11,690
136,86,2,0,107,12,11,5,4,1,16,4,22,30,0,284,8,592
137,120,7,2,126,7,23,12,0,1,12,4,50,33,1,375,19,792
138,74,4,5,181,8,28,10,3,0,11,0,15,46,1,139,12,537
139,77,4,2,152,7,33,11,1,1,10,1,14,79,3,150,8,553
140,65,1,2,96,8,31,9,2,0,12,1,51,36,1,216,15,546
141,64,3,1,109,7,29,5,0,0,14,4,37,30,0,197,16,516
142,79,1,1,163,5,20,8,1,0,0,1,12,37,0,156,6,490
143,72,8,3,155,4,35,12,1,2,11,2,22,43,2,196,14,582
144,72,3,3,144,7,31,4,0,0,16,1,41,40,2,220,13,597
145,79,2,1,147,5,35,8,4,1,7,0,17,68,1,195,13,583
146,84,4,1,124,13,20,8,2,0,12,2,27,34,4,205,16,556
147,69,7,4,114,7,27,15,1,1,16,3,44,38,3,245,27,621
148,54,2,0,102,8,23,8,2,2,14,4,59,24,3,217,21,543
149,63,4,3,95,8,20,7,3,1,10,1,44,34,0,217,16,526
150,90,5,5,95,9,29,6,4,0,13,2,29,43,2,176,14,522
151,76,2,0,130,13,29,3,0,0,13,5,45,52,2,175,22,567
152,81,7,1,123,5,23,7,4,0,3,0,17,56,0,175,10,512
