SEZIONE,partito_comunista_lavoratori,u_d_c_e_democratici_centro,partito_liberale_italiano,forza_nuova,la_sinistra_l_arcobaleno,il_popolo_della_liberta,lega_nord,la_destra_fiamma_tricolore,unione_democratica_consumatori,italia_dei_valori,partito_democratico,sinistra_critica,per_il_bene_comune,partito_socialista,TOTALE
234,1,35,1,1,13,178,25,14,1,30,323,0,2,0,724.0000000000001
235,5,16,0,1,19,124,12,13,3,44,339,4,4,3,686.9899999999999
237,1,29,1,1,33,126,29,8,3,60,463,1,4,3,861.99
238,2,22,3,1,24,125,22,8,4,25,296,2,4,2,639.99
241,3,26,2,1,31,102,18,10,2,21,346,3,4,6,674.9899999999999
243,1,9,1,1,28,127,19,18,0,35,310,2,1,0,651.9899999999999
244,5,27,2,2,24,120,27,12,2,35,348,4,2,5,715.0099999999999
247,4,27,2,0,22,129,28,12,1,35,276,2,1,3,641.9899999999999
253,5,21,1,0,19,117,14,10,0,43,329,1,2,4,666.0100000000001
257,3,23,1,4,9,128,23,8,0,19,277,1,2,4,601.9999999999999
259,1,20,4,0,13,133,26,10,1,23,332,1,2,2,668.0100000000001
261,4,12,3,1,35,139,8,6,1,29,202,2,3,7,551.98
265,4,12,3,4,20,100,10,15,0,8,191,2,4,5,478.01
269,3,20,2,0,24,142,12,13,0,32,294,2,2,3,649.0
271,6,21,3,0,44,113,13,19,4,31,226,4,5,8,597.0
274,2,20,1,1,29,105,17,6,1,37,311,0,2,3,635.01
275,2,39,0,1,38,139,12,10,2,39,265,4,0,5,655.99
277,1,19,0,4,32,198,21,6,1,30,243,3,3,5,665.9999999999999
281,4,22,0,1,35,116,16,11,1,20,236,1,3,9,574.99
284,5,17,0,2,31,108,17,8,1,40,277,3,1,8,617.9800000000001
285,5,22,3,0,23,120,16,10,4,40,306,2,1,1,652.9799999999999
287,3,13,0,2,21,111,15,14,1,23,304,5,0,4,616.0
289,2,14,2,1,41,102,20,10,1,31,292,2,8,6,632.0199999999999
290,4,20,0,0,20,137,14,12,0,28,332,5,2,3,677.01
291,2,11,1,0,25,110,14,10,1,15,261,0,3,3,555.9999999999999
299,3,17,0,0,23,149,27,11,6,36,382,1,4,3,761.9900000000002
300,5,12,1,0,22,107,21,8,0,18,285,3,5,6,592.9799999999999
301,6,26,2,3,39,144,23,16,2,36,390,2,5,4,798.0100000000001
304,6,23,2,3,31,128,19,13,1,21,208,2,0,6,563.02
306,1,19,2,0,36,86,21,8,0,35,393,3,1,3,707.99
308,2,11,2,2,27,109,22,17,2,23,372,3,4,3,698.99
310,10,18,2,0,21,136,8,18,2,19,277,1,2,6,619.97
311,1,16,3,1,28,101,11,11,0,23,360,1,1,5,662.0099999999999
313,5,20,1,4,20,149,12,5,1,23,360,1,0,8,708.9799999999999
316,2,9,1,1,26,157,19,10,2,25,283,3,3,4,644.9999999999999
318,3,19,3,2,17,121,23,9,2,26,274,5,2,3,608.9900000000001
325,6,17,4,3,20,122,12,8,1,41,312,4,1,2,652.9799999999999
326,3,13,0,2,28,122,22,9,2,16,285,3,8,3,615.99
327,1,18,2,0,28,132,12,14,1,22,272,1,3,3,609.0100000000002
330,3,18,0,4,28,136,21,12,2,32,320,2,7,5,690.0100000000001
334,4,19,2,0,27,106,13,8,2,20,266,2,2,6,577.0099999999999
341,6,7,1,5,23,93,16,6,2,23,262,1,1,3,548.99
343,3,10,3,0,36,92,10,7,0,25,278,3,1,6,573.99
344,1,14,0,1,26,124,13,11,1,50,284,2,4,1,632.01
346,2,23,0,2,33,206,38,9,0,46,296,7,5,3,770.01
347,2,31,1,0,32,159,24,10,1,28,244,0,4,4,640.01
364,8,8,1,1,18,97,9,9,4,20,348,3,3,6,635.0099999999999
366,4,29,1,2,19,139,34,12,2,51,261,1,1,8,664.0099999999999
368,0,16,0,1,37,154,28,15,2,38,342,1,2,2,738.0099999999999
369,0,36,0,0,23,149,20,11,1,30,341,0,2,7,720.0
371,1,22,0,4,30,159,20,8,2,38,341,0,0,8,733.0
372,5,31,3,0,33,170,33,11,2,27,232,1,3,3,654.0099999999999
375,5,21,1,3,42,170,19,9,3,28,228,4,7,2,642.0
377,3,21,1,1,27,103,9,14,2,27,306,1,0,2,616.9900000000001
378,4,17,2,2,28,121,22,15,1,24,289,1,1,7,633.9900000000001
382,2,28,1,3,23,122,21,14,1,26,286,2,4,5,637.9999999999999
383,4,20,0,2,22,142,16,5,3,23,290,0,0,2,629.01
387,1,32,0,1,14,143,26,16,0,34,273,1,2,3,645.99
388,2,25,3,3,19,142,19,16,1,23,281,0,3,4,640.98
390,4,30,1,0,27,106,19,7,0,27,307,1,1,7,637.01
392,5,16,1,1,17,128,11,6,0,23,275,2,1,3,588.99
399,3,26,4,2,22,129,10,13,1,21,315,4,3,8,660.98
402,2,15,3,0,28,105,16,7,3,24,319,1,1,9,632.9900000000001
403,6,30,2,3,21,106,15,10,2,24,298,2,5,2,625.98
405,3,21,0,1,13,171,23,9,1,25,321,3,4,5,700.01
407,2,21,1,0,23,93,10,5,0,30,351,0,0,3,639.02
408,2,22,1,2,18,155,11,8,1,36,275,2,2,5,640.0099999999999
413,6,21,2,1,40,156,21,11,1,32,242,2,4,0,639.01
415,0,35,1,3,8,210,29,8,1,37,280,1,4,4,721.0
418,3,24,2,1,31,159,27,9,0,42,289,1,5,4,697.01
419,0,17,1,2,34,154,23,9,1,25,240,1,1,2,610.0099999999999
420,2,18,0,3,27,167,24,10,1,36,293,3,2,2,687.9900000000001
421,5,25,0,0,31,143,25,10,2,39,277,3,4,2,666.0100000000001
424,3,27,2,0,20,105,16,10,4,34,305,0,1,6,633.0100000000001
426,10,14,3,2,28,100,16,17,3,17,279,3,0,5,596.99
431,2,26,2,1,24,172,29,10,0,28,214,0,2,2,612.0
433,3,34,3,2,22,183,19,10,0,23,208,0,1,4,612.01
435,6,18,1,3,22,162,19,17,1,26,260,0,3,10,647.9800000000001
436,3,16,3,0,25,171,15,15,3,39,254,3,5,1,652.9699999999999
437,4,19,1,0,23,83,10,9,1,29,240,1,2,2,524.0000000000001
442,0,1,0,0,7,20,2,3,0,2,34,0,1,3,173.01
445,0,5,0,1,4,22,1,0,1,4,40,0,0,1,179.01
