tile_id,i,j,x,y,people,hc1,hc2,pvhe
1163,71,12,71,12,46,0.73193264,0.027585238,-0.003371378481743069
1164,72,12,72,12,4,0.062855646,0.0024624325,0.0007686543417907
1165,73,12,73,12,155,2.429145,0.13567084,-0.00013091957647793747
1166,74,12,74,12,131,2.0219016,0.11877541,-0.0005889304990126442
1167,75,12,75,12,9,0.1339401,0.0057385,-0.006345078751564303
1168,76,12,76,12,7,0.100657925,0.0035983655,-0.004349096175649184
1169,77,12,77,12,40,0.55632967,0.017540744,-0.0025050173468830032
1170,78,12,78,12,2,0.026879694,0.0006410551,-0.00908310249691662
1174,82,12,82,12,4,0.048353862,0.00084373896,-0.0091769843271025
1209,26,13,26,13,31,0.5041247,0.014380746,-0.0051903187670079
1210,27,13,27,13,56,0.9361688,0.030819757,-0.0051903187670079
1211,28,13,28,13,27,0.46150264,0.014851943,-0.0051903187670079
1214,31,13,31,13,5,0.09040787,0.0028214096,-0.012008568009790367
1216,33,13,33,13,1,0.018714126,0.00058936724,-0.006032564686041001
1217,34,13,34,13,22,0.42053267,0.0149135105,-0.013412935895333798
1218,35,13,35,13,79,1.549013,0.06813805,-0.01695181383737239
1219,36,13,36,13,123,2.4705994,0.12853868,0.004718481827105851
1220,37,13,37,13,105,2.143302,0.11597123,-0.013932340364381488
1221,38,13,38,13,181,3.7285159,0.20701292,-0.015288188427872103
1224,41,13,41,13,5,0.10239669,0.0033410885,-0.01626597355559114
1225,42,13,42,13,12,0.24670461,0.007894009,-0.015739379693245705
1226,43,13,43,13,55,1.1392071,0.039226674,-0.013446125222009272
1229,46,13,46,13,18,0.38025612,0.012771684,-0.015533950682506358
1231,48,13,48,13,87,1.8785777,0.08239108,-0.007780671498148153
1232,49,13,49,13,116,2.5184429,0.11712131,-0.010104745153986894
1233,50,13,50,13,77,1.6705694,0.074716866,-0.002776008626524956
1234,51,13,51,13,93,2.0139854,0.09147787,-0.0030189352512843895
1235,52,13,52,13,81,1.7446355,0.07756437,-0.002382846968043491
1236,53,13,53,13,22,0.46949798,0.019453833,-0.0023765773068704244
1237,54,13,54,13,1,0.021094032,0.0008387645,-0.002315238390905365
1238,55,13,55,13,42,0.87282187,0.034416873,-0.0023451848023173577
1249,66,13,66,13,1,0.01745397,0.0005027155,0.0007686543417907
1252,69,13,69,13,7,0.118808925,0.004344204,-6.957056552647182e-05
1253,70,13,70,13,70,1.178998,0.053738695,-0.002530907940320936
1254,71,13,71,13,53,0.87501127,0.038157616,-0.004012692204105625
1255,72,13,72,13,105,1.7013233,0.07854678,-0.006425332265793858
1256,73,13,73,13,110,1.7504936,0.08518193,-0.008894808971810792
1257,74,13,74,13,45,0.6966499,0.029219588,-0.0027212686944625667
1259,76,13,76,13,4,0.058061734,0.0016600039,-0.008620208960257024
1260,77,13,77,13,23,0.32459307,0.009050032,-0.004746077470498957
1261,78,13,78,13,4,0.05476684,0.001292208,-0.009082658558973507
1300,26,14,26,14,42,0.7060199,0.022885226,-0.0051903187670079
1301,27,14,27,14,59,1.0232636,0.0385967,-0.0051903187670079
