tile_id,num_no_hh,people,ngiant,frac_no_hh,frac_giant,x,y,hc1,hc2
1128,7,144,137.0,0.04861111111111111,0.9513888888888888,36,12,2.8069773,0.1556676
1129,22,204,190.0,0.10784313725490197,0.9313725490196079,37,12,4.0331106,0.23810971
1130,8,63,55.0,0.12698412698412698,0.873015873015873,38,12,1.2412679,0.05734516
1135,4,7,6.0,0.5714285714285714,0.8571428571428571,43,12,0.13884248,0.004202006
1136,4,51,38.0,0.0784313725490196,0.7450980392156863,44,12,1.0190315,0.033581365
1142,9,23,22.0,0.391304347826087,0.9565217391304348,50,12,0.4714494,0.017002244
1143,7,33,27.0,0.21212121212121213,0.8181818181818182,51,12,0.6750874,0.024794668
1144,1,1,1.0,1.0,1.0,52,12,0.020326559,0.0007013029
1145,4,23,20.0,0.17391304347826086,0.8695652173913043,53,12,0.46379864,0.015870882
1146,1,1,0.0,1.0,0.0,54,12,0.019941559,0.0006408032
1147,7,16,13.0,0.4375,0.8125,55,12,0.3151041,0.010030955
1162,7,51,43.0,0.13725490196078433,0.8431372549019608,70,12,0.82238704,0.029893585
1163,4,46,43.0,0.08695652173913043,0.9347826086956522,71,12,0.73193264,0.027585238
1164,3,4,3.0,0.75,0.75,72,12,0.062855646,0.0024624325
1165,0,155,147.0,0.0,0.9483870967741935,73,12,2.429145,0.13567084
1166,8,131,122.0,0.061068702290076333,0.9312977099236641,74,12,2.0219016,0.11877541
1167,4,9,8.0,0.4444444444444444,0.8888888888888888,75,12,0.1339401,0.0057385
1168,1,7,5.0,0.14285714285714285,0.7142857142857143,76,12,0.100657925,0.0035983655
1169,9,40,29.0,0.225,0.725,77,12,0.55632967,0.017540744
1170,2,2,1.0,1.0,0.5,78,12,0.026879694,0.0006410551
1174,4,4,0.0,1.0,0.0,82,12,0.048353862,0.00084373896
1209,6,31,25.0,0.1935483870967742,0.8064516129032258,26,13,0.5041247,0.014380746
1210,8,56,47.0,0.14285714285714285,0.8392857142857143,27,13,0.9361688,0.030819757
1211,3,27,23.0,0.1111111111111111,0.8518518518518519,28,13,0.46150264,0.014851943
1214,1,5,4.0,0.2,0.8,31,13,0.09040787,0.0028214096
1216,1,1,1.0,1.0,1.0,33,13,0.018714126,0.00058936724
1217,12,22,17.0,0.5454545454545454,0.7727272727272727,34,13,0.42053267,0.0149135105
1218,18,79,75.0,0.22784810126582278,0.9493670886075949,35,13,1.549013,0.06813805
