tile_id,x,y,people,hc1,hc2,pvhe
306,33,3,2,0.026990715,0.00046720583,0.0141202959757439
397,33,4,27,0.37567323,0.007746895,0.0141202959757439
398,34,4,23,0.3233932,0.006702632,0.0141202959757439
489,34,5,2,0.028982611,0.0005902962,0.0141202959757439
581,35,6,77,1.1724051,0.03517642,0.014910138563618718
620,74,6,2,0.025100138,0.00045911266,0.0367516196672066
621,75,6,4,0.04944129,0.0009168617,0.0367516196672066
622,76,6,7,0.08510946,0.0015882159,0.0367516196672066
623,77,6,7,0.08359224,0.0015208197,0.0367516196672066
624,78,6,6,0.07028132,0.0012104056,0.0367516196672066
625,79,6,1,0.011480367,0.00018040779,0.02670551477219664
672,35,7,91,1.4374362,0.04854522,0.015790296966759525
710,73,7,1,0.013100765,0.0002599079,0.0367516196672066
711,74,7,10,0.12922207,0.0027255756,0.0367516196672066
712,75,7,5,0.063597694,0.0013355562,0.0367516196672066
713,76,7,4,0.050000157,0.0010456647,0.0367516196672066
714,77,7,4,0.04902567,0.0009840324,0.0367516196672066
715,78,7,4,0.047977492,0.00088389154,0.036611628533097594
717,80,7,1,0.011486827,0.0001786943,0.0192188945387359
763,35,8,34,0.55654025,0.018674916,0.0166512518812002
764,36,8,88,1.457192,0.053035002,0.01556978110921172
800,72,8,7,0.09581597,0.0020935747,0.0367516196672066
801,73,8,6,0.081114024,0.0018586349,0.0367516196672066
802,74,8,5,0.066676244,0.0015891584,0.0367516196672066
803,75,8,6,0.07879054,0.0019607483,0.0367516196672066
804,76,8,23,0.29673484,0.0077932347,0.0367516196672066
805,77,8,18,0.22720686,0.005672367,0.0367516196672066
806,78,8,1,0.0122955665,0.00024772828,0.02688650678021471
809,81,8,1,0.01147086,0.00017661155,0.0192188945387359
854,35,9,105,1.7898947,0.073032446,0.01887452959081237
855,36,9,109,1.8807734,0.07878727,0.017100833435196135
891,72,9,5,0.07070359,0.0017381923,0.0367516196672066
892,73,9,10,0.14000624,0.0038570287,0.0367516196672066
893,74,9,7,0.09685036,0.002893446,0.0367516196672066
894,75,9,33,0.45000628,0.014994314,0.0367516196672066
895,76,9,16,0.21374364,0.0069950656,0.0368063426801357
896,77,9,70,0.91197973,0.029888777,0.036542815226756065
897,78,9,2,0.025220364,0.00056802906,0.019829462037234243
944,34,10,91,1.5773412,0.060023434,0.0256820215239293
945,35,10,53,0.93681335,0.037842136,0.0256820215239293
946,36,10,81,1.4550946,0.064705215,0.0243048714032439
982,72,10,5,0.07324557,0.0021183095,0.0367516196672066
983,73,10,28,0.4085687,0.015225338,0.0367516196672066
984,74,10,37,0.53712255,0.024902763,0.0367516196672066
985,75,10,62,0.8839995,0.04220896,0.03689826121600404
986,76,10,125,1.7382787,0.08410394,0.03332763403919785
987,77,10,18,0.24065465,0.0077771675,0.020118681942153504
1032,31,11,11,0.18506067,0.004886864,0.0254455634184736
1033,32,11,27,0.46342695,0.013483677,0.024347998709482666
1034,33,11,46,0.80644125,0.026496185,0.0256820215239293
1035,34,11,64,1.1472687,0.04302809,0.0256820215239293
1036,35,11,4,0.073247515,0.0029196884,0.0256820215239293
1037,36,11,219,4.1213107,0.23556525,0.02569133694117102
1038,37,11,181,3.434049,0.18769188,0.015701478166616267
1039,38,11,64,1.2067096,0.049310327,0.015020686600985962
1045,44,11,54,1.0343902,0.03209846,0.018732069642322623
1071,70,11,1,0.015478597,0.00042473382,0.0367516196672066
1072,71,11,6,0.09186477,0.0027354478,0.0367516196672066
1073,72,11,22,0.3343703,0.01180615,0.0367516196672066
1074,73,11,88,1.3420774,0.070676334,0.0367516196672066
1075,74,11,467,7.173678,0.6106468,0.03707875743576997
1076,75,11,205,3.0455945,0.20164524,0.03943900713229974
1077,76,11,196,2.8077667,0.15780406,0.032552062451217965
1078,77,11,4,0.05468379,0.0017621717,0.019602663546763256
1123,31,12,46,0.8024984,0.024531513,0.024385971841136632
1124,32,12,11,0.19527619,0.0057701524,0.02234817725320705
1125,33,12,1,0.018084915,0.0005466958,0.025846407912097143
1127,35,12,73,1.3858211,0.06080963,0.022835939070910884
1128,36,12,144,2.8069773,0.1556676,0.04289357128876078
1129,37,12,204,4.0331106,0.23810971,0.020406075525653027
1130,38,12,63,1.2412679,0.05734516,0.014693737382887439
1135,43,12,7,0.13884248,0.004202006,0.015386240198285097
1136,44,12,51,1.0190315,0.033581365,0.02232685325991575
1142,50,12,23,0.4714494,0.017002244,0.028966574291088357
1143,51,12,33,0.6750874,0.024794668,0.028980854845088277
