tile_id,x,y,people,hc1,hc2,pvhe
306,33,3,2,0.026990715,0.00046720583,-0.0394549399996957
397,33,4,27,0.37567323,0.007746895,-0.0394549399996957
398,34,4,23,0.3233932,0.006702632,-0.0394549399996957
489,34,5,2,0.028982611,0.0005902962,-0.0394549399996957
581,35,6,77,1.1724051,0.03517642,-0.03806317281106774
620,74,6,2,0.025100138,0.00045911266,-0.0162541047158912
621,75,6,4,0.04944129,0.0009168617,-0.0162541047158912
622,76,6,7,0.08510946,0.0015882159,-0.0162541047158912
623,77,6,7,0.08359224,0.0015208197,-0.0162541047158912
624,78,6,6,0.07028132,0.0012104056,-0.0162541047158912
625,79,6,1,0.011480367,0.00018040779,-0.025259177150673426
672,35,7,91,1.4374362,0.04854522,-0.03651226177500609
710,73,7,1,0.013100765,0.0002599079,-0.0162541047158912
711,74,7,10,0.12922207,0.0027255756,-0.0162541047158912
712,75,7,5,0.063597694,0.0013355562,-0.0162541047158912
713,76,7,4,0.050000157,0.0010456647,-0.0162541047158912
714,77,7,4,0.04902567,0.0009840324,-0.0162541047158912
715,78,7,4,0.047977492,0.00088389154,-0.016379589201276683
717,80,7,1,0.011486827,0.0001786943,-0.0319699927551877
763,35,8,34,0.55654025,0.018674916,-0.0349951888554126
764,36,8,88,1.457192,0.053035002,-0.03690082873735863
800,72,8,7,0.09581597,0.0020935747,-0.0162541047158912
801,73,8,6,0.081114024,0.0018586349,-0.0162541047158912
802,74,8,5,0.066676244,0.0015891584,-0.0162541047158912
803,75,8,6,0.07879054,0.0019607483,-0.0162541047158912
804,76,8,23,0.29673484,0.0077932347,-0.0162541047158912
805,77,8,18,0.22720686,0.005672367,-0.0162541047158912
806,78,8,1,0.0122955665,0.00024772828,-0.025096940526693014
809,81,8,1,0.01147086,0.00017661155,-0.0319699927551877
854,35,9,105,1.7898947,0.073032446,-0.033208297336798386
855,36,9,109,1.8807734,0.07878727,-0.03536693462215752
891,72,9,5,0.07070359,0.0017381923,-0.0162541047158912
892,73,9,10,0.14000624,0.0038570287,-0.0162541047158912
893,74,9,7,0.09685036,0.002893446,-0.0162541047158912
894,75,9,33,0.45000628,0.014994314,-0.0162541047158912
895,76,9,16,0.21374364,0.0069950656,-0.01621258317967758
896,77,9,70,0.91197973,0.029888777,-0.01684820327531191
897,78,9,2,0.025220364,0.00056802906,-0.031448817458096995
