tile_id,x,y,people,pvhe
5964,48,58,297,-0.07900861402642148
5965,49,58,357,-0.07874870320858932
5966,50,58,782,-0.06954003016436316
5967,51,58,2877,-0.058819070460685165
5968,52,58,1590,-0.05529864927692262
5969,53,58,912,-0.07878702206232786
5970,54,58,284,-0.061955487597693926
5971,55,58,208,-0.05044566478077029
5972,56,58,12,-0.03351771267385041
5973,57,58,4,-0.0322277774586633
5974,58,58,23,-0.0322277774586633
5975,59,58,11,-0.03258768747509626
5976,60,58,1625,-0.03603658786547498
5977,61,58,504,-0.03774816555187882
5978,62,58,230,-0.017160434057591455
5980,64,58,1,-0.01637360796987878
5981,65,58,6,-0.02026085206482271
5982,66,58,2,-0.0267227306374695
5984,68,58,1,-0.02793151841566761
5985,69,58,6,-0.025089876598643254
5986,70,58,327,-0.026764155982922137
5987,71,58,340,-0.02695332424371229
5988,72,58,210,-0.020278971418749528
5989,73,58,656,-0.024565187535277026
5990,74,58,830,-0.02091275955034036
5991,75,58,375,-0.007974767933013847
5995,79,58,371,-0.006027288724088565
5996,80,58,1060,-0.0079099119196968
5997,81,58,23,0.002283857264942
5998,82,58,4,0.002279543344469296
5999,83,58,10,0.002222460634804292
6000,84,58,1,0.0020138722739900007
6001,85,58,4,0.0017226390233340287
6002,86,58,5,0.0016954127964493
6003,87,58,5,0.00028364711067004576
6006,90,58,11,-0.0176793069727503
6007,91,58,1,-0.0176793069727503
6008,92,58,5,-0.0176793069727503
6024,6,59,5,-9.605899738431012e-05
6027,9,59,3,-9.605899738431012e-05
6028,10,59,5,-9.605899738431012e-05
6029,11,59,4,-9.605899738431012e-05
6032,14,59,4,-0.02144920935278113
6033,15,59,114,-0.01774817081705289
6034,16,59,77,-0.013285499198146734
6035,17,59,11,-0.014371196784915427
6036,18,59,46,-0.012072754898804279
6037,19,59,77,-0.014603861285539681
6038,20,59,368,-0.03059255365694112
6039,21,59,670,-0.03080460874972216
6040,22,59,1195,-0.025142510761610996
6041,23,59,453,-0.017089513447656975
6042,24,59,590,0.0025877603876385187
6043,25,59,732,-0.00759354865977556
6044,26,59,668,-0.030000283310299886
6045,27,59,1342,-0.03130399994580324
6046,28,59,1081,-0.03964866357957428
6047,29,59,5717,-0.056030055651831424
6048,30,59,6009,-0.06254438845899761
6049,31,59,2861,-0.0731332587311677
6050,32,59,295,-0.06910976634969329
6051,33,59,2477,-0.08292368907050054
6052,34,59,4361,-0.08145347768822818
6053,35,59,77,-0.09412126324533283
6054,36,59,310,-0.08791822155078927
6055,37,59,3273,-0.09790040802291712
6056,38,59,2316,-0.09043371443398376
6057,39,59,2120,-0.061007712869714584
6058,40,59,4325,-0.05312466157382461
6059,41,59,3225,-0.057078084536847706
6060,42,59,2089,-0.06286427754680149
6061,43,59,945,-0.062480444120834706
6062,44,59,3746,-0.0829516824673775
6063,45,59,4807,-0.10342273275488659
6064,46,59,4171,-0.09041910586280338
6065,47,59,3795,-0.0853031477903198
6066,48,59,645,-0.08008471020567143
6067,49,59,721,-0.08040336377807143
6068,50,59,1147,-0.0766997737723821
6069,51,59,824,-0.06756268477675695
6070,52,59,105,-0.07084475139294821
