tile_id,x,y,people,pvhe
545,35,5,1,-0.0137347050513849
647,35,6,6,-0.0137347050513849
648,36,6,11,-0.0137347050513849
649,37,6,14,-0.0137347050513849
748,34,7,10,-0.0137347050513849
749,35,7,5,-0.0137347050513849
750,36,7,13,-0.0137347050513849
751,37,7,12,-0.0137347050513849
752,38,7,12,-0.0137347050513849
753,39,7,28,-0.0137347050513849
754,40,7,49,-0.0137347050513849
759,45,7,1,-0.0137347050513849
774,60,7,1,-0.0116293203445984
849,33,8,6,-0.0137347050513849
850,34,8,13,-0.0137347050513849
854,38,8,1,-0.0137347050513849
855,39,8,12,-0.01661152269208895
856,40,8,11,-0.014470011902861535
936,18,9,1,-0.0459560147935833
951,33,9,1,-0.0137347050513849
952,34,9,4,-0.0137347050513849
955,37,9,1,-0.0137347050513849
956,38,9,18,-0.0208899354686616
957,39,9,2,-0.030793728632300062
964,46,9,2,-0.03026388451447682
965,47,9,16,-0.02533585171685413
966,48,9,13,-0.0201166848954364
967,49,9,12,-0.0201166848954364
968,50,9,6,-0.0201166848954364
975,57,9,46,-0.0116293203445984
976,58,9,30,-0.0116293203445984
1036,16,10,1,-0.0459560147935833
1037,17,10,6,-0.0459560147935833
1038,18,10,5,-0.0459560147935833
1057,37,10,7,-0.016853506545185037
1058,38,10,5,-0.02989487276448202
1067,47,10,7,-0.02848196081002934
1068,48,10,5,-0.0201166848954364
1069,49,10,5,-0.0201166848954364
1070,50,10,7,-0.0201166848954364
1077,57,10,82,-0.0116293203445984
1078,58,10,77,-0.0116293203445984
1079,59,10,1,-0.0116293203445984
1080,60,10,7,-0.0116293203445984
1081,61,10,5,-0.0116293203445984
1136,14,11,1,-0.0459560147935833
1137,15,11,8,-0.0459560147935833
1138,16,11,7,-0.0459560147935833
1139,17,11,1,-0.0459560147935833
1141,19,11,4,-0.044281866932161996
1142,20,11,4,-0.04345065737493587
1158,36,11,6,-0.020383994728164483
1159,37,11,12,-0.031517157892369474
1168,46,11,2,-0.0310309277934781
1169,47,11,14,-0.026780743789412094
1171,49,11,3,-0.0201166848954364
1172,50,11,2,-0.0201166848954364
1173,51,11,1,-0.0201166848954364
1178,56,11,59,-0.0116293203445984
1179,57,11,266,-0.0116293203445984
1180,58,11,11,-0.0116293203445984
1181,59,11,14,-0.0116293203445984
1183,61,11,4,-0.0116293203445984
1237,13,12,7,-0.0459560147935833
1238,14,12,22,-0.0459560147935833
1239,15,12,1,-0.0459560147935833
1244,20,12,7,-0.030803652122847105
1255,31,12,1,-0.0137347050513849
1260,36,12,7,-0.029195847767389174
1262,38,12,1,-0.031211179129584033
1265,41,12,10,-0.0310309277934781
