SEZIONE,TOTALE_ISCRITTI,"1 - PARTITO DEMOCRATICO,VELTRON","2 - ITALIA DEI VALORI,DI PIETRO","3 - PARTITO SOCIALISTA,BOSELLI","4 - UNIONE DI CENTRO,CASINI PRE","5 - LEGA NORD,BOSSI","6 - IL POPOLO DELLE LIBERTÁ,BER","7 - SINISTRA CRITICA,ECOLOGISTA",8 - PARTITO COMUNISTA DEI LAVORAT,9 - PARTITO LIBERALE ITALIANO,10 - LA DESTRA FIAMMA TRICOLORE -,11 - PER IL BENE COMUNE,12 - LA SINISTRA L'ARCOBALENO,13 - UNIONE DEMOCRATICA PER I CONS,"14 - P.P.A.,LIBERTÁ E PARTECIPAZ",TOTALE,AFFLUENZA
89,772,225,51,6,33,35,187,3,3,2,20,0,27,4,1,597,0.7733160621761658
90,653,210,34,3,23,19,133,2,6,2,9,2,18,0,0,461,0.7059724349157733
91,604,192,25,1,40,18,166,0,3,0,9,2,20,1,0,477,0.7897350993377483
92,700,191,36,1,25,44,186,4,2,0,18,1,23,3,0,534,0.7628571428571429
93,658,197,39,5,13,30,133,2,3,2,15,3,16,0,0,458,0.6960486322188449
94,816,258,43,1,32,45,210,3,1,2,11,2,15,2,4,629,0.7708333333333334
95,780,221,49,4,28,40,234,2,0,2,20,0,20,2,0,622,0.7974358974358975
96,824,248,48,6,33,49,248,2,1,1,19,2,14,1,0,672,0.8155339805825242
97,763,225,45,2,28,40,228,2,5,5,13,0,13,0,0,606,0.7942332896461337
98,692,233,45,6,25,34,167,1,3,4,17,4,11,2,0,552,0.7976878612716763
99,728,203,23,0,19,32,215,3,1,3,17,1,20,0,0,537,0.7376373626373627
100,804,278,41,1,21,32,198,3,7,2,18,4,19,0,1,625,0.777363184079602
101,785,250,49,0,37,35,188,1,6,2,21,5,27,2,0,623,0.7936305732484077
102,721,219,46,5,26,22,186,6,8,4,16,2,27,1,1,569,0.7891816920943134
103,746,236,40,1,21,30,173,2,3,5,17,1,23,1,1,554,0.7426273458445041
104,786,258,43,2,20,34,179,5,2,2,14,2,24,1,1,587,0.7468193384223919
105,795,264,48,3,29,40,168,0,2,1,20,1,27,1,0,604,0.759748427672956
106,665,198,37,0,24,37,161,3,3,0,19,1,27,1,0,511,0.7684210526315789
107,679,201,31,1,31,29,180,3,3,4,9,0,27,2,3,524,0.7717231222385862
108,882,286,51,2,39,34,213,0,4,1,18,0,32,2,0,682,0.7732426303854876
109,863,242,42,9,32,46,209,2,4,1,22,3,22,2,1,637,0.7381228273464658
110,517,122,16,1,18,16,169,0,1,1,17,0,12,2,0,375,0.7253384912959381
111,846,244,39,1,27,52,251,3,3,2,22,0,15,1,0,660,0.7801418439716312
112,743,241,50,4,20,32,210,6,1,4,21,1,20,0,1,611,0.8223418573351279
113,700,263,35,2,21,35,149,2,4,1,12,2,22,0,0,548,0.7828571428571428
114,686,211,27,0,29,26,247,1,2,3,11,0,6,0,0,563,0.8206997084548106
115,792,249,44,4,24,46,209,3,4,0,19,3,35,1,0,641,0.8093434343434344
116,883,262,46,7,33,47,259,3,5,1,11,3,19,2,0,698,0.7904869762174406
117,765,227,31,5,27,43,199,0,3,1,16,0,15,2,0,569,0.7437908496732026
118,610,164,34,2,17,40,221,2,1,1,10,0,17,1,0,510,0.8360655737704918
119,792,260,47,4,28,50,204,2,0,2,18,1,23,2,0,641,0.8093434343434344
120,682,189,38,3,20,34,171,2,7,3,9,3,30,2,0,511,0.749266862170088
121,703,226,51,1,27,33,151,6,3,1,18,2,14,2,3,538,0.7652916073968705
122,799,265,47,0,22,35,200,2,2,3,20,3,27,2,0,628,0.785982478097622
123,694,228,43,2,14,20,168,3,3,1,16,1,24,0,0,523,0.7536023054755043
124,729,219,41,3,16,44,182,2,3,4,28,1,25,2,0,570,0.7818930041152263
125,711,216,45,2,37,46,151,5,4,2,20,0,23,0,0,551,0.7749648382559775
126,668,217,29,4,22,30,148,1,2,2,11,2,19,3,2,492,0.7365269461077845
127,677,235,30,2,21,22,158,1,3,5,22,4,23,1,0,527,0.7784342688330872
128,663,246,35,5,24,14,129,3,5,3,15,1,17,1,0,498,0.751131221719457
129,697,228,43,1,38,30,190,6,5,1,18,2,14,2,0,578,0.8292682926829268
130,641,235,31,4,25,42,163,0,1,1,10,2,16,2,0,532,0.8299531981279251
131,707,219,37,2,23,27,188,3,3,2,14,4,19,3,0,544,0.7694483734087695
132,226,29,1,3,11,4,15,1,1,1,5,0,4,0,1,76,0.336283185840708
133,904,333,48,5,34,42,217,1,3,4,20,3,28,1,0,739,0.8174778761061947
134,752,231,37,5,17,44,192,5,4,1,27,1,10,1,0,575,0.7646276595744681
135,800,290,48,0,28,38,203,3,1,3,26,3,16,0,0,659,0.82375
136,782,283,67,4,30,45,197,5,6,1,12,1,29,1,0,681,0.870843989769821
137,826,281,47,5,26,29,199,5,2,2,18,5,29,0,0,648,0.784503631961259
138,880,297,51,2,35,50,264,2,1,1,9,3,25,3,0,743,0.8443181818181819
139,769,277,48,7,26,41,180,2,1,2,13,1,22,1,1,622,0.8088426527958388
140,1018,353,57,1,37,46,219,5,6,3,22,0,34,1,0,784,0.7701375245579568
141,904,341,58,4,18,24,211,4,4,1,16,4,24,0,0,709,0.7842920353982301
142,704,230,48,2,21,36,174,5,3,5,16,2,14,0,0,556,0.7897727272727273
143,734,254,31,7,17,39,173,1,1,1,20,2,19,0,1,566,0.771117166212534
144,711,240,46,2,15,35,186,3,3,1,18,1,21,2,2,575,0.8087201125175809
145,726,228,46,2,27,38,155,1,4,2,20,2,20,3,0,548,0.7548209366391184
146,748,265,36,4,32,29,170,3,6,0,10,1,22,1,0,579,0.7740641711229946
147,776,247,40,2,27,36,216,4,2,2,16,2,19,0,0,613,0.7899484536082474
148,856,311,58,4,22,44,166,2,0,1,23,3,22,1,0,657,0.7675233644859814
149,769,203,49,0,33,40,225,3,2,2,29,1,18,0,2,607,0.7893368010403121
150,843,257,53,2,26,37,242,1,2,1,19,0,27,4,1,672,0.797153024911032
151,680,204,39,0,30,36,174,2,0,2,20,4,16,3,0,530,0.7794117647058824
152,852,271,58,2,27,19,223,6,1,0,20,4,16,1,0,648,0.7605633802816901
153,793,261,36,4,21,26,167,6,5,4,14,1,27,2,2,576,0.7263556116015133
154,805,278,48,4,24,34,189,1,5,0,24,2,20,1,0,630,0.782608695652174
155,901,269,56,6,37,41,230,3,4,0,24,7,26,4,0,707,0.7846836847946725
156,805,246,47,3,21,38,192,2,4,2,22,1,33,4,1,616,0.7652173913043478
157,885,268,56,9,19,49,232,0,4,2,17,1,20,2,0,679,0.7672316384180791
158,725,243,28,0,23,50,204,2,4,3,16,4,19,0,0,596,0.8220689655172414
159,730,262,36,1,19,30,139,3,5,1,18,0,20,0,1,535,0.7328767123287672
160,633,229,38,3,22,33,153,1,2,2,14,2,17,2,0,518,0.8183254344391785
161,698,257,36,3,28,32,187,1,0,0,13,2,13,0,0,572,0.8194842406876791
162,711,190,35,3,31,33,206,4,3,3,14,3,23,0,6,554,0.7791842475386779
163,736,205,43,1,20,33,180,5,9,2,14,3,21,0,0,536,0.7282608695652174
164,643,128,13,2,59,36,179,2,4,0,13,3,18,2,0,459,0.713841368584759
165,616,156,24,4,22,20,106,6,9,1,16,4,15,1,0,384,0.6233766233766234
166,743,276,36,4,25,22,164,4,2,2,13,4,25,2,1,580,0.7806191117092867
167,836,266,41,4,26,37,208,4,5,2,21,3,21,2,1,641,0.7667464114832536
168,869,315,55,2,28,40,186,1,3,1,33,1,33,3,0,701,0.806674338319908
169,760,154,32,1,24,16,147,9,10,4,13,1,25,1,0,437,0.575
170,664,217,54,3,24,25,162,2,0,2,20,1,28,1,0,539,0.8117469879518072
171,634,217,49,4,21,18,136,2,1,0,21,2,13,1,0,485,0.7649842271293376
172,634,200,33,3,14,30,145,1,3,2,14,3,18,1,1,468,0.7381703470031545
173,492,174,50,0,11,20,94,3,6,2,8,0,11,1,0,380,0.7723577235772358
174,959,340,46,2,35,48,252,5,1,4,19,1,21,2,1,777,0.8102189781021898
175,748,292,51,0,32,39,179,2,2,2,21,4,20,0,0,644,0.8609625668449198
176,604,180,33,1,19,26,187,1,1,3,18,3,16,1,0,489,0.8096026490066225
177,866,305,60,4,27,35,202,5,2,1,18,2,43,1,0,705,0.8140877598152425
178,700,245,34,4,28,47,184,1,0,0,18,2,17,2,0,582,0.8314285714285714
179,673,271,32,1,19,8,136,6,3,3,11,3,21,2,0,516,0.7667161961367014
180,857,336,64,2,38,53,163,5,5,1,19,4,27,2,1,720,0.8401400233372228
181,794,244,26,6,16,17,167,1,6,3,15,5,15,1,2,524,0.6599496221662469
182,797,308,49,6,34,23,182,2,0,5,9,3,20,1,2,644,0.8080301129234629
183,665,258,40,3,22,32,181,6,2,1,8,0,10,4,0,567,0.8526315789473684
184,627,246,44,2,20,37,143,3,0,0,13,1,12,1,0,522,0.8325358851674641
185,767,295,58,0,30,53,159,5,3,1,10,2,13,2,0,631,0.8226857887874837
186,737,270,42,2,30,53,180,4,5,2,16,1,15,0,0,620,0.841248303934871
187,715,276,44,4,35,40,147,6,0,2,10,0,23,1,0,588,0.8223776223776224
188,707,223,40,2,24,35,196,3,0,2,10,2,13,1,0,551,0.7793493635077794
189,693,233,38,6,22,18,156,5,7,1,23,1,23,3,0,536,0.7734487734487735
190,799,182,42,3,24,32,211,4,10,0,22,2,16,1,1,550,0.688360450563204
191,811,292,80,5,33,31,173,2,5,1,16,4,24,1,1,668,0.8236744759556104
192,677,207,29,3,22,43,180,4,4,1,23,4,14,0,0,534,0.7887740029542097
193,588,202,36,1,12,29,140,3,4,1,12,3,28,0,1,472,0.8027210884353742
194,570,204,22,2,10,31,121,3,3,1,8,3,26,0,0,434,0.7614035087719299
195,626,195,32,4,12,22,205,0,2,1,10,1,17,0,1,502,0.8019169329073482
196,634,202,20,2,28,35,143,1,3,1,14,1,26,2,0,478,0.7539432176656151
197,889,284,47,6,28,45,246,2,2,3,20,2,21,1,0,707,0.7952755905511811
198,744,245,29,8,32,35,207,1,1,4,19,1,26,1,0,609,0.8185483870967742
199,787,254,44,2,34,51,211,1,2,2,12,4,19,1,0,637,0.8094027954256671
200,557,183,17,3,21,24,173,1,2,1,10,0,17,0,0,452,0.8114901256732495
201,559,179,35,2,19,29,128,2,2,0,15,3,19,0,0,433,0.774597495527728
202,883,255,43,2,31,57,255,4,1,4,19,0,25,3,1,700,0.7927519818799547
203,775,216,33,1,35,57,211,2,3,0,19,4,29,0,0,610,0.7870967741935484
204,784,233,44,3,18,48,192,1,0,3,26,5,24,1,0,598,0.7627551020408163
205,694,217,42,8,21,38,167,4,3,3,12,0,27,2,0,544,0.7838616714697406
206,639,194,32,7,21,30,145,3,7,2,17,2,23,1,0,484,0.7574334898278561
207,552,141,18,3,47,14,124,1,1,0,9,0,6,0,1,365,0.6612318840579711
208,750,232,29,2,28,45,206,2,2,3,23,3,17,4,0,596,0.7946666666666666
209,610,202,31,0,27,19,117,5,2,0,16,0,21,2,0,442,0.7245901639344262
210,572,168,27,1,15,18,152,5,3,3,8,0,16,1,0,417,0.7290209790209791
211,744,215,38,3,25,38,210,3,1,2,11,0,25,0,1,572,0.7688172043010753
212,662,204,35,3,24,23,168,1,4,1,11,5,20,1,0,500,0.7552870090634441
213,673,220,42,5,18,20,140,5,1,3,8,1,33,4,0,500,0.7429420505200595
214,788,230,30,5,28,40,173,0,4,1,16,2,32,0,0,561,0.7119289340101523
215,976,294,29,6,32,52,312,1,3,4,19,1,21,4,2,780,0.7991803278688525
216,650,190,41,2,17,20,156,0,3,2,15,6,16,2,0,470,0.7230769230769231
217,796,213,40,5,28,45,228,3,2,2,15,7,20,3,0,611,0.7675879396984925
218,886,252,27,1,26,55,258,5,4,3,17,0,34,2,0,684,0.7720090293453724
219,796,242,43,6,23,33,178,5,6,3,28,5,39,4,2,617,0.7751256281407035
220,667,198,33,3,16,18,154,6,9,1,15,2,26,1,0,482,0.7226386806596702
221,681,195,26,2,20,24,151,6,2,0,18,5,15,2,0,466,0.684287812041116
222,696,181,34,3,15,32,143,4,5,4,13,3,23,1,0,461,0.6623563218390804
223,661,216,34,3,14,36,127,2,0,2,11,1,26,2,0,474,0.7170953101361573
224,660,207,44,2,18,28,147,1,6,1,10,1,23,1,0,489,0.740909090909091
225,696,197,30,2,17,40,162,4,2,1,20,1,21,3,1,501,0.7198275862068966
226,620,173,33,3,21,43,172,4,2,3,12,0,20,2,0,488,0.7870967741935484
227,636,205,32,2,31,32,160,0,3,1,14,3,26,1,1,511,0.8034591194968553
228,608,170,28,2,13,32,168,6,0,2,9,0,20,4,0,454,0.7467105263157895
229,588,146,29,3,24,12,122,5,6,3,21,2,20,4,0,397,0.6751700680272109
230,940,266,51,0,30,54,238,6,4,2,25,5,23,1,0,705,0.75
231,800,253,40,1,24,30,187,2,2,2,12,2,31,1,0,587,0.73375
232,829,256,51,1,27,36,198,0,4,1,16,4,33,1,0,628,0.7575392038600723
233,665,194,49,4,26,31,148,5,7,1,19,4,18,0,0,506,0.7609022556390977
234,597,178,26,3,33,20,152,4,3,3,11,0,21,1,2,457,0.7654941373534339
235,763,214,30,1,27,24,186,6,5,1,11,1,19,4,1,530,0.6946264744429882
236,698,203,35,3,24,17,156,5,5,0,14,1,29,2,1,495,0.7091690544412608
237,685,179,55,3,22,26,155,6,6,2,19,3,16,2,1,495,0.7226277372262774
238,682,199,49,2,24,19,165,4,9,0,9,2,23,1,0,506,0.7419354838709677
239,703,235,28,1,8,19,144,3,4,2,24,5,25,3,1,502,0.7140825035561877
240,708,211,35,4,19,46,151,3,6,2,14,1,14,2,0,508,0.7175141242937854
241,564,181,36,2,17,41,112,0,1,2,20,0,23,1,0,436,0.7730496453900709
242,737,266,27,3,18,38,150,3,4,2,12,1,27,2,0,553,0.7503392130257802
243,675,246,25,1,22,34,128,3,4,1,8,3,26,1,0,502,0.7437037037037038
244,787,241,39,5,35,38,191,3,4,0,24,2,29,1,0,612,0.7776365946632783
245,771,242,31,4,24,31,198,1,5,2,12,5,31,5,0,591,0.7665369649805448
246,709,204,44,2,12,23,183,4,6,3,14,3,24,2,0,524,0.7390691114245416
247,701,206,40,3,15,32,178,4,4,1,8,4,20,2,0,517,0.7375178316690443
248,796,188,25,1,31,36,201,8,9,3,28,0,29,4,0,563,0.707286432160804
249,819,228,26,1,25,46,263,0,1,1,17,0,18,2,1,629,0.7680097680097681
250,644,214,33,3,18,43,132,3,4,2,19,2,12,2,0,487,0.7562111801242236
251,711,200,43,1,28,27,152,4,4,3,16,0,23,0,0,501,0.7046413502109705
252,707,219,47,3,26,40,169,6,3,2,6,0,21,0,1,543,0.768033946251768
253,768,273,48,3,17,34,173,1,1,2,33,2,28,2,0,617,0.8033854166666666
254,712,212,43,5,39,26,155,4,3,0,14,2,16,2,1,522,0.7331460674157303
255,741,211,35,7,23,32,190,4,5,0,21,2,28,0,0,558,0.7530364372469636
256,794,230,54,3,23,37,171,5,7,0,16,6,16,0,0,568,0.7153652392947103
257,1183,389,72,4,42,58,307,3,3,4,36,0,25,0,1,944,0.797971259509721
258,941,272,54,4,32,51,234,6,5,1,22,2,24,1,0,708,0.7523910733262487
259,776,251,40,1,27,57,158,1,7,3,20,4,26,3,0,598,0.770618556701031
260,759,266,42,1,28,37,208,4,8,3,10,2,23,2,0,634,0.8353096179183136
261,677,231,42,1,18,32,150,7,6,0,14,2,22,1,0,526,0.7769571639586411
262,851,293,67,1,21,41,195,2,2,0,15,5,19,3,2,666,0.782608695652174
263,861,280,62,4,26,26,203,4,8,1,21,1,34,2,2,674,0.7828106852497096
264,868,286,53,5,45,41,205,2,2,2,15,0,31,2,0,689,0.793778801843318
265,735,259,36,0,17,30,183,3,3,2,12,3,23,1,1,573,0.7795918367346939
266,956,299,43,2,26,47,270,2,5,1,22,2,19,4,1,743,0.7771966527196653
267,1078,337,61,4,31,51,292,5,3,2,18,1,41,1,1,848,0.7866419294990723
268,798,233,51,6,26,36,187,3,3,3,17,1,26,1,0,593,0.7431077694235589
269,721,195,27,2,37,54,289,1,1,4,11,0,2,1,1,625,0.8668515950069348
270,673,157,27,3,26,56,277,0,1,3,17,1,2,4,0,574,0.8528974739970282
271,745,177,35,4,28,47,279,0,1,4,19,0,14,1,0,609,0.8174496644295302
272,633,180,24,1,21,40,233,2,7,0,15,0,10,0,0,533,0.8420221169036335
273,725,225,37,3,27,48,158,2,9,2,8,2,22,1,0,544,0.7503448275862069
274,712,204,29,4,27,37,161,3,3,1,17,1,26,1,1,515,0.723314606741573
275,512,171,20,4,11,11,144,2,2,2,14,2,13,1,1,398,0.77734375
276,567,198,42,3,20,30,133,2,3,2,16,1,14,1,1,466,0.8218694885361552
277,582,192,35,4,15,20,139,0,2,3,20,2,11,0,0,443,0.761168384879725
278,616,208,43,1,31,35,153,3,4,0,14,1,22,0,1,516,0.8376623376623377
279,660,218,27,2,26,30,167,2,7,2,16,0,25,5,1,528,0.8
280,837,291,43,0,23,42,202,1,7,0,19,1,22,1,1,653,0.7801672640382318
281,762,244,29,5,17,42,180,4,8,0,30,3,26,2,1,591,0.7755905511811023
282,806,237,36,5,33,34,224,3,3,5,16,5,13,1,0,615,0.7630272952853598
283,718,218,27,2,16,41,179,5,4,4,24,4,16,1,0,541,0.7534818941504178
284,787,249,50,7,24,40,202,4,2,2,17,4,22,1,1,625,0.7941550190597204
285,563,204,47,4,19,28,160,1,1,2,11,0,11,0,0,488,0.866785079928952
286,725,243,31,2,24,42,157,2,5,2,20,1,35,3,0,567,0.7820689655172414
287,669,246,42,3,18,50,195,2,1,2,11,0,11,0,0,581,0.8684603886397608
288,616,205,32,2,24,30,159,3,0,2,8,1,11,1,1,479,0.7775974025974026
289,891,275,77,2,34,44,220,2,6,1,26,0,15,0,3,705,0.7912457912457912
290,738,255,39,5,30,28,177,3,3,2,33,3,13,1,0,592,0.8021680216802168
291,773,250,44,4,35,61,205,1,6,2,20,1,26,1,0,656,0.8486416558861578
292,722,244,50,4,34,27,218,0,2,1,14,2,12,1,0,609,0.8434903047091413
293,814,295,62,5,16,50,170,2,2,2,8,1,31,1,0,645,0.7923832923832924
294,607,193,30,3,21,28,153,3,1,0,11,4,8,1,0,456,0.7512355848434926
295,879,295,53,3,17,50,275,2,2,1,21,3,16,2,0,740,0.8418657565415245
296,777,283,44,5,25,39,180,2,2,2,15,4,39,0,0,640,0.8236808236808236
297,739,220,43,0,30,26,164,7,1,2,18,3,16,1,1,532,0.7198917456021651
298,775,234,47,2,36,29,198,6,3,3,19,2,32,1,1,613,0.7909677419354839
299,674,225,43,3,31,45,211,2,2,2,9,0,12,0,0,585,0.8679525222551929
300,809,254,53,5,27,39,206,3,4,3,23,0,39,1,0,657,0.8121137206427689
301,967,290,62,7,24,53,254,3,7,2,28,2,31,4,1,768,0.7942088934850051
