SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO VALORE UMANO - VOTI ALLA LISTA,+EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(+EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
18,851,44,84,2,0,84,1,4,166,8,4,35,64,8,60,12,24,600,0.7050528789659224
19,610,24,71,4,1,40,4,2,110,5,1,20,80,2,58,3,7,432,0.7081967213114754
20,836,38,68,4,0,120,4,8,153,10,0,21,73,1,71,8,31,610,0.7296650717703349
21,643,24,91,9,1,44,1,5,104,5,0,23,67,1,39,5,4,423,0.6578538102643857
22,753,37,71,8,2,88,1,4,142,9,3,34,68,8,75,4,17,571,0.7583001328021248
23,757,47,64,10,1,80,6,5,159,17,2,28,57,0,77,11,22,586,0.774108322324967
24,780,39,49,4,0,72,6,6,159,26,2,33,66,7,70,12,20,571,0.732051282051282
25,902,55,92,2,2,86,5,5,203,9,4,34,74,1,55,5,9,641,0.7106430155210643
26,599,41,53,1,0,70,3,3,122,9,6,17,41,2,41,4,23,436,0.7278797996661102
27,622,43,46,3,2,66,2,8,124,16,3,20,50,1,67,2,12,465,0.747588424437299
28,745,43,72,5,0,79,4,2,159,8,4,26,57,2,64,8,18,551,0.7395973154362416
29,780,24,48,3,0,92,7,1,202,14,2,28,52,9,86,4,15,587,0.7525641025641026
30,739,36,51,5,0,92,3,4,161,18,1,27,44,4,107,11,18,582,0.7875507442489851
31,748,33,70,3,2,104,4,3,148,16,6,28,47,3,65,14,8,554,0.7406417112299465
32,791,33,75,4,2,101,1,4,178,34,3,17,50,2,55,15,6,580,0.7332490518331226
33,735,51,81,2,0,90,2,6,147,13,4,14,56,0,39,3,17,525,0.7142857142857143
34,808,34,81,8,1,78,1,8,158,16,8,34,52,1,71,7,9,567,0.7017326732673267
35,538,9,72,6,0,50,2,1,100,7,8,54,43,6,98,7,3,466,0.8661710037174721
36,891,34,53,1,1,82,4,4,212,20,9,44,96,6,118,10,9,703,0.7890011223344556
37,718,23,77,21,0,81,2,9,164,8,4,41,64,4,92,10,5,605,0.8426183844011143
38,626,22,51,5,0,54,6,2,168,7,3,32,76,2,73,14,5,520,0.8306709265175719
39,693,21,35,5,2,75,7,5,174,12,7,25,66,3,106,15,6,564,0.8138528138528138
40,614,25,48,1,0,63,5,10,146,12,2,23,60,4,66,7,6,478,0.7785016286644951
41,678,27,78,3,0,77,1,5,112,10,3,23,31,5,51,2,17,445,0.6563421828908554
42,686,37,54,3,0,58,0,0,158,12,6,34,55,2,67,6,7,499,0.7274052478134111
43,701,33,101,0,2,62,5,4,172,9,1,19,62,3,69,5,5,552,0.7874465049928673
44,899,38,69,2,1,85,3,3,200,12,6,16,73,4,82,8,9,611,0.6796440489432704
45,614,22,67,6,3,46,3,2,121,6,1,18,50,2,56,4,3,410,0.6677524429967426
46,723,30,61,2,0,63,2,1,160,16,4,29,62,4,72,3,14,523,0.7233748271092669
47,709,42,86,5,1,75,1,2,149,11,0,22,67,3,73,7,13,557,0.7856135401974612
48,674,20,75,5,1,74,1,3,116,4,1,23,62,1,96,9,5,496,0.7359050445103857
49,781,30,40,3,0,77,7,4,208,17,3,33,58,3,120,10,3,616,0.7887323943661971
50,744,10,41,2,1,60,3,4,167,8,6,50,76,2,129,8,5,572,0.7688172043010753
51,788,8,23,12,0,65,3,7,200,11,2,43,85,2,166,14,2,643,0.815989847715736
52,804,25,35,2,0,82,6,7,188,11,1,43,54,6,165,10,4,639,0.7947761194029851
53,727,24,38,7,1,80,4,3,147,16,9,42,73,3,110,5,3,565,0.7771664374140302
54,684,21,67,6,1,55,3,3,169,7,4,38,60,7,72,6,5,524,0.7660818713450293
55,768,0,0,0,0,59,4,4,180,13,0,41,58,0,67,7,0,433,0.5638020833333334
56,572,15,40,7,0,50,4,1,127,21,1,29,59,2,54,15,3,428,0.7482517482517482
57,763,17,61,5,0,69,5,7,160,5,7,26,67,2,60,14,4,509,0.6671035386631717
58,733,23,58,5,0,60,1,4,179,12,2,27,71,4,71,6,13,536,0.7312414733969986
59,817,27,65,4,0,62,5,4,178,6,7,29,78,4,84,6,9,568,0.6952264381884945
60,779,39,63,5,0,53,3,4,204,11,3,24,85,8,84,6,11,603,0.7740693196405648
61,594,30,83,1,0,35,1,4,128,6,0,15,47,1,50,2,6,409,0.6885521885521886
62,646,19,91,6,0,49,2,4,150,8,1,21,62,2,65,5,5,490,0.7585139318885449
63,685,17,61,3,0,54,3,4,171,7,14,32,62,7,66,5,6,512,0.7474452554744525
64,733,42,73,3,2,63,3,7,157,9,4,36,66,2,63,9,9,548,0.747612551159618
65,847,23,55,5,1,59,6,1,207,4,4,49,86,12,143,9,2,666,0.7863046044864227
66,719,28,88,5,1,56,5,3,176,11,3,22,69,2,56,7,12,544,0.7566063977746871
67,712,23,91,4,1,40,1,0,148,8,3,30,87,5,65,9,5,520,0.7303370786516854
68,650,19,37,4,0,54,4,1,181,13,2,48,48,1,93,6,1,512,0.7876923076923077
69,787,17,35,8,1,66,5,7,192,9,4,45,57,6,145,8,3,608,0.772554002541296
70,697,19,47,4,0,62,4,3,167,8,3,30,58,2,121,11,4,543,0.7790530846484935
71,747,24,55,3,0,54,4,8,198,12,6,36,62,4,91,0,4,561,0.751004016064257
72,680,25,76,3,2,35,2,2,170,4,4,23,56,1,58,0,11,472,0.6941176470588235
73,645,37,44,2,3,61,4,0,174,18,4,34,48,1,76,7,5,518,0.8031007751937984
74,666,22,53,1,1,56,3,2,135,10,5,36,64,1,88,7,7,491,0.7372372372372372
75,405,15,35,3,0,24,0,2,112,5,2,34,37,2,38,3,2,314,0.7753086419753087
76,693,16,76,1,2,33,1,2,123,14,4,24,67,0,72,4,5,444,0.6406926406926406
77,650,17,69,1,1,33,0,3,119,6,2,23,50,1,65,5,6,401,0.6169230769230769
78,628,8,100,4,2,13,1,1,75,0,2,8,45,2,60,2,5,328,0.5222929936305732
79,680,20,51,2,1,60,5,6,208,6,3,19,80,1,54,5,3,524,0.7705882352941177
80,691,20,42,3,0,48,4,7,163,8,6,37,49,4,81,9,11,492,0.7120115774240231
81,547,23,57,4,1,40,3,3,114,4,3,30,56,1,47,3,8,397,0.7257769652650823
82,1373,11,81,5,2,16,0,0,35,1,0,17,57,2,54,0,2,283,0.20611798980335033
83,1085,29,176,7,2,46,3,4,260,5,2,32,145,0,102,7,14,834,0.7686635944700461
84,594,28,62,2,0,30,6,4,112,6,1,24,4,51,66,6,6,408,0.6868686868686869
85,631,30,82,6,0,29,2,6,123,7,4,14,62,3,65,3,9,445,0.705229793977813
86,675,34,78,3,1,43,0,0,127,7,3,25,79,4,61,6,4,475,0.7037037037037037
87,672,32,117,5,2,35,1,2,130,5,4,22,80,4,49,4,8,500,0.7440476190476191
88,838,31,127,5,1,30,1,5,147,11,2,27,85,3,57,4,9,545,0.6503579952267303
89,735,22,138,3,3,13,1,4,138,5,1,19,90,5,65,4,5,516,0.7020408163265306
90,664,17,126,3,2,27,2,3,129,5,2,28,56,7,42,5,8,462,0.6957831325301205
91,591,33,100,2,3,27,5,3,106,8,7,21,54,6,55,4,7,441,0.7461928934010152
92,692,31,112,3,3,42,8,7,112,5,5,27,75,3,54,1,6,494,0.7138728323699421
93,558,14,94,7,1,17,1,0,85,0,1,13,55,1,36,4,0,329,0.589605734767025
94,787,23,145,7,3,35,3,7,133,8,4,26,97,2,61,7,9,570,0.7242693773824651
95,851,27,145,7,2,44,6,2,160,12,4,28,99,2,69,10,10,627,0.736780258519389
96,801,27,113,5,2,27,0,3,183,5,2,29,99,2,77,8,4,586,0.731585518102372
97,748,26,106,2,1,22,2,6,133,9,3,33,79,3,85,8,5,523,0.6991978609625669
98,680,25,119,1,2,25,5,3,108,6,6,13,79,7,72,6,5,482,0.7088235294117647
99,707,22,114,8,1,27,3,0,134,7,3,16,77,7,89,3,4,515,0.7284299858557284
100,777,25,135,1,2,23,6,2,127,7,2,23,98,4,73,3,9,540,0.694980694980695
101,756,32,135,7,3,33,3,0,147,5,5,28,77,3,64,8,10,560,0.7407407407407407
102,727,26,137,9,2,24,2,4,124,6,6,18,88,1,63,4,4,518,0.7125171939477304
103,711,19,118,4,3,31,0,2,131,10,3,16,67,1,50,3,7,465,0.6540084388185654
104,789,34,156,7,0,29,3,4,126,6,5,31,78,2,55,3,4,543,0.688212927756654
105,766,27,131,1,3,21,3,3,170,7,4,11,92,1,57,1,9,541,0.706266318537859
106,647,40,114,5,2,33,3,4,114,3,2,15,59,2,64,2,6,468,0.723338485316847
107,681,12,96,4,2,29,6,1,131,5,10,27,77,1,73,1,6,481,0.7063142437591777
108,865,38,150,5,1,34,5,2,163,4,2,23,87,2,71,5,7,599,0.692485549132948
109,818,34,147,5,1,18,4,5,131,7,3,21,98,2,50,5,6,537,0.656479217603912
110,533,20,89,15,1,18,1,2,58,3,4,18,66,3,49,3,6,356,0.6679174484052532
111,797,29,131,6,2,31,2,2,147,12,3,16,95,4,79,5,11,575,0.7214554579673776
112,738,21,111,5,0,26,2,3,167,2,5,30,101,1,78,7,5,564,0.7642276422764228
113,667,21,92,4,0,35,2,2,166,7,2,16,66,3,55,8,4,483,0.7241379310344828
114,655,25,88,4,0,38,4,5,164,5,4,17,60,3,79,10,2,508,0.7755725190839695
115,738,31,110,4,1,34,3,5,164,10,1,23,88,5,47,6,6,538,0.7289972899728997
116,888,37,132,13,3,31,3,3,174,5,3,19,115,3,88,9,6,644,0.7252252252252253
117,741,27,137,8,1,29,1,6,146,3,3,23,70,3,64,3,8,532,0.717948717948718
118,597,29,70,3,1,36,0,2,108,5,1,20,76,4,82,5,5,447,0.7487437185929648
119,779,37,115,5,0,32,8,2,188,11,4,25,97,4,57,7,3,595,0.7637997432605905
120,615,23,90,3,0,23,1,1,127,0,1,16,80,2,39,0,7,413,0.6715447154471544
121,660,30,106,5,0,3,2,1,140,4,3,19,60,1,51,3,8,436,0.6606060606060606
122,608,25,114,1,1,26,3,4,125,7,0,19,67,0,50,6,6,454,0.7467105263157895
123,703,20,143,5,0,26,2,2,111,4,2,12,81,2,54,5,6,475,0.6756756756756757
124,700,25,140,8,0,31,4,2,111,7,2,19,81,3,60,4,5,502,0.7171428571428572
125,657,19,126,3,1,29,3,0,109,5,1,14,87,4,47,7,7,462,0.7031963470319634
126,654,19,113,3,0,12,0,2,132,3,7,17,77,4,44,2,8,443,0.6773700305810397
127,640,18,108,5,3,25,1,5,114,5,3,12,67,4,46,2,9,427,0.6671875
128,586,26,114,5,0,29,3,1,116,2,5,15,49,1,28,1,4,399,0.6808873720136519
129,691,22,90,12,1,33,3,6,168,5,7,24,68,2,66,0,9,516,0.7467438494934877
130,783,31,115,6,0,45,4,1,183,13,9,28,77,7,69,7,3,598,0.7637292464878672
131,675,24,117,3,0,32,1,2,127,6,3,17,78,4,45,1,5,465,0.6888888888888889
132,68,0,2,0,0,1,0,0,9,0,0,0,1,0,7,0,2,22,0.3235294117647059
133,929,24,170,4,7,34,4,7,186,4,6,31,93,1,77,7,5,660,0.7104413347685683
134,709,36,124,3,3,46,1,3,130,6,4,16,74,1,56,3,6,512,0.7221438645980254
135,741,24,127,6,0,23,6,5,189,6,3,18,75,0,65,4,5,556,0.7503373819163293
136,769,29,128,4,1,32,3,2,181,16,3,28,87,3,86,2,8,613,0.7971391417425228
137,702,38,118,5,1,22,1,2,132,4,3,23,88,4,50,2,3,496,0.7065527065527065
