SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO VALORE UMANO - VOTI ALLA LISTA,+EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(+EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
902,617,19,168,3,2,12,1,3,73,2,2,9,76,5,37,1,4,417,0.6758508914100486
903,615,10,174,5,0,10,0,2,84,4,3,12,59,0,41,1,8,413,0.6715447154471544
904,708,19,144,4,3,18,1,2,134,3,4,12,70,0,52,2,8,476,0.672316384180791
905,638,19,172,6,2,11,1,1,96,1,2,5,65,3,47,3,4,438,0.6865203761755486
906,625,16,97,8,0,13,1,0,82,2,3,8,78,3,45,4,5,365,0.584
907,788,47,167,7,1,25,5,3,164,10,7,20,108,3,64,2,3,636,0.8071065989847716
908,0,2,12,0,0,2,0,0,13,0,0,3,5,0,10,4,0,51,inf
909,0,6,12,2,0,4,0,0,26,0,0,2,19,0,18,0,1,90,inf
910,541,28,120,6,0,20,1,5,111,5,4,13,62,4,29,4,4,416,0.7689463955637708
911,0,2,7,1,0,2,1,0,24,1,0,2,14,0,11,2,0,67,inf
912,0,4,32,1,0,4,1,0,35,0,0,4,21,0,28,0,1,131,inf
913,915,41,133,5,1,47,4,4,211,4,3,23,119,4,71,7,6,683,0.746448087431694
914,629,40,81,4,0,41,1,1,122,4,1,33,1,65,63,5,9,471,0.7488076311605724
915,752,19,220,4,0,11,1,3,88,1,7,12,125,2,51,6,2,552,0.7340425531914894
916,0,2,17,0,0,5,2,0,25,1,0,1,7,1,14,0,2,77,inf
917,0,3,20,0,0,1,0,0,25,0,1,3,17,2,11,1,1,85,inf
918,0,9,17,0,1,2,0,0,18,1,1,2,17,1,12,0,0,81,inf
919,0,6,17,1,0,6,0,0,16,0,0,1,17,0,4,1,0,69,inf
