SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
555,579,13,1,114,10,0,2,3,83,5,1,2,0,0,120,1,30,3,0,388,0.6701208981001727
556,598,14,3,123,22,1,6,5,71,11,2,0,1,1,128,4,19,1,3,415,0.6939799331103679
557,646,16,1,117,30,1,8,5,95,11,3,1,1,1,139,2,12,3,0,446,0.6904024767801857
558,582,11,0,116,24,0,3,2,79,7,3,2,0,0,117,0,22,1,2,389,0.6683848797250859
559,716,12,2,147,16,0,11,1,128,21,0,3,1,0,141,3,35,3,3,527,0.7360335195530726
560,714,26,2,171,22,0,11,6,88,12,3,4,0,1,121,1,52,3,1,524,0.7338935574229691
561,746,26,3,186,14,1,9,1,79,10,5,2,2,0,149,1,54,1,2,545,0.7305630026809652
562,638,19,0,109,12,2,6,7,98,13,4,1,1,1,124,4,31,2,1,435,0.6818181818181818
563,682,18,0,147,12,0,4,6,117,7,1,3,0,0,130,1,34,7,2,489,0.717008797653959
564,591,14,2,135,6,0,6,4,58,13,1,0,0,1,98,1,25,2,1,367,0.6209813874788495
565,675,21,2,117,17,0,9,9,99,10,1,4,1,1,143,0,22,4,1,461,0.682962962962963
566,609,9,1,113,11,0,5,10,96,12,2,2,2,0,125,1,34,8,0,431,0.7077175697865353
567,644,15,1,145,20,0,6,6,63,9,1,1,0,0,131,4,31,0,1,434,0.6739130434782609
568,635,17,2,132,13,0,8,8,107,7,1,1,3,2,120,2,13,4,2,442,0.6960629921259842
569,462,16,2,77,8,0,5,3,64,5,2,4,0,1,101,1,24,5,0,318,0.6883116883116883
570,630,22,0,117,12,0,1,5,87,8,0,4,2,1,134,3,36,3,2,437,0.6936507936507936
571,630,13,2,133,19,1,6,6,78,6,2,4,2,2,123,3,40,5,3,448,0.7111111111111111
572,1057,30,4,176,24,0,2,8,191,22,1,7,1,3,253,6,45,5,3,781,0.738883632923368
573,1000,17,2,185,21,0,6,9,111,15,1,10,3,1,238,0,39,8,1,667,0.667
574,639,18,2,133,8,0,2,4,92,5,2,3,2,1,119,0,25,6,0,422,0.6604068857589984
575,868,22,0,142,32,1,4,9,99,11,2,4,0,3,241,1,31,5,1,608,0.7004608294930875
576,660,19,1,124,11,0,6,11,93,11,2,2,2,0,129,1,27,1,1,441,0.6681818181818182
577,531,19,3,128,20,0,5,3,78,11,0,1,1,0,105,0,22,3,1,400,0.7532956685499058
