SEZIONE,TOTALE_ISCRITTI,RIVOLUZIONE CIVILE INGROIA,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,CON MONTI PER L'ITALIA,PARTITO COMUNISTA DEI LAVOR.,CASAPOUND ITALIA,MOVIMENTO 5 STELLE BEPPEGRILLO,FN - FORZA NUOVA,PENSIONATI,LA DESTRA STORACE,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,IL POPOLO DELLA LIBERTA',LEGA NORD,FARE PER FERMARE IL DECLINO,TOTALE,AFFLUENZA
907,729,8,33,0,214,75,1,0,159,0,3,0,0,6,92,19,1,611,0.8381344307270233
908,0,1,3,0,20,7,0,1,12,0,1,0,1,2,10,1,0,59,inf
909,0,3,3,1,39,11,0,0,23,1,2,0,0,4,16,8,0,111,inf
910,514,4,19,2,159,41,2,3,127,1,1,3,0,10,46,5,6,429,0.8346303501945526
911,0,1,3,1,72,10,1,0,29,2,7,2,0,1,21,5,1,156,inf
912,0,6,6,0,52,21,1,1,26,0,2,0,0,2,34,5,0,156,inf
913,763,10,13,2,187,88,2,1,142,1,4,5,0,18,97,16,5,591,0.7745740498034076
914,0,0,1,0,12,2,1,1,10,0,0,0,0,0,6,0,0,33,inf
915,0,0,1,0,25,3,0,0,7,0,0,1,0,0,10,1,0,48,inf
916,0,1,2,0,9,3,0,0,9,0,1,0,0,4,7,1,2,39,inf
917,0,2,0,0,59,9,1,2,19,0,2,1,1,1,19,5,0,121,inf
918,0,2,1,0,25,7,1,0,33,0,3,1,0,3,20,8,0,104,inf
919,0,5,3,1,26,11,0,0,25,0,0,0,0,1,11,5,0,88,inf
