MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,FRATELLI D'ITALIA CON GIORGIA,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRU,LEGA PER SALVINI PREMIER,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,+EUROPA,PARTITO DEMOCRATICO - ITALIA D,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO -,VITA,UNIONE POPOLARE CON DE MAGISTR,TOTALE,SEZIONE,AFFLUENZA
78,28,124,28,5,46,6,18,15,96,20,0,4,4,472,626,0.552046783625731
60,41,139,39,4,60,15,14,22,110,16,2,8,7,537,627,0.5993303571428571
42,49,102,31,1,37,10,2,16,125,19,1,3,3,441,628,0.5157894736842106
55,33,122,30,2,56,4,1,27,70,19,1,2,1,423,629,0.5486381322957199
47,26,87,38,2,34,8,6,18,83,18,3,4,3,377,630,0.55359765051395
70,17,107,21,2,28,4,9,2,72,8,0,3,5,348,631,0.49361702127659574
76,37,109,37,2,44,14,5,22,96,27,1,4,4,478,632,0.5850673194614443
49,39,121,30,1,46,13,11,10,93,24,2,3,6,448,633,0.6204986149584487
51,30,106,37,1,32,9,6,7,90,16,0,5,4,394,634,0.5177398160315374
129,59,126,30,6,44,8,6,45,220,57,1,7,13,751,742,0.6581945661700263
79,46,132,23,6,25,3,13,42,168,33,1,2,6,579,907,0.6975903614457831
12,8,15,8,0,4,1,1,6,19,4,1,1,1,81,908,
87,44,106,35,6,30,7,9,29,172,27,0,1,9,562,910,0.6779252110977081
62,91,125,29,5,37,10,12,32,191,21,2,8,7,632,913,0.6462167689161554
82,18,131,21,0,51,16,8,21,71,14,2,0,5,440,915,0.5953991880920162
7,0,11,2,1,4,1,2,4,14,2,0,0,1,49,917,
