SEZIONE,IL LOTO,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO,ASSOCIAZIONE PER LA DIFESA DELLA VITA,UNIONE DEMOCRATICA PER I CONSUMATORI,PARTITO LIBERALE ITALIANO,PARTITO COMUNISTA DEI LAVORATORI,PER IL BENE COMUNE,FORZA NUOVA,IL POPOLO DELLA LIBERTA',MOVIMENTO PER L'AUTONOMIA - ALLEATI PER IL SUD,PARTITO DEMOCRATICO,ITALIA DEI VALORI - LISTA DI PIETRO,LA DESTRA - FIAMMA TRICOLORE,SINISTRA CRITICA,PARTITO SOCIALISTA - BOSELLI,LA SINISTRA L'ARCOBALENO,TOTALE,AFFLUENZA
58,2,42,7,0,1,1,5,4,254,5,298,32,11,0,4,11,677,0.7955346650998825
59,0,38,5,1,0,3,2,3,276,0,231,37,18,1,8,20,643,0.533167495854063
60,1,36,17,2,1,3,1,5,295,2,311,36,10,3,2,31,756,0.7522388059701492
61,0,19,4,1,0,1,2,2,235,0,233,31,16,2,5,21,572,0.3983286908077994
62,0,38,2,1,3,5,0,4,229,2,238,43,15,5,4,22,611,0.40979208584842386
63,1,41,14,3,3,0,2,3,407,3,301,32,14,2,5,15,846,0.8229571984435797
64,0,35,8,0,0,4,2,0,264,5,297,16,5,1,4,23,664,0.7895362663495838
65,1,33,7,1,0,2,3,3,331,0,276,30,19,1,2,19,728,0.8198198198198198
66,0,49,3,2,0,6,1,3,280,1,285,35,13,5,2,22,707,0.7545357524012807
67,0,23,12,0,3,3,2,2,247,2,312,45,22,2,4,42,721,0.4965564738292011
68,2,40,3,1,3,3,3,5,258,2,337,37,25,2,2,33,756,0.5206611570247934
69,2,30,8,2,2,3,3,5,284,1,298,34,23,2,3,36,736,0.7472081218274111
70,0,25,4,0,2,1,1,9,250,1,249,26,22,2,4,17,613,0.5074503311258278
71,0,39,10,0,1,3,0,3,290,0,311,44,20,2,3,27,753,0.5295358649789029
72,0,40,1,0,0,4,2,6,271,2,330,44,24,4,3,16,747,0.7396039603960396
73,0,53,6,2,2,3,2,3,263,1,378,52,13,2,7,37,824,0.7672253258845437
74,2,24,6,0,1,0,1,3,192,0,286,29,11,2,4,41,602,0.7386503067484662
75,0,33,4,1,2,4,1,5,278,3,359,39,19,5,3,45,801,0.7578051087984863
76,0,26,19,2,1,3,4,8,267,1,330,56,22,8,6,36,789,0.7705078125
77,2,38,9,1,1,0,3,5,268,0,401,47,17,6,4,37,839,0.7885338345864662
78,0,27,5,1,0,2,3,4,232,2,311,40,16,0,3,41,687,0.7475516866158868
79,1,36,9,0,2,4,2,7,236,3,297,42,19,2,5,20,685,0.7544052863436124
80,0,27,5,2,1,2,0,4,227,1,279,36,21,4,4,30,643,0.7224719101123596
81,1,19,8,0,1,4,2,6,311,1,319,35,22,7,6,37,779,0.7758964143426295
82,0,23,4,1,0,2,2,4,280,0,370,42,28,2,3,45,806,0.7661596958174905
83,1,36,10,1,2,6,0,2,284,2,376,38,24,5,4,29,820,0.7714016933207902
84,1,24,5,1,4,2,3,5,235,3,348,46,19,1,4,36,737,0.7355289421157685
85,0,36,4,0,2,5,4,7,266,3,386,50,20,5,6,34,828,0.776735459662289
86,4,35,9,0,0,0,4,3,264,3,388,42,11,2,3,48,816,0.7816091954022989
87,0,30,14,2,0,1,2,6,298,1,345,47,33,1,8,35,823,0.7713214620431116
88,1,20,2,1,2,1,3,6,260,1,360,37,22,4,6,30,756,0.7361246348588121
89,1,38,2,3,0,2,0,6,281,1,321,40,18,12,2,30,757,0.7414299706170421
90,1,31,2,1,1,4,1,4,268,0,330,27,26,5,4,32,737,0.7232580961727183
91,1,29,7,0,3,5,1,9,260,2,353,48,16,4,4,42,784,0.7626459143968871
92,0,41,6,1,1,3,1,2,279,0,325,39,10,8,7,38,761,0.7985309548793285
93,1,31,4,2,2,1,1,9,229,2,247,29,10,3,3,27,601,0.7021028037383178
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,1,26,1,2,0,3,2,8,218,0,314,45,15,2,0,26,663,0.721436343852013
96,0,46,1,2,0,1,1,5,313,2,308,53,13,4,1,22,772,0.7743229689067201
97,0,41,11,1,2,2,1,3,291,0,275,42,17,3,3,27,719,0.7747844827586207
98,1,22,5,3,2,1,1,4,266,0,255,26,25,8,2,17,638,0.43108108108108106
99,0,35,6,1,4,4,3,0,257,1,382,47,22,3,1,28,794,0.7892644135188867
100,1,22,6,1,1,0,3,10,313,5,336,23,20,3,1,27,772,0.7869520897043832
101,0,38,2,1,0,7,3,3,241,1,340,32,23,5,3,23,722,0.7389969293756398
102,0,17,5,2,2,3,1,6,385,2,315,27,17,3,7,11,803,0.8193877551020409
103,0,31,6,0,0,1,0,4,264,2,295,30,28,2,6,28,697,0.7462526766595289
104,0,21,4,1,2,5,1,4,366,2,258,34,28,4,2,23,755,0.7897489539748954
105,0,38,11,1,2,3,1,3,306,0,287,30,18,2,2,30,734,0.8057080131723381
106,0,36,4,2,2,1,0,4,287,1,294,57,30,3,4,33,758,0.7625754527162978
107,1,29,7,2,3,4,2,3,396,2,296,46,34,2,17,5,849,0.8124401913875599
108,0,33,0,2,1,0,0,2,344,0,310,43,32,0,4,23,794,0.7916251246261217
109,0,24,0,3,5,7,1,9,222,0,353,27,32,5,5,42,735,0.7101449275362319
110,0,14,1,1,0,4,1,10,190,1,329,26,22,7,5,27,638,0.6543589743589744
111,1,25,1,1,0,2,4,5,226,0,320,36,30,4,4,22,681,0.6970317297850563
112,3,20,1,1,1,4,0,5,252,5,316,26,23,5,3,40,705,0.6485740570377185
113,0,26,1,4,5,5,1,4,190,2,357,26,22,2,4,31,680,0.6544754571703562
114,0,30,1,4,2,3,3,4,255,2,329,34,21,8,4,39,739,0.7188715953307393
115,0,23,2,2,3,7,4,6,185,1,365,38,23,10,3,51,723,0.7005813953488372
116,1,15,3,3,1,2,0,4,233,1,246,28,20,6,1,40,604,0.6942528735632184
117,0,23,0,2,2,7,1,7,198,4,356,27,21,12,1,39,700,0.68359375
118,0,13,0,2,2,6,3,4,220,1,270,28,19,11,4,25,608,0.4441197954711468
119,1,21,3,2,3,10,1,4,223,0,332,26,19,7,0,43,695,0.6867588932806324
120,0,16,5,3,3,3,3,1,271,3,247,37,18,3,6,15,634,0.5100563153660499
121,1,41,14,2,3,2,1,1,322,1,286,26,11,1,8,21,741,0.5542258788332087
122,1,35,9,1,5,2,0,4,293,1,251,24,14,2,4,20,666,0.7995198079231692
123,0,32,9,3,2,3,1,3,323,0,320,35,24,3,3,24,785,0.7929292929292929
124,1,50,9,2,3,0,2,6,335,0,376,46,22,1,6,15,874,0.8145386766076421
125,0,45,6,2,4,1,1,2,366,3,277,24,23,1,7,18,780,0.7918781725888325
126,3,22,6,0,3,3,1,1,343,1,371,37,19,2,7,30,849,0.7964352720450282
127,0,33,7,1,0,2,0,2,315,0,295,26,14,1,7,17,720,0.8017817371937639
128,1,33,4,0,5,3,1,3,298,0,379,36,22,3,8,23,819,0.7936046511627907
129,1,21,6,1,1,3,0,1,234,1,317,35,9,3,4,24,661,0.761520737327189
130,1,44,5,4,2,2,5,6,322,3,343,45,18,2,10,31,843,0.7741046831955923
131,2,20,6,0,2,0,1,2,363,0,312,38,27,4,7,20,804,0.796828543111992
132,0,44,10,0,0,1,1,2,333,2,305,31,22,6,6,24,787,0.7633365664403492
133,1,46,8,2,0,2,4,4,314,2,324,32,11,2,4,30,786,0.8012232415902141
134,0,27,5,2,3,0,0,5,277,4,334,39,23,1,7,25,752,0.7430830039525692
135,0,23,4,2,0,0,1,5,299,0,328,50,16,2,4,24,758,0.8021164021164021
136,0,38,10,1,1,2,4,6,291,1,329,43,21,1,3,33,784,0.7777777777777778
137,0,32,5,4,1,7,3,4,342,1,327,39,19,1,15,16,816,0.7712665406427222
138,0,30,6,2,1,3,3,4,282,2,411,54,21,6,8,27,860,0.8007448789571695
139,2,34,10,2,2,0,3,2,346,5,275,31,20,7,3,18,760,0.7509881422924901
140,1,36,5,2,1,2,0,3,257,0,368,30,13,1,4,23,746,0.7527749747729566
141,0,32,16,3,1,0,1,3,311,1,370,45,19,4,3,23,832,0.8023143683702989
142,1,21,4,1,1,3,1,2,302,2,340,37,17,0,4,17,753,0.7795031055900621
143,0,34,3,0,3,2,2,3,378,1,301,17,13,0,3,21,781,0.8051546391752578
144,0,38,13,1,4,2,0,5,335,2,381,38,32,4,7,21,883,0.8056569343065694
145,1,29,4,1,3,1,3,2,276,2,270,27,8,4,4,20,655,0.5386513157894737
146,0,18,2,4,2,2,2,3,378,2,273,38,19,1,5,16,765,0.5889145496535797
147,0,38,7,1,1,0,1,6,286,2,360,35,14,2,4,28,785,0.7643622200584226
148,0,38,4,0,1,4,1,7,337,1,281,30,22,2,2,26,756,0.7949526813880127
149,1,23,8,4,2,3,3,3,277,2,317,50,18,4,4,24,743,0.7467336683417085
150,0,42,7,3,2,3,2,10,318,2,353,52,18,2,4,30,848,0.7765567765567766
151,0,27,11,1,5,1,1,5,368,7,355,41,17,7,3,23,872,0.8134328358208955
152,0,18,12,2,2,1,2,10,335,5,311,39,14,1,6,20,778,0.7819095477386935
153,1,26,16,0,2,1,0,2,344,3,357,45,22,5,3,21,848,0.7744292237442922
154,0,21,2,1,3,2,5,7,273,2,285,25,24,3,8,28,689,0.7724215246636771
155,0,47,2,0,1,1,2,1,330,4,326,34,22,4,8,18,800,0.8097165991902834
156,0,19,2,1,0,2,2,3,320,2,335,39,18,1,5,19,768,0.8109820485744457
157,1,33,4,2,3,4,1,10,313,5,289,46,17,4,5,28,765,0.7478005865102639
158,1,29,6,0,1,2,0,1,244,5,298,30,14,3,2,34,670,0.768348623853211
159,0,44,13,0,0,1,2,11,302,2,269,34,20,4,3,31,736,0.7603305785123967
160,0,34,6,1,1,1,0,5,302,2,299,33,20,3,4,27,738,0.7285291214215203
161,0,47,15,1,1,4,0,5,319,4,302,26,24,6,5,25,784,0.85310119695321
162,0,17,18,1,0,3,1,6,189,3,298,29,14,7,3,25,614,0.7646326276463262
163,0,27,5,0,4,3,1,6,219,2,339,42,15,3,5,32,703,0.7239958805355304
164,0,31,6,2,3,3,1,6,268,7,291,30,18,3,6,36,711,0.716012084592145
165,0,48,7,0,0,1,1,2,321,4,320,44,28,8,4,41,829,0.779868297271872
166,0,35,10,4,4,2,2,6,236,1,358,40,16,7,7,37,765,0.7634730538922155
167,0,32,13,3,1,4,2,2,261,2,298,41,9,5,7,36,716,0.7808069792802618
168,0,27,9,0,7,2,6,2,284,4,247,27,17,1,7,21,661,0.7231947483588621
169,1,15,6,1,2,1,3,5,341,2,328,46,19,3,7,23,803,0.7903543307086615
170,0,41,11,0,4,2,0,7,320,1,325,36,21,5,7,27,807,0.7678401522359658
171,0,28,16,3,7,0,1,2,327,1,331,33,10,2,3,20,784,0.7943262411347518
172,0,8,0,0,1,1,0,3,52,0,97,13,7,2,1,9,194,0.1845861084681256
173,0,24,2,2,1,5,0,5,269,2,265,31,25,3,5,26,665,0.7421875
174,0,30,8,0,0,0,1,0,323,2,288,40,20,4,3,19,738,0.8065573770491803
175,0,25,2,1,1,2,7,4,247,2,294,44,18,6,4,26,683,0.7546961325966851
176,1,23,1,3,0,6,2,7,211,1,287,37,24,6,2,28,639,0.7830882352941176
177,1,38,3,3,2,3,3,6,219,0,273,35,24,4,4,27,645,0.7182628062360802
178,2,45,1,2,2,1,1,5,267,2,284,35,17,15,2,19,700,0.7454739084132055
179,0,38,2,2,2,3,2,4,293,6,299,32,27,1,1,23,735,0.7786016949152542
180,0,31,2,5,1,1,1,4,263,5,259,44,20,3,6,15,660,0.7923169267707083
181,0,18,1,2,0,0,1,4,230,1,227,41,17,4,1,22,569,0.5244239631336406
182,1,26,4,2,3,2,1,1,185,2,191,25,12,6,1,21,483,0.35777777777777775
183,0,27,2,1,2,4,0,4,266,2,269,32,23,8,3,25,668,0.7229437229437229
184,0,26,1,2,1,7,3,6,283,0,304,24,26,4,4,26,717,0.789647577092511
185,0,25,4,2,1,7,1,5,215,0,398,34,29,6,3,41,771,0.7656405163853028
186,1,19,2,2,2,2,1,6,268,3,206,28,21,3,5,25,594,0.7694300518134715
187,0,34,0,3,2,1,0,5,280,1,300,30,23,4,3,17,703,0.7666303162486369
188,1,21,2,2,1,4,1,12,268,1,246,32,13,6,4,30,644,0.751458576429405
189,3,22,4,2,5,7,0,5,256,2,243,36,17,5,3,24,634,0.7337962962962963
190,0,28,4,3,0,1,1,8,238,2,256,29,15,3,1,20,609,0.6873589164785553
191,0,19,6,1,0,2,1,3,267,0,246,28,15,8,1,27,624,0.7402135231316725
192,1,21,1,1,2,5,0,6,162,0,306,30,10,4,0,40,589,0.5073212747631353
193,0,22,0,1,2,5,4,3,163,1,334,19,18,17,3,61,653,0.729608938547486
194,0,10,1,0,0,8,3,4,138,2,266,22,12,10,2,53,531,0.37341772151898733
195,0,9,3,2,0,6,0,0,110,1,282,12,12,1,1,29,468,0.4427625354777673
196,0,15,1,4,0,1,0,1,134,1,257,17,14,5,2,16,468,0.3762057877813505
197,1,14,0,2,1,7,3,6,186,0,345,22,15,3,1,50,656,0.4546084546084546
198,0,18,2,2,2,5,1,5,164,0,447,24,28,8,3,34,743,0.6983082706766918
199,1,9,3,1,0,6,4,5,119,0,350,33,15,6,3,72,627,0.7683823529411765
200,0,25,4,3,0,2,1,5,232,1,317,45,21,5,3,17,681,0.755826859045505
201,0,39,2,3,3,10,0,11,273,2,388,43,22,4,0,44,844,0.7969782813975449
202,2,23,1,0,0,6,1,4,240,7,327,37,18,3,4,31,704,0.7441860465116279
203,0,26,8,0,4,1,0,3,309,1,337,35,14,4,4,29,775,0.8183738120380147
204,1,35,10,3,1,1,1,5,257,0,264,26,29,7,2,23,665,0.8041112454655381
205,0,15,1,3,2,1,2,7,255,1,284,21,21,4,1,29,647,0.7141280353200883
206,0,14,3,4,1,0,1,6,244,1,266,43,18,1,4,31,637,0.7777777777777778
207,2,32,2,2,2,4,7,0,353,0,290,31,27,4,6,30,792,0.7935871743486974
208,0,27,2,1,1,3,1,5,324,0,315,39,25,8,5,19,775,0.7997936016511867
209,0,36,4,3,1,2,2,3,315,0,284,39,27,4,5,23,748,0.7791666666666667
210,0,28,3,0,0,1,1,5,276,1,295,51,11,5,1,25,703,0.7872340425531915
211,1,40,9,1,5,2,1,6,296,1,278,32,32,4,5,23,736,0.8070175438596491
212,0,22,2,1,1,3,3,5,327,1,377,47,15,4,4,30,842,0.8119575699132112
213,1,19,6,1,1,1,3,7,300,0,291,47,23,4,1,18,723,0.7586568730325288
214,1,25,3,2,3,0,0,2,271,2,286,29,21,1,2,27,675,0.45918367346938777
215,0,17,3,2,1,2,4,7,316,1,283,37,20,2,3,26,724,0.8153153153153153
216,0,39,2,2,3,1,6,1,283,1,302,42,17,5,2,28,734,0.7850267379679144
217,0,34,1,1,1,7,1,3,270,0,260,52,17,0,2,24,673,0.4880348078317622
218,0,25,2,4,4,1,2,2,320,0,249,27,22,1,0,23,682,0.7803203661327232
219,0,36,6,4,2,2,0,5,315,2,319,32,21,9,3,27,783,0.7601941747572816
220,1,21,4,0,1,2,3,7,230,0,300,39,23,2,3,25,661,0.7580275229357798
221,0,33,2,0,1,0,2,6,277,2,363,48,19,4,3,16,776,0.8229056203605515
222,2,42,5,0,1,3,2,3,353,1,356,29,17,2,5,22,843,0.8240469208211144
223,2,15,3,0,0,0,0,4,277,0,289,34,23,1,5,15,668,0.7643020594965675
224,0,33,5,2,2,0,0,3,300,1,332,36,15,4,2,26,761,0.573474001507159
225,0,50,16,3,1,1,3,2,246,0,297,38,23,7,2,24,713,0.5618597320724981
226,0,31,6,1,0,4,0,6,208,1,227,29,17,1,3,14,548,0.36877523553162855
227,0,23,9,1,2,3,1,3,217,0,227,25,12,4,2,17,546,0.5155807365439093
228,2,31,8,1,1,5,7,5,232,2,312,33,21,3,6,15,684,0.5352112676056338
229,0,39,4,3,0,1,0,4,249,3,283,31,22,10,0,32,681,0.463265306122449
230,2,42,10,4,2,4,2,6,346,1,283,50,30,7,2,13,804,0.7768115942028986
231,2,34,5,5,1,1,8,6,313,3,351,44,11,3,5,21,813,0.8001968503937008
232,1,35,5,4,2,1,0,3,363,3,285,23,18,2,6,7,758,0.7648839556004037
233,0,24,14,1,1,3,7,6,367,3,314,49,24,4,2,21,840,0.7843137254901961
234,0,43,0,1,2,2,2,2,364,2,341,47,17,2,4,24,853,0.8217726396917149
235,1,36,5,2,1,4,3,7,311,4,317,50,16,3,6,29,795,0.7593123209169055
236,0,44,5,1,1,4,2,11,277,5,303,42,20,2,2,21,740,0.7692307692307693
237,0,24,8,2,1,1,4,3,226,1,312,43,41,2,4,30,702,0.7869955156950673
238,0,26,5,1,0,1,2,2,273,1,375,40,6,4,9,16,761,0.8316939890710382
239,1,29,6,2,1,2,2,3,255,1,371,46,20,1,3,29,772,0.8318965517241379
240,0,23,4,1,0,5,2,4,285,1,384,40,36,5,3,42,835,0.8083252662149081
241,0,17,0,1,0,5,2,7,244,0,363,35,25,5,4,31,739,0.7309594460929772
242,2,43,6,3,1,5,2,6,278,3,356,32,26,8,5,34,810,0.7706945765937203
243,1,27,0,3,0,5,3,8,343,0,346,36,15,2,9,29,827,0.7787193973634652
244,0,54,3,0,0,0,1,9,375,2,301,45,29,5,3,23,850,0.8011310084825636
245,0,20,3,4,2,3,2,4,270,1,347,45,35,2,4,27,769,0.7871033776867963
246,1,24,2,3,0,2,1,4,145,3,471,49,24,8,1,55,793,0.8338590956887487
247,0,22,2,0,0,1,3,4,194,1,360,36,12,4,5,31,675,0.8054892601431981
248,0,22,4,3,0,5,2,11,247,0,361,58,19,2,2,38,774,0.7889908256880734
249,0,34,8,1,2,1,5,4,249,1,360,58,24,2,5,37,791,0.8248175182481752
250,2,44,4,1,0,6,2,6,254,0,399,62,15,2,5,29,831,0.7975047984644914
251,0,39,3,1,1,2,3,6,263,0,479,53,20,5,2,36,913,0.8654028436018958
252,1,23,1,2,2,4,1,10,283,0,391,38,23,8,2,34,823,0.7599261311172668
253,4,16,1,2,1,1,2,8,152,3,142,17,15,3,4,12,383,0.8201284796573876
254,0,22,2,1,1,3,2,17,249,1,334,28,20,5,8,28,721,0.7334689725330621
255,0,19,4,3,1,5,0,9,232,1,301,31,21,7,2,36,672,0.7088607594936709
256,0,26,0,7,1,3,4,14,341,3,288,37,17,3,1,26,771,0.8538205980066446
257,0,42,5,4,1,8,2,6,367,0,415,46,26,3,4,38,967,0.9062792877225867
258,0,29,3,0,0,2,3,5,307,1,315,56,22,6,1,25,775,0.7216014897579144
259,0,22,0,4,0,6,4,2,209,1,224,30,37,5,3,24,571,0.7454308093994778
260,0,21,2,2,2,10,4,6,190,2,263,27,23,9,1,24,586,0.6766743648960739
261,1,26,5,1,3,3,2,3,157,4,289,35,17,3,6,14,569,0.741851368970013
262,0,38,4,3,2,0,1,5,311,0,330,38,21,6,2,21,782,0.8537117903930131
263,1,23,6,2,0,1,1,6,216,0,354,55,31,2,3,31,732,0.8652482269503546
264,0,21,1,4,1,1,2,3,316,0,128,26,28,5,0,9,545,0.4710458081244598
265,0,37,0,0,0,5,3,4,263,0,325,50,29,5,5,28,754,0.8213507625272332
266,0,31,10,2,1,2,0,3,304,1,279,39,24,1,3,14,714,0.8419811320754716
267,0,33,4,2,0,1,0,4,298,3,206,41,29,2,1,24,648,0.8503937007874016
268,2,46,5,5,0,2,3,3,279,2,335,27,29,4,5,40,787,0.7459715639810427
269,1,35,6,2,0,7,2,5,256,2,281,43,33,5,1,20,699,0.7573131094257854
270,0,33,2,2,1,4,2,8,197,2,288,32,16,5,2,27,621,0.7931034482758621
271,0,8,0,0,1,6,1,6,168,0,264,26,12,5,7,29,533,0.7040951122853368
272,0,19,1,1,1,2,2,11,146,0,292,23,19,9,0,18,544,0.7321668909825033
273,0,15,2,1,1,7,2,4,186,0,299,27,22,3,1,26,596,0.6689113355780022
274,0,10,1,0,1,9,1,4,162,1,293,18,21,7,1,41,570,0.7196969696969697
275,1,17,2,1,2,5,1,4,153,0,294,22,21,7,2,15,547,0.6519666269368296
276,0,24,3,0,3,3,1,5,161,3,334,19,14,7,2,34,613,0.6942242355605889
277,0,27,5,5,3,0,2,4,283,1,276,22,30,7,4,38,707,0.7760702524698134
278,0,26,9,1,0,2,2,7,262,4,347,37,29,13,4,38,781,0.7771144278606965
279,0,16,0,3,2,10,3,9,201,1,335,15,20,9,0,21,645,0.6608606557377049
280,0,16,0,1,3,14,3,7,202,3,283,18,14,17,3,87,671,0.6127853881278539
281,2,22,2,4,2,8,2,12,194,3,312,27,17,10,3,77,697,0.6631779257849667
282,1,28,1,1,2,6,1,8,182,2,325,26,24,14,3,21,645,0.6746861924686193
283,0,19,1,1,0,4,1,7,138,2,243,18,14,4,0,24,476,0.672316384180791
284,0,30,4,3,0,11,3,6,283,4,353,30,24,10,2,25,788,0.7440982058545798
285,0,22,1,4,3,4,5,7,328,5,342,33,17,1,4,26,802,0.5481886534518113
286,1,27,3,2,3,3,2,4,200,0,388,48,16,4,4,24,729,0.7507723995880535
287,2,15,5,1,1,3,1,5,258,0,294,34,20,8,4,33,684,0.5625
288,0,30,3,1,1,2,2,2,187,1,237,43,9,1,1,14,534,0.48282097649186256
