SEZIONE,LIBERALI PER L'ITALIA - PLI,FARE PER FERMARE IL DECLINO,STAMINALI D'ITALIA,MODERATI ITALIANI IN RIVOLUZIONE - ROSA TRICOLORE,INTESA POPOLARE,LA DESTRA,IL POPOLO DELLA LIBERTA',LEGA NORD,GRANDE SUD - MPA,FRATELLI D'ITALIA CENTRODESTRA NAZIONALE,MOVIMENTO PROGETTO ITALIA - MID,MOVIMENTO 5 STELLE,SCELTA CIVICA CON MONTI PER L'ITALIA,FUTURO E LIBERTA' PER L'ITALIA,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO (UDC),SINISTRA ECOLOGIA LIBERTA',PARTITO DEMOCRATICO,CENTRO DEMOCRATICO,PARTITO COMUNISTA DEI LAVORATORI,FORZA NUOVA,AMNISTIA GIUSTIZIA E LIBERTA',CASAPOUND ITALIA,RIVOLUZIONE CIVILE INGROIA,MOVIMENTO SOCIALE FIAMMA TRICOLORE,UNIONE POPOLARE,TOTALE,TOTALE_ISCRITTI,AFFLUENZA
682,1,4,0,0,0,11,197,1,0,15,0,274,37,2,7,16,172,3,4,11,1,4,18,2,0,780,1134,0.6878306878306878
683,2,1,1,0,0,12,109,0,0,7,0,196,17,1,7,16,123,0,2,7,1,2,17,0,1,522,724,0.7209944751381215
684,0,7,1,0,1,9,142,0,1,15,2,199,21,4,4,17,107,5,6,2,8,0,18,0,4,573,1044,0.5488505747126436
685,1,6,0,1,1,12,151,1,0,16,1,274,25,0,4,31,122,3,0,3,3,3,28,0,1,687,1045,0.6574162679425838
686,3,1,0,0,0,15,183,2,0,17,1,316,31,2,11,14,156,1,2,6,4,2,11,6,0,784,1050,0.7466666666666667
687,2,1,0,0,0,22,175,0,0,17,1,278,37,6,16,28,224,0,7,8,1,5,22,2,0,852,1168,0.7294520547945206
688,2,2,1,0,0,10,194,1,0,12,4,298,44,7,3,24,263,3,1,6,2,3,32,0,0,912,1219,0.7481542247744053
689,3,2,0,0,1,10,170,0,2,12,1,319,37,1,13,16,202,0,1,3,2,1,29,3,0,828,1155,0.7168831168831169
690,2,2,0,0,0,14,257,0,1,25,2,318,27,3,10,14,150,0,2,6,1,5,18,0,0,857,1228,0.6978827361563518
691,2,0,0,1,1,12,181,0,0,15,2,266,29,5,5,23,163,6,4,7,2,5,20,3,0,752,1111,0.6768676867686768
692,3,8,0,0,0,16,198,0,1,10,2,242,36,2,16,8,151,3,4,4,2,3,21,3,0,733,1044,0.7021072796934866
693,1,4,0,0,0,10,216,0,0,19,2,239,22,1,2,8,113,0,3,6,3,2,9,2,2,664,982,0.6761710794297352
694,2,2,1,0,0,18,194,0,0,10,1,195,30,3,9,29,139,7,2,7,1,0,24,1,1,676,911,0.7420417124039517
695,2,2,0,3,0,12,84,0,0,15,0,80,44,1,7,7,113,1,0,0,0,1,2,1,0,375,569,0.6590509666080844
696,0,1,0,0,0,7,112,0,0,5,1,121,24,1,10,10,94,0,0,1,1,0,6,1,0,395,554,0.7129963898916968
697,1,2,0,0,0,12,133,1,0,19,0,211,28,3,4,28,194,0,4,1,0,1,23,2,3,670,801,0.83645443196005
698,2,1,0,1,4,17,100,0,0,9,1,180,29,3,12,22,194,1,1,1,1,1,9,2,1,592,835,0.7089820359281437
699,1,3,0,1,8,12,116,0,0,20,2,177,45,2,8,19,167,1,0,1,2,2,28,0,0,615,888,0.6925675675675675
700,4,2,0,0,0,11,112,0,0,11,1,182,29,2,6,18,160,2,1,1,1,1,14,0,0,558,783,0.7126436781609196
701,4,2,0,0,5,14,119,0,0,4,0,177,30,3,5,15,101,2,5,3,0,3,20,2,0,514,750,0.6853333333333333
702,0,1,0,0,3,7,88,2,0,12,1,195,24,2,6,17,130,2,1,3,1,0,18,0,0,513,700,0.7328571428571429
703,3,0,0,0,1,13,64,0,0,9,0,139,6,3,2,8,110,0,4,1,4,0,12,0,1,380,581,0.6540447504302926
704,4,0,0,1,0,10,95,0,0,5,1,140,23,3,4,12,141,2,4,4,2,3,9,0,0,463,766,0.6044386422976501
705,3,1,0,0,0,11,92,0,1,2,0,163,20,4,3,17,143,4,4,0,4,2,11,3,0,488,711,0.6863572433192686
706,3,2,0,0,1,12,131,0,0,8,0,96,26,3,4,16,132,4,5,1,0,2,6,1,0,453,707,0.6407355021216408
707,2,3,0,0,0,12,128,0,0,16,0,155,34,2,18,14,164,1,6,3,2,3,13,1,0,577,864,0.6678240740740741
708,2,2,0,1,0,7,76,1,0,7,1,138,15,4,2,20,120,0,1,0,0,1,11,4,0,413,627,0.6586921850079744
709,1,0,0,0,2,13,135,1,1,10,1,220,33,5,8,13,165,3,4,4,3,2,5,2,0,631,870,0.725287356321839
710,1,3,0,3,0,18,167,1,0,6,2,219,35,3,3,16,128,3,4,9,1,5,9,3,0,639,891,0.7171717171717171
711,1,1,0,0,1,18,123,0,0,12,0,235,29,3,3,18,164,3,1,1,2,1,12,1,1,630,919,0.6855277475516867
712,1,0,1,0,1,9,182,1,1,10,0,226,35,0,14,11,130,1,1,6,1,4,17,1,2,655,926,0.7073434125269978
713,0,3,1,0,2,8,185,0,0,13,0,168,28,1,10,17,114,4,7,4,3,6,17,3,2,596,858,0.6946386946386947
714,3,8,0,3,0,5,171,0,0,8,0,255,30,0,3,16,184,2,4,11,0,4,19,4,2,732,971,0.7538619979402678
715,4,6,0,0,1,14,158,0,0,10,2,251,35,3,5,16,179,1,6,9,2,2,17,6,0,727,1024,0.7099609375
716,1,2,0,0,0,12,154,3,0,10,0,261,29,6,9,22,152,1,6,10,5,2,23,2,1,711,1007,0.7060575968222443
717,1,1,0,1,2,4,137,1,0,11,0,271,29,2,15,19,184,4,7,4,1,1,18,5,1,719,947,0.7592397043294614
718,0,2,0,0,0,16,144,0,0,11,0,220,21,1,9,8,132,1,3,10,0,2,13,1,0,594,848,0.7004716981132075
719,3,3,0,0,0,8,125,1,1,7,2,198,36,3,0,17,174,4,5,12,3,3,20,1,0,626,865,0.7236994219653179
720,2,4,0,0,1,5,154,2,0,14,0,221,30,3,10,18,145,6,2,7,2,2,21,0,1,650,855,0.7602339181286549
721,0,3,0,1,5,9,112,1,1,9,0,225,19,3,4,17,145,2,4,3,0,1,25,2,0,591,850,0.6952941176470588
722,0,4,0,0,1,7,136,0,0,10,0,222,28,3,8,12,149,2,3,5,1,3,12,2,2,610,839,0.7270560190703218
723,1,2,0,0,0,11,134,0,2,10,0,220,37,7,8,15,174,5,4,2,3,0,18,0,0,653,901,0.7247502774694784
724,1,3,0,1,1,14,152,1,1,5,0,220,30,4,15,16,152,3,5,12,0,3,20,1,0,660,905,0.7292817679558011
725,5,1,0,0,3,17,126,0,0,12,0,218,13,2,4,14,154,2,1,7,4,2,8,2,1,596,833,0.7154861944777912
726,1,6,0,0,0,14,104,0,0,15,0,164,13,3,8,12,117,1,2,9,2,3,7,1,1,483,677,0.7134416543574594
727,1,2,0,1,0,11,107,0,0,14,0,149,27,3,9,9,100,1,3,2,3,3,11,1,2,459,639,0.7183098591549296
728,2,7,1,0,1,7,125,0,2,9,1,251,34,1,8,13,135,2,2,6,3,1,14,0,2,627,840,0.7464285714285714
729,4,2,0,0,1,12,114,0,0,14,2,148,23,5,11,15,140,5,2,7,2,1,20,2,1,531,706,0.7521246458923513
730,4,3,0,1,1,9,139,1,0,15,0,257,45,3,8,15,155,2,4,6,4,4,26,2,0,704,992,0.7096774193548387
731,1,0,0,0,1,15,147,1,0,10,1,212,45,3,1,18,160,1,1,8,3,2,13,0,0,643,872,0.7373853211009175
732,2,1,0,0,2,10,143,0,0,9,0,199,24,2,4,11,116,4,3,11,3,3,19,0,0,566,845,0.6698224852071006
733,3,1,0,1,0,14,116,1,0,13,0,217,20,2,4,20,128,2,1,3,2,3,21,2,0,574,804,0.7139303482587065
734,2,5,0,1,0,6,97,0,0,5,1,147,16,6,1,13,115,3,4,9,1,4,18,1,0,455,626,0.7268370607028753
735,1,0,0,2,0,9,99,2,0,11,1,146,21,5,4,8,81,1,7,11,1,2,15,1,1,429,634,0.6766561514195584
736,3,0,0,1,2,8,67,0,0,16,0,144,16,2,2,11,78,0,1,1,1,0,7,0,0,360,560,0.6428571428571429
737,2,1,0,0,1,10,84,0,0,6,1,94,7,4,1,2,107,0,1,1,2,1,8,1,2,336,565,0.5946902654867257
738,1,4,0,0,0,4,75,1,0,8,0,149,10,0,2,20,98,2,1,0,8,2,26,0,0,411,700,0.5871428571428572
739,0,1,1,2,2,5,75,0,1,9,1,156,14,2,3,9,137,1,1,3,1,2,11,3,4,444,660,0.6727272727272727
740,1,2,0,0,0,12,62,1,0,4,0,104,10,1,1,7,89,0,3,2,0,1,11,2,0,313,568,0.551056338028169
741,1,1,0,1,0,11,69,0,0,11,0,130,18,5,5,12,99,4,2,2,10,5,3,2,0,391,762,0.5131233595800525
742,3,1,0,0,3,11,84,1,0,10,2,111,14,1,5,6,85,1,5,6,2,3,4,0,0,358,715,0.5006993006993007
743,3,1,0,1,3,16,234,0,1,8,0,224,28,3,2,9,105,0,4,6,3,1,24,1,1,678,980,0.6918367346938775
744,0,1,0,0,1,7,68,0,0,2,1,101,9,0,4,1,72,1,0,11,3,1,8,2,0,293,570,0.5140350877192983
745,1,0,0,2,0,16,130,2,0,7,0,177,18,1,0,19,139,2,1,5,5,4,15,1,1,546,988,0.5526315789473685
746,2,2,0,2,0,7,79,0,0,3,1,110,15,1,3,9,91,1,2,3,3,1,10,1,1,347,595,0.5831932773109244
747,2,0,0,0,0,8,97,1,1,3,2,121,8,2,7,5,88,0,6,5,7,0,9,2,0,374,709,0.5275035260930888
748,0,2,0,0,0,5,77,1,0,7,1,126,18,1,3,10,51,4,3,3,1,1,6,1,2,323,622,0.5192926045016077
749,2,2,0,0,0,8,135,1,0,17,0,200,24,1,7,27,188,4,2,5,2,3,36,3,3,670,961,0.6971904266389178
750,3,6,0,0,0,9,101,1,0,23,0,174,14,1,2,14,123,1,5,11,2,3,15,4,2,514,739,0.6955345060893099
751,1,0,0,0,1,10,100,0,0,5,2,142,12,2,3,8,90,3,7,3,6,3,8,4,2,412,828,0.4975845410628019
752,1,0,0,0,0,15,116,2,0,9,0,147,8,1,6,7,115,1,5,3,5,1,10,0,0,452,778,0.5809768637532133
753,1,4,0,2,0,5,105,0,0,10,0,176,26,2,7,10,145,4,2,1,2,2,19,2,1,526,798,0.6591478696741855
754,0,0,0,3,2,10,135,0,0,16,3,194,44,6,11,13,121,1,2,7,3,3,13,0,1,588,805,0.7304347826086957
755,0,1,0,0,0,13,138,0,1,8,1,190,22,0,4,25,156,1,4,8,3,1,17,4,0,597,832,0.7175480769230769
756,1,0,0,0,0,8,125,3,0,24,0,201,26,0,3,12,208,3,4,6,0,1,11,3,0,639,840,0.7607142857142857
757,3,1,0,0,0,5,152,0,0,10,2,155,35,4,13,14,161,0,2,5,1,1,9,3,0,576,790,0.7291139240506329
758,1,0,0,0,0,21,162,1,0,12,0,232,30,6,12,12,183,1,1,7,2,2,17,2,0,704,994,0.7082494969818913
759,1,1,0,2,1,15,176,0,0,21,1,270,34,9,9,10,159,1,4,8,2,2,14,0,3,743,969,0.7667698658410733
760,2,1,0,0,0,15,182,0,0,18,0,246,33,4,3,11,179,2,6,5,0,11,15,4,2,739,1018,0.7259332023575639
761,4,6,0,1,0,16,192,0,0,17,0,213,22,4,6,9,152,0,4,8,1,3,14,1,0,673,932,0.7221030042918455
762,0,1,0,0,2,17,204,3,0,16,1,264,42,6,10,13,142,4,1,6,1,1,13,2,0,749,1037,0.7222757955641272
763,4,1,0,1,1,14,180,0,0,16,1,316,26,4,4,22,154,6,8,8,3,0,31,5,2,807,1163,0.6938950988822012
764,2,4,0,0,3,14,217,1,0,23,1,278,60,4,5,18,138,2,4,5,2,6,12,2,1,802,1160,0.6913793103448276
765,3,4,0,1,0,16,162,1,1,19,1,315,38,2,12,18,175,3,2,6,2,2,28,2,2,815,1097,0.7429352780309936
766,2,0,0,0,2,17,242,2,0,12,2,283,30,1,7,15,135,1,7,13,2,9,20,0,1,803,1094,0.7340036563071298
767,1,0,1,4,0,14,179,1,2,4,0,176,17,4,7,19,136,2,2,7,1,5,6,2,2,592,836,0.7081339712918661
768,1,5,0,0,0,14,190,0,0,14,1,238,25,1,5,9,140,2,3,7,1,2,12,0,1,671,838,0.8007159904534606
769,0,3,0,0,0,11,207,0,0,9,0,319,20,1,7,21,146,1,0,6,5,1,13,4,2,776,1102,0.7041742286751361
770,6,4,0,0,0,18,191,0,1,12,1,352,44,5,10,24,170,2,4,6,1,7,18,0,0,876,1135,0.771806167400881
771,0,2,0,0,3,21,237,0,0,7,3,240,19,6,5,6,115,1,6,2,1,5,19,2,1,701,1006,0.6968190854870775
772,0,5,0,0,1,11,127,0,0,9,0,217,26,4,4,24,146,1,2,8,1,1,11,1,0,599,808,0.7413366336633663
773,4,6,0,1,0,10,139,1,0,7,1,204,39,3,3,13,139,0,6,3,3,4,12,1,0,599,784,0.764030612244898
774,0,0,0,0,1,6,128,3,0,8,2,178,24,4,3,13,121,1,1,4,1,13,7,0,1,519,669,0.7757847533632287
775,0,2,1,1,2,12,246,0,0,12,3,288,32,3,6,13,144,3,5,4,2,4,15,4,1,803,1223,0.6565821749795585
776,1,6,0,0,0,13,238,2,0,19,0,223,25,1,6,12,113,1,2,6,2,3,14,4,1,692,1067,0.6485473289597001
777,2,0,0,0,0,15,241,1,1,12,0,230,17,0,6,10,130,1,7,8,5,4,9,5,0,704,975,0.7220512820512821
778,3,3,0,0,0,12,195,0,1,16,0,277,30,2,5,17,140,4,4,5,1,1,8,2,2,728,1008,0.7222222222222222
779,3,0,0,0,1,15,206,1,0,3,5,235,22,3,3,13,132,3,3,7,1,3,3,1,0,663,954,0.6949685534591195
780,0,4,1,1,0,6,167,0,2,16,2,231,25,3,3,18,172,1,3,3,1,7,20,1,1,688,943,0.7295864262990456
781,0,0,0,0,2,16,264,0,0,9,0,253,26,2,1,6,119,3,1,4,1,1,9,1,0,718,1090,0.6587155963302752
782,3,1,0,0,1,17,226,2,0,7,0,267,29,1,5,16,161,0,6,7,1,5,20,1,0,776,1143,0.678915135608049
783,4,1,0,0,0,21,148,2,0,8,1,215,40,2,3,16,129,3,2,5,1,1,12,2,3,619,890,0.6955056179775281
784,2,1,0,0,0,27,201,1,1,12,2,281,40,13,14,13,164,4,5,2,3,3,18,4,1,812,1119,0.7256478999106345
785,1,1,0,1,0,16,213,1,0,12,1,236,37,3,12,18,139,2,13,2,3,4,15,1,2,733,1014,0.722879684418146
786,0,5,0,0,1,11,125,0,0,10,0,190,20,1,7,17,113,1,5,2,1,2,14,0,1,526,714,0.7366946778711485
787,1,3,0,2,1,16,190,1,0,13,0,266,44,3,6,13,178,3,2,8,0,3,13,4,2,772,1031,0.7487875848690592
788,5,1,1,0,0,21,228,0,0,17,2,278,37,4,4,13,125,4,4,4,3,3,16,1,2,773,1057,0.7313150425733207
789,0,4,0,0,0,18,227,0,0,15,0,268,29,5,6,13,148,5,3,1,0,3,7,3,1,756,1009,0.7492566897918731
790,0,2,0,0,0,15,163,0,0,10,1,225,27,2,2,15,152,0,2,5,0,1,20,1,2,645,869,0.7422324510932106
791,1,0,0,0,0,9,169,0,1,11,0,241,44,2,16,13,163,6,5,4,1,6,20,3,0,715,953,0.7502623294858342
792,5,4,1,0,1,11,205,1,0,15,0,262,45,3,8,22,168,2,2,2,1,3,19,1,0,781,1035,0.7545893719806763
793,1,4,2,0,0,13,216,1,0,16,1,215,31,3,4,13,110,1,3,4,3,1,21,3,1,667,977,0.6827021494370522
794,0,6,0,2,1,11,177,0,0,14,1,258,22,3,9,11,162,3,5,6,1,2,17,3,2,716,995,0.7195979899497488
795,1,1,0,0,0,21,170,1,0,16,1,335,46,1,6,18,178,1,2,5,0,3,16,2,1,825,1107,0.7452574525745257
796,2,3,0,0,2,7,154,0,0,9,0,253,30,2,8,22,188,4,5,6,1,8,10,3,0,717,1008,0.7113095238095238
797,0,4,0,0,0,12,167,1,0,21,1,247,25,3,15,27,157,1,6,8,2,1,14,1,1,714,959,0.7445255474452555
798,1,6,1,0,0,13,157,1,0,11,1,194,41,2,13,15,150,4,2,9,2,6,16,3,0,648,832,0.7788461538461539
799,2,1,0,0,0,19,229,0,0,17,0,231,35,7,19,11,141,1,4,6,4,0,14,1,0,742,1062,0.6986817325800376
800,3,1,0,1,0,13,163,0,0,20,0,235,35,3,10,22,202,5,5,11,1,5,21,1,1,758,1003,0.7557328015952144
801,2,3,0,0,0,14,190,1,1,7,0,305,45,4,12,27,194,3,2,3,0,3,19,3,0,838,1070,0.7831775700934579
802,2,3,0,2,0,13,232,0,0,17,1,293,51,6,13,22,169,3,5,9,3,3,23,5,1,876,1144,0.7657342657342657
803,2,4,0,1,0,11,133,2,1,17,0,239,30,4,6,27,193,3,1,8,2,0,15,4,1,704,962,0.7318087318087318
804,3,2,0,1,0,14,161,0,0,20,2,214,32,4,5,32,136,0,3,6,1,1,15,1,2,655,926,0.7073434125269978
805,1,3,0,2,1,14,109,0,1,14,1,204,42,5,4,29,137,2,3,5,3,0,11,2,1,594,846,0.7021276595744681
806,1,1,0,0,0,7,129,0,0,16,0,184,34,3,7,29,167,2,0,4,2,2,10,1,1,600,770,0.7792207792207793
807,0,4,0,0,2,11,145,0,0,16,1,258,37,2,15,38,175,2,1,6,4,6,17,1,0,741,944,0.784957627118644
808,1,3,0,0,0,6,140,1,1,20,0,234,36,9,8,23,184,2,2,1,1,4,12,4,0,692,899,0.7697441601779755
809,1,5,0,0,1,10,105,0,0,8,1,204,25,3,1,17,152,0,4,3,2,2,12,1,1,558,834,0.6690647482014388
810,1,4,0,0,2,16,113,0,0,18,1,200,15,7,7,28,146,2,5,3,2,2,20,1,1,594,886,0.6704288939051919
811,3,4,0,2,0,14,124,3,0,19,0,194,30,3,9,25,159,1,3,3,5,1,16,1,2,621,865,0.7179190751445087
812,2,4,0,2,0,8,145,0,1,13,3,196,37,2,4,14,163,4,3,7,3,2,17,1,0,631,873,0.722794959908362
813,3,1,0,0,0,8,121,0,0,13,1,155,22,4,3,11,188,2,1,5,0,2,19,4,1,564,761,0.7411300919842313
814,2,1,0,0,1,8,80,0,0,5,1,83,12,0,8,13,123,1,4,2,5,4,6,0,3,362,609,0.5944170771756979
815,1,1,0,0,1,7,128,0,0,13,1,239,24,1,1,22,194,2,5,4,3,4,11,1,0,663,940,0.7053191489361702
816,1,2,1,0,0,12,139,5,1,16,3,223,22,1,9,6,111,2,4,7,1,2,13,3,3,587,913,0.6429353778751369
817,2,3,0,0,5,5,57,2,0,5,0,71,15,3,4,13,84,1,3,5,0,2,6,1,1,288,458,0.62882096069869
818,3,1,0,2,2,12,104,0,0,5,0,205,36,7,7,8,139,1,2,3,0,2,12,0,1,552,800,0.69
819,3,6,1,1,1,9,140,0,0,14,0,254,57,3,5,33,208,2,2,0,3,3,27,3,2,777,1020,0.7617647058823529
820,3,4,0,0,0,10,163,0,1,8,0,222,52,1,9,26,202,0,3,1,2,2,16,0,0,725,951,0.7623554153522608
821,0,11,0,1,0,9,216,4,0,18,0,250,69,2,10,33,218,2,2,4,1,6,22,2,0,880,1057,0.8325449385052034
822,0,5,0,0,1,18,167,3,0,16,2,265,56,6,6,46,207,0,1,4,4,2,14,2,1,826,1050,0.7866666666666666
823,1,7,1,1,1,13,204,0,0,25,0,258,54,1,11,22,250,1,4,9,2,4,21,2,1,893,1161,0.7691645133505599
824,4,0,1,1,1,10,206,1,0,23,2,293,37,6,9,20,169,4,6,7,2,0,32,4,1,839,1118,0.7504472271914132
825,1,3,0,0,2,9,197,0,1,19,0,335,35,0,6,13,174,6,4,4,1,4,29,1,0,844,1127,0.748890860692103
826,2,5,1,2,2,13,120,2,0,15,0,258,46,0,4,35,206,0,3,5,1,0,45,1,1,767,996,0.7700803212851406
827,1,5,1,1,0,10,118,0,0,5,0,258,57,1,3,37,231,8,3,4,4,1,50,2,0,800,979,0.8171603677221655
828,3,14,0,1,1,4,100,0,1,8,0,84,67,4,6,26,151,0,4,0,3,1,17,0,1,496,657,0.7549467275494672
829,0,1,1,0,3,7,84,0,0,20,0,81,57,5,16,44,128,1,0,1,1,1,12,0,0,463,653,0.7090352220520674
830,0,15,0,0,0,3,68,0,0,7,0,91,58,1,1,61,201,0,1,0,2,2,17,0,0,528,724,0.7292817679558011
831,0,8,0,0,0,10,107,3,0,16,0,96,53,5,3,45,192,1,0,2,2,0,10,0,0,553,718,0.7701949860724234
832,2,18,0,0,1,7,91,0,0,15,0,81,61,1,8,31,130,1,0,2,2,2,5,0,0,458,593,0.7723440134907251
833,1,5,0,0,0,12,91,2,0,24,1,111,70,2,6,59,214,3,2,0,4,1,16,2,0,626,788,0.7944162436548223
834,0,10,0,0,0,4,67,1,0,18,0,110,48,2,7,44,149,4,1,0,4,0,12,0,0,481,669,0.71898355754858
835,1,15,0,1,0,1,96,0,0,31,0,96,63,3,11,53,200,2,0,1,2,1,21,1,0,599,804,0.7450248756218906
836,1,9,0,2,0,7,103,2,0,15,0,137,50,2,8,51,163,2,1,2,3,1,20,0,0,579,782,0.7404092071611253
837,1,11,0,0,0,7,90,0,1,81,0,94,49,2,19,38,209,1,2,0,4,2,19,1,0,631,785,0.8038216560509555
838,0,13,0,3,1,5,102,2,0,19,0,106,101,3,15,52,197,6,3,1,5,3,28,2,0,667,847,0.7874852420306966
839,1,9,0,0,1,10,104,0,0,22,0,132,59,7,4,66,196,2,0,4,2,0,23,0,0,642,853,0.7526377491207503
840,2,3,0,0,1,7,68,1,0,19,0,47,54,5,14,28,98,1,1,0,2,1,6,0,0,358,440,0.8136363636363636
841,1,15,0,1,0,5,103,1,0,12,0,125,45,1,6,45,170,2,1,1,3,3,9,2,0,551,671,0.8211624441132638
842,1,16,0,0,1,12,96,1,0,18,0,331,66,3,11,47,237,2,1,5,4,3,26,2,0,883,1114,0.7926391382405745
843,1,13,0,0,0,9,129,4,0,17,0,78,118,1,14,22,180,1,0,0,1,0,14,1,0,603,782,0.7710997442455243
844,2,2,1,1,2,20,121,0,0,16,1,338,44,6,7,21,161,3,1,6,3,0,25,2,0,783,1009,0.77601585728444
845,1,16,0,0,1,10,138,1,1,21,0,79,91,2,7,33,163,7,0,1,6,2,4,0,0,584,768,0.7604166666666666
846,2,10,0,1,0,13,82,2,0,10,0,109,92,2,4,103,225,3,0,1,2,3,23,0,0,687,930,0.7387096774193549
847,0,7,0,1,0,12,94,1,0,15,0,119,72,1,10,66,197,7,1,0,7,1,22,1,0,634,833,0.7611044417767107
848,1,3,0,4,2,9,114,1,0,17,0,434,74,3,4,39,237,2,3,2,5,4,33,4,0,995,1221,0.8149058149058149
849,0,8,0,2,1,15,108,1,0,30,1,311,68,6,6,47,209,2,0,1,2,5,22,0,0,845,1022,0.8268101761252447
850,0,8,2,0,0,16,128,1,0,32,3,350,93,6,11,33,227,3,1,1,3,3,21,2,0,944,1160,0.8137931034482758
851,0,10,1,0,0,11,88,3,0,8,0,140,66,4,6,50,237,5,0,3,6,3,27,1,0,669,890,0.751685393258427
852,2,0,0,0,0,9,93,0,0,14,1,169,23,4,3,48,204,2,3,3,3,8,37,0,0,626,887,0.705749718151071
853,0,12,0,0,0,3,139,0,0,20,1,82,96,6,5,33,163,3,1,2,2,2,12,3,1,586,774,0.7571059431524548
854,3,5,0,0,1,5,123,0,0,25,0,178,50,5,10,40,253,1,3,0,2,0,31,3,0,738,936,0.7884615384615384
855,13,0,0,0,0,9,91,0,0,16,1,129,48,0,5,26,146,0,1,1,0,2,16,2,0,506,696,0.7270114942528736
856,0,7,0,1,0,5,84,0,0,6,0,86,41,2,6,30,130,0,2,2,6,0,11,1,0,420,570,0.7368421052631579
857,1,4,0,0,0,8,60,0,0,9,0,113,38,2,6,35,187,0,0,2,3,2,17,1,1,489,670,0.7298507462686568
858,1,5,0,4,0,13,104,1,0,18,0,181,61,4,11,44,193,0,2,0,2,1,29,1,0,675,876,0.7705479452054794
859,0,8,0,0,0,6,99,0,0,21,0,120,57,2,2,36,169,3,1,2,4,1,15,1,0,547,692,0.7904624277456648
860,1,4,0,0,2,11,98,0,0,19,0,192,40,0,5,45,222,2,1,3,1,2,16,1,0,665,903,0.7364341085271318
861,2,5,0,0,0,11,110,1,1,20,0,181,47,6,10,62,203,3,1,2,2,4,41,1,0,713,940,0.7585106382978724
862,0,4,0,0,0,8,57,1,1,17,0,207,37,6,5,16,124,3,1,0,1,4,13,0,0,505,623,0.8105939004815409
863,1,5,0,1,0,5,114,0,0,21,0,163,29,3,2,43,216,3,3,2,4,0,39,0,0,654,867,0.754325259515571
864,1,9,0,0,1,15,67,1,0,24,0,170,75,9,8,44,210,3,0,0,0,3,22,0,0,662,856,0.7733644859813084
865,0,9,0,0,1,14,118,1,0,19,2,175,68,4,10,56,251,0,3,2,2,0,29,0,0,764,993,0.7693856998992951
866,1,9,0,0,2,15,78,1,0,16,0,148,61,6,2,56,237,1,0,0,2,1,26,2,0,664,865,0.7676300578034682
867,0,7,0,0,0,8,60,1,0,10,0,121,54,2,7,40,170,2,1,2,1,2,31,0,0,519,651,0.7972350230414746
868,5,8,0,3,0,11,100,1,0,10,0,158,43,2,11,34,206,1,2,0,3,3,25,0,0,626,804,0.7786069651741293
869,0,7,0,1,1,14,96,2,1,17,0,176,55,0,3,39,217,3,4,2,3,5,18,0,0,664,837,0.7933094384707288
870,0,4,0,0,0,15,72,1,0,7,1,125,39,1,4,42,176,3,0,1,3,4,16,1,0,515,708,0.7274011299435028
871,1,6,0,3,0,11,94,0,0,14,0,145,59,3,4,39,175,1,0,0,1,0,14,2,0,572,725,0.7889655172413793
872,1,9,0,0,0,13,76,0,0,16,0,140,52,2,7,37,162,1,1,2,1,0,18,1,0,539,675,0.7985185185185185
873,0,6,0,1,0,6,108,0,0,12,0,172,73,2,6,33,219,0,2,6,1,2,20,0,1,670,827,0.8101571946795647
874,0,4,0,2,0,10,110,1,0,19,1,103,47,3,7,37,157,0,3,1,0,2,19,3,0,529,693,0.7633477633477633
875,1,2,0,0,0,11,105,1,0,13,1,204,36,3,3,38,178,1,5,0,1,5,18,1,0,627,800,0.78375
876,1,7,0,0,0,28,106,0,0,19,1,164,57,1,7,33,228,2,3,0,3,2,28,3,0,693,921,0.752442996742671
877,0,5,0,3,0,14,141,3,0,15,0,199,66,4,14,52,219,5,3,5,1,2,24,1,0,776,1026,0.7563352826510721
878,2,4,0,0,0,12,121,1,0,19,0,212,57,4,6,33,244,5,2,3,7,5,34,2,0,773,1011,0.7645895153313551
879,1,4,1,1,0,6,115,0,0,23,1,148,72,1,7,37,172,1,1,0,1,4,16,1,0,613,788,0.7779187817258884
880,2,10,0,2,0,7,91,0,1,7,0,176,38,5,10,48,251,1,1,1,2,3,23,0,0,679,873,0.7777777777777778
881,2,3,0,1,1,5,68,0,0,9,0,137,19,3,1,35,134,1,1,1,1,2,8,0,0,432,583,0.7409948542024014
882,1,4,0,0,0,13,64,0,0,5,1,121,46,3,5,23,148,0,5,3,1,1,16,0,0,460,649,0.7087827426810478
883,0,5,0,0,0,13,110,1,1,12,0,163,47,3,18,38,191,2,3,3,4,3,19,1,0,637,856,0.7441588785046729
884,1,6,0,1,0,7,65,1,1,13,0,153,36,3,8,41,169,0,0,1,3,1,19,0,0,529,721,0.7337031900138696
885,1,5,0,0,0,6,97,0,0,14,0,112,38,3,7,19,145,0,2,2,1,5,14,2,0,473,608,0.7779605263157895
886,2,3,0,0,1,5,135,0,0,28,1,160,85,4,9,25,232,1,0,4,1,3,21,1,0,721,877,0.82212086659065
887,1,6,0,0,1,11,121,0,0,18,0,153,66,2,5,42,187,0,0,0,4,1,26,1,1,646,815,0.7926380368098159
