VITA,MOVIMENTO 5 STELLE,UNIONE POPOLARE DE MAGISTRIS,ALTERNATIVA PER L'ITALIA NO GREEN PASS,ITALIA SOVRANA E POPOLARE,PARTITO DELLA FOLLIA CREATIVA,PARTITO DEMOCRATICO,IMPEGNO CIVICO DI MAIO,ALLEANZA VERDI E SINISTRA,+ EUROPA CON EMMA BONINO,LISTA PARAGONE ITALEXIT,AZIONE ITALIA VIVA,NOI MODERATI,LEGA SALVINI PREMIER,FRATELLI D'ITALIA,FORZA ITALIA,TOTALE,SEZIONE,AFFLUENZA
5,67,13,1.0,6,0.0,128,3,41,28,7,72,5,16,86,17,495,1439,0.6608811748998665
2,50,7,1.0,0,0.0,140,5,28,23,5,89,2,12,129,26,519,1440,0.6874172185430464
6,56,12,0.0,1,0.0,120,1,44,23,4,57,3,20,120,8,475,1441,0.6176853055916776
3,65,13,1.0,4,0.0,152,1,28,17,5,61,0,20,110,19,499,1442,0.6557161629434954
2,72,12,1.0,10,0.0,129,0,24,22,4,40,4,18,110,19,467,1443,0.6605374823196606
2,60,12,1.0,10,0.0,117,1,43,25,5,44,0,24,93,8,445,1444,0.6573116691285081
3,58,19,2.0,12,0.0,176,0,23,24,5,56,0,23,127,19,547,1445,0.6488730723606169
3,86,9,2.0,13,0.0,192,2,43,30,10,65,1,21,156,12,645,1446,0.662217659137577
3,52,6,0.0,4,0.0,100,2,29,28,4,48,3,10,88,15,392,1447,0.7286245353159851
6,82,15,0.0,5,0.0,185,1,45,39,8,52,5,138,23,23,627,1448,0.6691568836712913
4,59,15,0.0,6,0.0,120,1,32,33,9,46,2,16,84,18,445,1449,0.6671664167916042
3,55,6,0.0,2,0.0,100,2,20,24,5,36,0,16,101,16,386,1450,0.6736474694589878
11,67,12,0.0,8,0.0,171,2,37,39,6,86,3,30,160,15,647,1451,0.6670103092783505
1,55,16,0.0,3,0.0,207,3,29,27,8,62,1,22,122,21,577,1452,0.6655132641291811
2,54,4,0.0,8,0.0,186,2,34,34,4,75,5,15,166,20,609,1453,0.6736725663716814
4,39,3,0.0,2,0.0,141,2,14,18,8,81,4,16,122,13,467,1454,0.7033132530120482
2,68,10,1.0,4,0.0,172,3,54,19,6,82,6,20,146,14,607,1455,0.6789709172259508
3,42,9,1.0,1,0.0,111,0,38,32,6,46,2,19,132,13,455,1456,0.6710914454277286
1,67,5,0.0,7,0.0,135,3,20,20,11,61,6,26,167,23,552,1457,0.6748166259168704
3,81,8,0.0,3,0.0,161,0,37,32,2,79,3,19,184,25,637,1458,0.6976998904709748
3,57,4,1.0,6,0.0,172,3,23,24,4,104,0,31,28,186,646,1459,0.6750261233019854
1,61,15,1.0,3,0.0,121,2,20,28,5,95,2,16,172,41,583,1460,0.6609977324263039
1,25,6,0.0,6,0.0,90,1,1,14,8,61,2,19,108,7,349,1461,0.6345454545454545
0,46,6,1.0,4,0.0,138,1,19,34,9,84,6,10,145,32,535,1462,0.7039473684210527
2,52,5,1.0,4,0.0,154,1,14,32,6,69,5,17,18,133,513,1463,0.6477272727272727
3,27,7,0.0,5,0.0,130,0,15,21,7,111,5,17,151,31,530,1464,0.7381615598885793
0,52,9,2.0,3,0.0,176,1,28,46,6,103,2,19,154,23,624,1465,0.6995515695067265
3,60,7,0.0,7,0.0,185,0,31,41,4,88,1,18,163,24,632,1466,0.6914660831509847
1,27,6,0.0,7,0.0,134,0,23,22,4,71,3,7,101,18,424,1467,0.7247863247863248
3,87,9,0.0,2,0.0,134,0,35,15,4,42,6,23,96,19,475,1468,0.656984785615491
1,64,0,0.0,5,0.0,100,0,14,15,2,53,2,13,86,10,365,1469,0.5906148867313916
0,70,11,0.0,9,0.0,122,0,24,23,8,41,1,25,98,13,445,1470,0.5933333333333334
4,54,9,0.0,5,0.0,84,2,30,13,1,43,0,20,126,16,407,1471,0.5582990397805213
0,48,0,0.0,0,0.0,101,0,26,18,0,47,5,20,116,11,392,1570,0.6212361331220285
4,41,7,0.0,5,0.0,123,1,26,12,8,51,3,17,130,12,440,1571,0.6738131699846861
0,73,4,1.0,15,0.0,156,0,17,36,4,60,1,20,163,23,573,1572,0.6208017334777898
2,93,5,2.0,10,0.0,137,2,30,21,11,45,1,17,175,24,575,1573,0.6388888888888888
1,83,9,1.0,5,0.0,142,6,19,21,6,64,0,19,129,33,538,1575,0.6481927710843374
3,42,3,1.0,11,0.0,67,1,13,13,5,14,0,11,102,11,297,1576,0.5390199637023594
2,87,12,1.0,14,0.0,156,0,30,23,13,49,1,19,123,26,556,1577,0.5921192758253461
0,69,4,3.0,4,0.0,60,0,7,7,9,11,2,17,117,10,320,1578,0.4306864064602961
2,55,2,1.0,7,0.0,75,1,18,9,12,14,1,36,145,28,406,1579,0.4709976798143852
0,64,5,1.0,2,0.0,48,0,11,2,7,14,0,18,85,17,274,1580,0.44122383252818037
0,53,10,0.0,8,0.0,82,1,17,21,4,13,0,20,142,13,384,1581,0.514745308310992
2,66,3,1.0,16,0.0,59,0,5,4,3,14,0,21,92,15,301,1582,0.44592592592592595
2,83,8,0.0,4,0.0,61,2,10,9,3,15,2,28,85,9,321,1583,0.5119617224880383
1,66,9,0.0,9,0.0,97,4,21,15,6,34,1,27,196,20,506,1584,0.6223862238622386
2,83,12,0.0,5,0.0,101,2,25,8,3,20,1,17,130,21,430,1585,0.5866302864938608
1,70,3,1.0,10,0.0,72,3,16,12,0,30,1,19,143,23,404,1586,0.5422818791946309
3,56,3,1.0,4,0.0,70,3,10,12,10,18,0,26,129,16,361,1587,0.5091678420310296
3,76,3,1.0,2,0.0,63,2,11,7,4,16,0,16,120,16,340,1588,0.5492730210016155
2,103,13,1.0,7,0.0,83,5,25,11,4,25,0,21,154,33,487,1589,0.5281995661605207
