VITA,MOVIMENTO 5 STELLE,UNIONE POPOLARE DE MAGISTRIS,ALTERNATIVA PER L'ITALIA NO GREEN PASS,ITALIA SOVRANA E POPOLARE,PARTITO DELLA FOLLIA CREATIVA,PARTITO DEMOCRATICO,IMPEGNO CIVICO DI MAIO,ALLEANZA VERDI E SINISTRA,+ EUROPA CON EMMA BONINO,LISTA PARAGONE ITALEXIT,AZIONE ITALIA VIVA,NOI MODERATI,LEGA SALVINI PREMIER,FRATELLI D'ITALIA,FORZA ITALIA,TOTALE,SEZIONE,AFFLUENZA
4,46,11,0.0,5,0.0,202,1,41,48,2,90,0,8,108,16,582,2144,0.6807017543859649
4,33,5,1.0,4,0.0,142,2,26,21,8,69,4,18,144,27,508,2145,0.7288378766140603
3,40,12,1.0,3,1.0,163,0,36,40,12,120,0,13,172,17,633,2146,0.7185017026106697
4,62,10,1.0,3,0.0,122,2,34,22,15,47,1,13,115,14,465,2147,0.4808686659772492
0,49,10,1.0,7,1.0,127,0,39,33,10,46,3,12,74,8,420,2148,0.7082630691399663
2,53,19,1.0,11,1.0,122,2,28,33,10,107,6,12,113,13,533,2149,0.6789808917197452
0,31,7,0.0,6,0.0,99,1,10,28,9,92,2,14,105,18,422,2150,0.679549114331723
0,40,11,1.0,5,0.0,109,1,20,22,9,131,8,21,188,24,590,2151,0.676605504587156
1,23,6,0.0,4,1.0,99,3,17,26,2,137,8,17,165,38,547,2152,0.7197368421052631
0,19,8,0.0,5,0.0,132,1,14,28,5,173,1,13,191,48,638,2153,0.7152466367713004
0,22,4,0.0,9,1.0,119,2,9,27,1,101,7,22,150,39,513,2154,0.6904441453566622
1,29,4,0.0,4,0.0,137,2,21,19,2,117,3,13,173,35,560,2155,0.6956521739130435
0,21,4,0.0,3,1.0,83,0,12,5,9,63,11,21,161,4,398,2156,0.6317460317460317
0,20,9,0.0,1,0.0,109,1,19,33,4,177,4,24,162,40,603,2157,0.6987253765932793
0,31,8,0.0,8,0.0,104,10,20,17,3,156,6,13,143,29,548,2158,0.7007672634271099
2,21,7,1.0,2,0.0,99,0,21,19,2,200,6,24,160,26,590,2159,0.740276035131744
1,24,4,0.0,5,0.0,90,1,12,29,5,153,2,21,216,42,605,2160,0.6752232142857143
1,20,12,0.0,4,0.0,105,5,16,30,15,150,3,17,205,46,629,2161,0.688183807439825
3,27,2,1.0,0,0.0,97,4,16,14,7,190,5,26,238,67,697,2162,0.69009900990099
1,16,4,2.0,8,0.0,105,1,16,20,1,190,10,21,223,37,655,2163,0.7197802197802198
3,17,4,0.0,5,1.0,109,5,12,24,7,186,6,21,227,41,668,2164,0.6802443991853361
3,27,5,0.0,3,0.0,123,1,13,20,3,136,7,18,184,39,582,2165,0.6871310507674144
1,26,3,0.0,8,0.0,133,0,18,25,5,177,2,15,214,37,664,2166,0.6952879581151833
2,16,7,0.0,8,1.0,93,2,9,21,2,215,3,17,217,36,649,2167,0.6824395373291272
2,21,3,1.0,3,0.0,114,2,15,24,1,207,7,13,197,49,659,2168,0.6871741397288843
2,18,10,1.0,1,0.0,101,1,19,30,1,229,3,20,244,56,736,2169,0.7138700290979632
3,23,1,0.0,0,1.0,92,1,5,14,3,174,9,13,163,38,540,2170,0.6741573033707865
2,19,3,0.0,6,0.0,79,0,17,18,6,133,3,26,159,38,509,2171,0.6550836550836551
1,31,7,1.0,4,1.0,172,2,21,33,4,164,10,20,148,34,653,2172,0.673890608875129
1,34,4,1.0,2,0.0,174,2,26,29,4,123,9,11,147,19,586,2173,0.690223792697291
2,47,4,0.0,13,0.0,158,3,29,32,5,137,5,17,187,27,666,2174,0.6930280957336108
0,18,10,0.0,2,0.0,106,3,20,15,3,68,4,11,108,25,393,2175,0.6369529983792545
1,27,5,2.0,0,0.0,163,1,18,26,4,112,1,10,131,27,528,2176,0.676056338028169
2,44,6,0.0,3,0.0,156,2,25,33,9,115,7,5,128,31,566,2177,0.6970443349753694
0,29,14,0.0,3,0.0,182,3,37,32,4,114,3,9,109,23,562,2178,0.6828675577156743
4,37,10,0.0,2,0.0,138,2,24,29,5,56,1,15,88,21,432,2179,0.6728971962616822
4,38,10,0.0,8,0.0,152,2,27,41,5,98,0,17,131,18,551,2180,0.7019108280254777
5,43,11,0.0,3,2.0,184,2,32,42,5,88,4,8,93,16,538,2181,0.6775818639798489
2,41,11,1.0,4,0.0,149,1,30,34,6,77,6,20,118,15,515,2182,0.665374677002584
6,38,9,0.0,6,0.0,151,0,24,23,7,67,1,17,140,17,506,2183,0.640506329113924
4,44,11,0.0,8,0.0,158,2,33,32,6,87,5,20,129,14,553,2184,0.6544378698224852
3,38,8,1.0,5,0.0,182,3,31,20,5,100,3,16,159,20,594,2186,0.684331797235023
2,43,6,1.0,9,0.0,169,4,23,32,10,87,1,19,123,15,544,2187,0.6642246642246642
4,51,13,0.0,10,1.0,151,1,27,26,8,74,4,17,133,27,547,2189,0.6728167281672817
1,49,15,0.0,8,1.0,129,3,32,27,12,111,2,22,143,16,571,2190,0.6871239470517448
6,51,9,0.0,7,0.0,176,0,41,28,2,79,1,14,133,14,561,2191,0.6607773851590106
1,34,6,1.0,6,0.0,136,1,33,24,3,60,3,25,91,6,430,2192,0.6697819314641744
1,38,14,0.0,9,0.0,141,1,23,27,3,99,4,13,104,18,495,2193,0.7399103139013453
1,32,6,0.0,5,0.0,109,0,19,28,0,76,2,14,109,17,418,2194,0.6955074875207987
2,26,7,0.0,8,0.0,142,3,37,18,12,106,5,14,92,19,491,2195,0.7209985315712188
0,32,7,0.0,3,0.0,149,2,31,32,6,75,3,14,129,15,498,2196,0.7312775330396476
0,45,6,0.0,8,0.0,109,3,29,24,9,82,1,11,80,19,426,2197,0.6348733233979136
1,19,6,0.0,1,2.0,109,3,33,21,6,71,2,13,77,20,384,2198,0.6956521739130435
0,48,10,0.0,1,0.0,138,3,21,17,5,84,4,21,120,16,488,2199,0.6863572433192686
0,40,6,0.0,5,0.0,168,2,19,30,5,69,4,8,113,13,482,2200,0.7280966767371602
3,21,4,0.0,8,0.0,123,0,20,15,4,69,4,14,92,18,395,2201,0.7053571428571429
4,22,8,0.0,3,0.0,144,0,19,24,4,117,2,21,134,25,527,2202,0.7626628075253257
1,36,8,0.0,1,1.0,136,1,27,22,7,125,7,10,121,12,515,2203,0.7474600870827286
1,23,10,1.0,8,1.0,129,0,25,20,2,102,3,13,95,22,455,2204,0.7120500782472613
4,26,11,2.0,5,0.0,135,0,16,35,2,104,3,9,132,21,505,2205,0.7605421686746988
0,38,6,2.0,2,0.0,137,0,23,33,6,95,4,8,106,15,475,2206,0.7318952234206472
1,46,7,1.0,4,0.0,173,4,36,38,1,75,1,8,104,17,516,2207,0.6807387862796834
1,34,9,0.0,6,0.0,143,2,36,45,8,80,1,20,117,17,519,2208,0.7158620689655173
1,44,5,0.0,4,1.0,122,3,15,20,4,69,2,17,133,8,448,2209,0.6892307692307692
2,34,6,0.0,5,0.0,106,2,25,25,5,51,1,9,91,12,374,2210,0.6666666666666666
0,30,9,0.0,5,0.0,107,0,18,17,0,48,2,2,65,11,314,2211,0.6738197424892703
0,24,6,1.0,3,0.0,67,0,9,10,4,63,4,9,126,19,345,2212,0.6534090909090909
0,44,12,1.0,0,2.0,102,2,21,13,2,53,0,8,68,19,347,2213,0.6685934489402697
1,40,15,1.0,6,1.0,88,2,19,20,5,39,3,16,80,10,346,2518,0.5776293823038398
4,83,40,0.0,1,0.0,153,1,69,40,10,49,0,19,103,13,585,2519,0.6074766355140186
0,18,0,1.0,0,0.0,5,0,0,4,0,5,0,2,41,3,79,2535,1.196969696969697
0,12,3,1.0,0,0.0,27,2,5,0,1,4,0,9,41,10,115,2569,38.333333333333336
0,9,2,0.0,2,0.0,13,0,2,3,2,7,0,3,25,4,72,2570,inf
0,1,2,0.0,0,0.0,6,0,1,1,0,3,0,2,14,0,30,2571,30.0
0,6,1,0.0,0,0.0,12,0,4,1,0,4,0,0,13,2,43,2574,43.0
1,9,0,0.0,0,0.0,20,2,1,3,1,7,0,4,28,5,81,2575,inf
0,6,1,0.0,1,0.0,12,0,2,4,0,5,0,3,14,1,49,2576,inf
0,2,1,0.0,0,0.0,5,0,3,0,1,3,0,1,10,1,27,2602,inf
0,88,11,1.0,5,0.0,158,1,29,24,8,81,3,18,235,39,701,1,0.6527001862197392
9,128,18,1.0,12,1.0,171,4,35,35,23,53,0,32,195,20,737,25,0.6050903119868637
1,51,2,0.0,7,0.0,133,0,23,24,11,86,3,21,196,19,577,37,0.6935096153846154
3,98,22,2.0,11,0.0,136,4,32,32,9,63,1,23,132,27,595,67,0.4821717990275527
6,58,23,1.0,4,1.0,151,3,42,40,5,73,5,19,127,25,583,68,0.6965352449223416
0,71,17,1.0,7,1.0,165,4,49,29,9,82,3,26,130,27,621,69,0.7195828505214369
2,71,15,1.0,5,0.0,113,1,28,21,7,59,0,9,110,15,457,70,0.6454802259887006
2,98,10,1.0,3,0.0,160,3,36,34,11,64,3,13,120,24,582,71,0.6502793296089385
2,83,18,0.0,1,0.0,153,0,36,27,5,61,3,20,123,18,550,72,0.6186726659167604
5,85,19,0.0,16,0.0,241,1,86,58,11,79,3,13,108,20,745,73,0.7136015325670498
4,62,18,3.0,6,0.0,179,0,68,38,4,69,3,3,107,19,583,74,0.7206427688504327
4,64,21,3.0,9,0.0,180,1,70,39,12,76,3,14,130,14,640,75,0.6557377049180327
5,78,21,0.0,10,1.0,180,0,40,30,7,78,3,13,110,16,592,76,0.6614525139664804
1,70,26,0.0,5,1.0,225,4,79,52,8,82,6,10,118,13,700,77,0.6896551724137931
2,71,15,0.0,10,0.0,138,3,25,23,10,61,2,13,119,13,505,78,0.6226880394574599
1,80,19,0.0,0,1.0,147,2,41,25,4,83,1,7,108,20,539,79,0.6621621621621622
2,72,8,0.0,6,0.0,148,1,25,27,3,57,0,12,90,20,471,80,0.6007653061224489
1,65,25,1.0,9,0.0,174,3,57,41,3,74,1,15,132,28,629,81,0.6844396082698585
2,62,22,0.0,13,0.0,217,3,59,36,2,87,3,3,131,17,657,82,0.7011739594450374
4,80,24,1.0,5,0.0,211,1,74,48,5,84,4,7,95,20,663,83,0.6786079836233367
2,62,14,0.0,9,1.0,184,2,48,33,5,72,2,24,109,10,577,84,0.6497747747747747
1,82,16,1.0,7,1.0,212,2,57,44,7,92,4,10,137,12,685,85,0.6782178217821783
5,75,21,0.0,7,1.0,242,2,64,33,2,78,3,17,93,17,660,86,0.6954689146469969
5,73,14,1.0,15,1.0,177,4,49,28,10,96,2,10,138,20,643,87,0.6740041928721174
0,76,15,1.0,10,0.0,177,2,48,21,8,52,3,9,110,19,551,88,0.6459554513481829
2,77,12,0.0,5,0.0,167,3,45,22,13,57,2,12,157,11,585,89,0.6492785793562708
1,85,22,1.0,4,0.0,125,3,50,30,7,57,0,18,107,22,532,90,0.5820568927789934
0,65,24,0.0,7,0.0,163,4,44,27,9,50,5,19,134,15,566,91,0.6535796766743649
0,71,26,1.0,13,2.0,186,4,38,50,8,103,3,14,139,27,685,92,0.742145178764897
5,74,15,1.0,8,0.0,136,1,23,24,4,49,2,11,93,11,457,93,0.5896774193548387
4,73,28,2.0,6,0.0,151,4,42,29,14,53,6,21,139,14,586,94,0.6674259681093394
1,51,8,2.0,6,0.0,113,2,40,17,7,53,2,12,131,18,463,95,0.6189839572192514
2,74,13,0.0,3,2.0,168,4,37,29,1,73,0,23,146,16,591,96,0.6677966101694915
2,77,17,1.0,11,0.0,183,4,42,26,2,60,6,24,133,13,601,97,0.6923963133640553
1,47,8,0.0,5,0.0,124,1,14,28,3,64,2,9,130,15,451,98,0.6622613803230544
5,69,19,1.0,12,0.0,159,3,35,34,4,63,2,14,133,21,574,99,0.6635838150289017
2,75,14,0.0,5,1.0,184,2,36,33,5,95,2,12,169,34,669,100,0.6805696846388606
3,57,10,1.0,12,0.0,147,3,40,33,4,58,3,12,126,23,532,101,0.6207701283547258
2,65,6,1.0,4,1.0,138,0,22,29,6,104,5,20,169,32,604,102,0.7006960556844548
1,50,8,1.0,3,1.0,143,0,27,14,4,60,0,14,129,19,474,103,0.6345381526104418
1,67,9,0.0,8,1.0,162,1,23,29,7,85,1,15,186,13,608,104,0.6885617214043035
2,68,4,0.0,4,1.0,143,3,16,22,11,83,3,16,148,19,543,105,0.6711990111248455
1,69,4,1.0,5,1.0,119,2,19,19,9,53,4,23,142,21,492,106,0.6165413533834586
0,61,11,0.0,4,4.0,164,2,28,20,10,79,1,22,195,22,623,107,0.6648879402347919
0,65,8,0.0,8,0.0,146,1,26,36,6,72,0,13,193,24,598,108,0.6772366930917327
3,96,7,1.0,5,1.0,85,0,28,22,6,33,1,19,122,11,440,109,0.535931790499391
2,92,8,0.0,9,1.0,78,2,18,7,5,11,1,15,96,9,354,110,0.4701195219123506
4,75,6,0.0,3,2.0,86,0,18,12,6,30,1,22,119,12,396,111,0.5122897800776197
2,82,17,3.0,9,0.0,100,3,33,13,4,18,0,26,98,13,421,112,0.5078407720144753
3,69,14,0.0,1,0.0,98,1,22,7,6,22,0,15,80,9,347,113,0.4268142681426814
2,117,11,0.0,5,0.0,161,4,35,21,12,111,5,24,227,22,757,114,0.642069550466497
1,94,13,1.0,6,1.0,118,1,38,18,4,39,5,21,119,26,505,115,0.5412647374062165
2,107,12,0.0,9,0.0,67,3,30,14,11,21,2,21,139,27,465,116,0.48589341692789967
4,143,5,0.0,11,1.0,89,1,23,12,4,23,1,27,119,18,481,117,0.4863498483316481
1,80,18,2.0,6,0.0,94,1,40,16,3,27,2,18,109,14,431,118,0.4725877192982456
0,107,7,1.0,7,1.0,90,3,26,20,9,12,3,17,112,14,429,119,0.4520547945205479
2,60,13,0.0,15,0.0,145,2,27,23,14,55,2,20,145,20,543,173,0.6142533936651584
3,58,5,1.0,8,2.0,149,2,32,19,5,67,5,12,153,27,548,174,0.6650485436893204
4,52,6,0.0,5,0.0,122,1,25,23,7,45,1,22,127,16,456,175,0.56575682382134
2,74,10,2.0,2,1.0,111,3,15,20,6,18,3,18,98,17,400,176,0.6279434850863422
1,68,9,0.0,3,0.0,90,1,15,22,7,25,2,17,111,20,391,177,0.5393103448275862
2,60,9,0.0,4,1.0,106,2,26,13,11,24,1,22,103,12,396,178,0.584070796460177
3,58,4,1.0,6,0.0,112,3,23,21,3,30,1,21,139,22,447,179,0.6048714479025711
0,68,11,2.0,4,0.0,112,0,9,18,7,44,2,19,118,17,431,180,0.6734375
1,82,11,0.0,6,0.0,72,0,15,8,5,28,3,11,105,10,357,181,0.5891089108910891
0,56,7,0.0,1,0.0,66,1,13,14,4,24,2,15,78,20,301,182,0.5744274809160306
1,59,12,1.0,6,0.0,96,3,21,17,4,17,1,18,107,13,376,183,0.5303244005641748
3,66,15,0.0,10,1.0,135,2,26,22,9,52,2,19,131,16,509,184,0.6237745098039216
5,105,10,0.0,5,0.0,177,1,36,25,10,31,3,20,133,27,588,185,0.6533333333333333
1,48,3,0.0,9,0.0,92,0,18,14,6,24,3,31,132,17,398,186,0.6277602523659306
2,58,10,3.0,4,1.0,115,3,20,18,7,63,1,21,153,10,489,187,0.6451187335092349
1,72,10,0.0,3,0.0,86,1,12,7,8,29,3,12,141,10,395,188,0.5825958702064897
1,62,3,0.0,5,0.0,70,3,18,16,0,31,2,15,124,21,371,189,0.5423976608187134
1,68,4,2.0,4,0.0,73,4,11,6,14,16,3,14,155,16,391,190,0.5255376344086021
2,61,14,0.0,7,1.0,116,0,20,16,7,52,3,19,111,18,447,191,0.6123287671232877
1,95,10,2.0,8,0.0,120,1,19,11,6,37,3,19,114,10,456,192,0.6486486486486487
2,35,17,0.0,6,0.0,62,2,22,4,6,18,2,23,113,14,326,193,0.4717800289435601
4,65,5,1.0,2,1.0,77,1,19,5,6,9,0,21,96,18,330,194,0.5061349693251533
1,67,12,1.0,2,3.0,52,4,12,3,3,11,2,18,58,19,268,195,0.4612736660929432
2,47,5,2.0,2,1.0,53,0,8,10,1,14,0,15,96,22,278,196,0.5110294117647058
1,74,10,2.0,4,0.0,91,3,14,9,6,16,1,34,101,20,386,197,0.550641940085592
1,96,9,1.0,5,1.0,79,4,9,9,3,17,1,20,107,27,389,198,0.4726609963547995
0,77,11,2.0,3,0.0,113,4,14,15,9,35,0,21,87,17,408,199,0.5930232558139535
1,111,21,0.0,15,1.0,136,2,23,15,5,24,3,16,118,20,511,200,0.6355721393034826
0,95,4,0.0,7,0.0,116,1,22,19,16,45,4,34,189,20,572,201,0.6111111111111112
3,125,10,0.0,13,0.0,146,5,33,34,5,54,5,33,191,22,679,202,0.6003536693191865
2,67,17,1.0,10,2.0,160,4,24,8,3,61,2,31,176,24,592,203,0.6577777777777778
0,73,8,2.0,5,1.0,89,2,18,13,7,35,2,33,147,32,467,204,0.6388508891928865
2,79,8,0.0,5,1.0,89,3,18,10,8,26,3,17,101,18,388,205,0.4868255959849435
2,66,9,0.0,6,0.0,95,15,6,17,10,26,1,26,124,17,420,206,0.6008583690987125
6,67,7,0.0,11,0.0,136,2,40,24,14,83,4,13,146,20,573,207,0.6366666666666667
0,79,7,2.0,3,0.0,139,2,24,23,6,96,3,17,184,30,615,208,0.6863839285714286
4,66,7,2.0,11,0.0,160,1,27,25,11,61,1,13,164,20,573,209,0.6571100917431193
1,93,10,0.0,11,0.0,140,5,31,23,11,63,2,18,161,25,594,210,0.6898954703832753
5,62,8,2.0,5,2.0,166,4,22,21,5,73,5,18,145,23,566,211,0.6627634660421545
1,78,10,0.0,12,0.0,170,2,24,25,10,76,2,13,193,18,634,212,0.6974697469746974
5,51,9,1.0,8,1.0,137,3,33,23,8,64,2,18,159,22,544,213,0.6274509803921569
2,54,15,0.0,4,1.0,125,5,26,21,6,79,1,8,137,18,502,214,0.6783783783783783
1,63,6,0.0,10,0.0,140,5,16,26,7,80,3,17,143,22,539,215,0.67375
1,69,9,1.0,2,0.0,169,4,34,30,2,77,1,14,152,16,581,216,0.6685845799769851
0,69,6,0.0,7,0.0,126,2,26,21,6,51,1,11,140,17,483,217,0.65625
2,45,13,0.0,5,1.0,115,4,24,23,11,83,3,19,158,18,524,218,0.6413708690330477
2,97,15,0.0,7,0.0,143,4,47,20,16,64,2,22,126,10,575,219,0.6236442516268981
0,47,12,1.0,3,0.0,147,0,15,19,6,56,3,8,109,23,449,220,0.6396011396011396
2,70,11,0.0,8,0.0,174,1,22,27,4,78,3,10,135,30,575,221,0.636766334440753
2,75,12,0.0,3,0.0,186,3,34,34,6,118,1,15,142,31,662,222,0.6888657648283039
1,51,14,2.0,8,0.0,152,0,20,18,4,79,1,15,150,23,538,223,0.6897435897435897
2,57,10,0.0,6,0.0,156,4,20,20,11,66,1,22,166,23,564,224,0.6611957796014069
5,99,20,0.0,11,0.0,173,2,41,36,9,105,2,27,209,25,764,225,0.6773049645390071
3,113,7,4.0,18,1.0,194,2,41,30,7,89,2,24,198,20,753,226,0.6616871704745168
0,41,10,0.0,7,0.0,115,0,28,13,4,58,5,16,94,16,407,227,0.6738410596026491
1,61,13,0.0,4,0.0,143,1,29,19,12,66,1,8,137,13,508,228,0.6047619047619047
3,94,8,3.0,8,0.0,147,3,34,15,9,56,7,11,170,11,579,229,0.6732558139534883
2,85,16,0.0,3,0.0,163,0,36,12,6,88,3,19,136,19,588,230,0.6268656716417911
1,52,17,2.0,8,0.0,177,2,32,21,4,107,3,24,145,13,608,231,0.6703417861080485
3,35,9,0.0,9,0.0,118,3,18,29,9,98,1,24,160,23,539,232,0.6462829736211031
2,63,11,0.0,6,1.0,178,2,35,33,13,123,7,18,195,17,704,233,0.6915520628683693
4,59,12,0.0,7,0.0,171,1,39,36,4,109,4,17,183,26,672,234,0.6679920477137177
1,60,15,1.0,14,0.0,192,3,53,30,8,114,2,22,152,19,686,235,0.6771964461994077
0,0,0,0.0,0,0.0,167,2,28,24,0,0,2,11,144,18,396,236,0.495
0,0,0,0.0,0,0.0,134,1,37,24,0,0,1,21,127,18,363,237,0.45318352059925093
2,72,10,1.0,1,0.0,197,3,26,28,10,82,3,13,155,28,631,238,0.7328687572590011
4,88,13,2.0,5,0.0,197,3,27,32,4,106,1,11,151,20,664,239,0.753688989784336
3,118,11,3.0,7,1.0,171,2,29,19,9,51,3,10,140,16,593,240,0.6887340301974448
3,56,12,0.0,5,0.0,123,7,19,12,11,20,2,33,129,22,454,241,0.5550122249388753
1,65,15,1.0,10,0.0,83,2,22,18,4,27,4,26,155,28,461,242,0.5268571428571428
3,87,9,1.0,1,1.0,167,1,44,31,15,68,1,24,184,27,664,243,0.6747967479674797
0,119,9,0.0,6,1.0,182,0,19,35,7,93,2,19,184,25,701,244,0.6338155515370705
4,87,11,1.0,2,0.0,123,6,23,23,9,60,0,15,150,25,539,245,0.6138952164009112
7,92,18,1.0,6,0.0,258,3,30,20,6,53,1,14,79,9,597,246,0.7453183520599251
4,66,9,0.0,5,1.0,192,1,23,21,3,59,4,15,93,7,503,247,0.7124645892351275
6,91,7,1.0,15,0.0,168,4,47,21,5,50,3,22,123,27,590,248,0.6210526315789474
1,82,10,0.0,8,0.0,203,3,24,18,19,71,3,15,126,13,596,249,0.7321867321867321
2,77,12,1.0,7,1.0,177,1,25,16,4,48,3,16,125,15,530,250,0.6743002544529262
4,86,9,0.0,13,0.0,210,5,40,26,16,79,3,13,126,17,647,251,0.7302483069977427
2,62,9,0.0,8,0.0,120,1,19,23,6,41,0,21,160,13,485,252,0.5679156908665105
2,35,3,0.0,4,2.0,32,0,9,8,6,9,1,12,20,51,194,253,0.6621160409556314
5,96,11,2.0,11,1.0,104,4,28,23,10,33,0,29,167,25,549,254,0.5797254487856388
4,106,23,2.0,4,1.0,125,4,28,26,7,40,4,22,167,19,582,255,0.5831663326653307
3,82,22,4.0,3,0.0,117,0,30,16,4,31,0,27,162,37,538,256,0.6593137254901961
3,96,12,1.0,3,0.0,159,2,26,17,10,40,2,34,188,37,630,257,0.7046979865771812
4,102,11,5.0,2,2.0,96,1,28,20,8,42,0,29,137,12,499,258,0.565118912797282
4,89,15,2.0,6,0.0,78,3,23,10,12,23,0,13,142,17,437,259,0.6269727403156384
4,73,9,2.0,12,0.0,84,4,10,9,9,17,6,31,156,13,439,260,0.5916442048517521
7,75,6,1.0,14,0.0,95,3,14,10,10,21,1,21,110,14,402,261,0.5817655571635311
2,120,5,2.0,9,0.0,141,4,25,28,14,68,5,24,223,14,684,262,0.6692759295499021
6,109,9,2.0,10,0.0,177,0,25,27,5,61,2,19,202,24,678,263,0.6807228915662651
0,70,4,1.0,5,1.0,69,6,13,13,9,33,2,29,170,19,444,264,0.5842105263157895
1,113,20,1.0,12,0.0,148,4,45,11,14,40,0,20,194,22,645,265,0.6928034371643395
5,83,6,0.0,4,0.0,150,2,19,33,4,58,1,33,215,21,634,266,0.6921397379912664
1,88,7,0.0,5,1.0,117,4,25,19,13,57,3,21,229,24,614,267,0.7057471264367816
4,77,11,0.0,8,2.0,118,3,23,16,10,43,1,29,140,27,512,268,0.579841449603624
4,88,13,2.0,9,1.0,109,2,29,21,8,41,2,27,128,16,500,269,0.6067961165048543
3,107,11,2.0,4,2.0,114,3,20,15,10,46,1,25,153,20,536,270,0.6442307692307693
1,59,7,1.0,4,1.0,57,2,9,14,5,21,0,19,111,10,321,271,0.5047169811320755
2,61,5,0.0,1,0.0,46,1,9,1,2,12,0,14,71,17,242,272,0.43137254901960786
5,94,9,2.0,9,1.0,51,1,20,4,8,10,0,20,105,18,357,273,0.49377593360995853
4,80,9,0.0,6,4.0,64,4,12,3,5,11,0,13,108,19,342,274,0.5096870342771982
4,61,9,2.0,1,1.0,63,4,2,3,6,5,0,15,84,16,276,275,0.43601895734597157
0,90,4,1.0,3,0.0,42,2,7,7,4,9,3,18,90,24,304,276,0.4599092284417549
2,71,6,0.0,8,1.0,128,4,17,16,7,34,5,25,98,17,439,277,0.5716145833333334
2,80,11,0.0,8,0.0,129,1,21,21,15,51,3,13,172,22,549,278,0.623155505107832
1,68,8,0.0,1,0.0,49,3,8,2,3,8,1,16,96,22,286,279,0.41569767441860467
1,100,22,5.0,10,1.0,37,0,10,6,7,2,0,27,95,16,339,280,0.3633440514469453
1,75,9,0.0,6,1.0,50,1,13,8,8,11,0,22,99,22,326,281,0.40801001251564456
1,69,4,1.0,1,1.0,48,4,8,3,2,4,0,20,99,19,284,282,0.4152046783625731
0,66,2,1.0,1,1.0,50,2,6,5,2,11,0,14,90,18,269,283,0.4899817850637523
1,95,13,1.0,8,0.0,109,4,13,10,4,24,2,23,130,19,456,284,0.5396449704142012
2,103,13,1.0,8,2.0,180,3,46,45,9,111,2,25,223,23,796,285,0.7050487156775908
3,86,12,1.0,14,1.0,170,2,41,37,12,74,3,10,107,17,590,286,0.6427015250544662
2,69,17,0.0,9,0.0,167,1,38,21,4,53,1,13,123,16,534,287,0.651219512195122
3,54,11,2.0,3,1.0,120,4,15,23,7,49,0,8,111,10,421,288,0.7016666666666667
2,51,11,0.0,2,1.0,147,0,25,18,9,109,1,18,149,22,565,289,0.6840193704600485
2,43,11,0.0,6,0.0,145,3,33,32,16,113,4,10,165,36,619,290,0.6900780379041248
2,59,12,0.0,10,0.0,147,4,22,14,3,73,5,17,174,15,557,291,0.6576151121605667
0,50,8,0.0,5,0.0,89,1,19,13,4,38,0,10,98,14,349,292,0.60801393728223
1,50,6,0.0,14,0.0,129,4,20,24,0,55,1,16,149,14,483,293,0.6500672947510094
2,72,9,0.0,18,0.0,159,3,21,14,4,75,2,11,97,16,503,294,0.7507462686567165
1,36,5,0.0,4,0.0,138,3,33,22,5,87,5,7,113,10,469,295,0.7374213836477987
7,50,9,4.0,7,1.0,151,1,18,18,7,96,3,17,108,19,516,296,0.6798418972332015
7,59,6,1.0,9,1.0,135,1,33,25,4,56,2,12,141,21,513,297,0.6821808510638298
3,47,10,2.0,5,1.0,154,0,25,28,11,97,1,14,133,15,546,298,0.6842105263157895
0,0,0,0.0,0,0.0,107,2,11,24,0,0,1,11,92,13,261,299,0.44768439108061747
0,56,11,1.0,4,0.0,147,3,32,23,4,93,3,28,136,20,561,300,0.6875
1,46,3,1.0,0,0.0,136,1,29,26,6,112,2,8,126,15,512,301,0.6909581646423751
1,44,10,2.0,3,0.0,151,7,19,36,5,74,2,12,110,16,492,302,0.6814404432132964
3,46,6,1.0,5,0.0,118,3,18,20,8,46,3,19,134,13,443,303,0.6248236953455572
1,75,4,1.0,5,0.0,124,1,36,23,3,49,1,22,100,20,465,304,0.7077625570776256
2,81,10,0.0,4,0.0,125,2,23,24,6,43,1,16,101,10,448,305,0.7066246056782335
2,46,3,0.0,3,0.0,111,0,18,11,4,33,3,20,113,19,386,306,0.6286644951140065
0,43,6,0.0,7,0.0,105,2,18,12,8,24,2,12,127,18,384,307,0.5589519650655022
0,70,20,0.0,6,1.0,164,3,37,18,5,64,2,15,108,24,537,308,0.6867007672634271
1,68,13,3.0,10,0.0,174,2,34,25,6,80,4,12,162,17,611,309,0.6903954802259887
5,76,17,2.0,7,0.0,220,4,46,34,4,100,5,16,167,26,729,310,0.7311935807422267
3,68,8,2.0,20,1.0,142,6,27,23,4,64,1,16,156,17,558,312,0.6511085180863477
3,73,17,0.0,8,1.0,107,1,35,17,8,28,3,25,111,23,460,313,0.5844980940279543
9,86,13,0.0,11,0.0,137,3,26,20,6,42,0,16,137,12,518,315,0.5926773455377574
7,75,14,4.0,2,0.0,149,7,19,20,0,41,3,12,126,15,494,316,0.5626423690205011
2,99,12,0.0,16,1.0,140,0,17,26,6,49,2,16,159,15,560,317,0.6073752711496746
2,71,16,2.0,0,0.0,150,1,37,21,8,35,1,16,93,14,467,318,0.6614730878186968
1,48,3,0.0,1,0.0,52,1,7,14,3,26,0,19,120,16,311,319,0.47192716236722304
