tile_id,i,j,x,y,people,hc1,hc2,pvhe
933,45,12,45,12,5,0.107517734,0.0036670542,0.0055740566243302
948,60,12,60,12,6,0.105272114,0.0026410588,-0.0118082143839139
949,61,12,61,12,6,0.10422557,0.0031523532,-0.0118082143839139
950,62,12,62,12,353,6.0751643,0.25928533,-0.0118082143839139
951,63,12,63,12,1,0.016682642,0.00045819575,-0.0118082143839139
990,28,13,28,13,5,0.091864124,0.002125585,0.0173204623525184
991,29,13,29,13,1,0.018746136,0.00044640404,0.0173204623525184
993,31,13,31,13,1,0.019517893,0.0005001306,0.0173204623525184
994,32,13,32,13,4,0.07968612,0.002143191,0.0173204623525184
995,33,13,33,13,1,0.020338409,0.0005762459,0.0173204623525184
996,34,13,34,13,10,0.20781352,0.006386899,0.006560221042940569
997,35,13,35,13,58,1.2331674,0.04311931,-0.0036836227711811885
998,36,13,36,13,127,2.7615964,0.10897615,-0.004741442535308146
1000,38,13,38,13,29,0.65917516,0.029691052,-0.0015352470297428848
1001,39,13,39,13,61,1.4257473,0.07644016,-0.001251268310676967
1002,40,13,40,13,306,7.3953867,0.53090215,-0.006835068854968745
1003,41,13,41,13,566,13.992305,1.2201289,-0.0030962569656234505
1004,42,13,42,13,732,18.022848,1.5783316,-0.00021493510590781193
1005,43,13,43,13,686,16.471737,1.2512785,-0.0018504005099306835
1007,45,13,45,13,4,0.08959833,0.003226105,0.001591673967592416
1009,47,13,47,13,5,0.1085912,0.0033683511,0.0055740566243302
1010,48,13,48,13,16,0.34375,0.010499932,0.0055740566243302
1022,60,13,60,13,3,0.054543857,0.0015009805,-0.0118082143839139
1023,61,13,61,13,235,4.242034,0.1655631,-0.0118082143839139
1024,62,13,62,13,340,6.050883,0.2686658,-0.0118082143839139
1025,63,13,63,13,28,0.48243138,0.0142606525,-0.0118082143839139
1064,28,14,28,14,2,0.0380218,0.00092974264,0.0173204623525184
1065,29,14,29,14,1,0.019418968,0.0004888797,0.0173204623525184
1066,30,14,30,14,1,0.019838788,0.0005183187,0.0173204623525184
1067,31,14,31,14,1,0.020272065,0.0005529127,0.0173204623525184
1069,33,14,33,14,1,0.021185445,0.0006445781,0.013477461854017582
1070,34,14,34,14,4,0.086679794,0.002846414,-0.007722955092469786
1071,35,14,35,14,11,0.24389164,0.008862091,-0.01397448596522106
1072,36,14,36,14,130,2.9462163,0.12222333,-0.011486899127272613
1073,37,14,37,14,1,0.023020072,0.000904256,-0.005081121440979988
1074,38,14,38,14,5,0.11727623,0.0048674806,-0.0013730574145247758
1075,39,14,39,14,12,0.2879028,0.0135565335,0.0009858673255329603
1076,40,14,40,14,54,1.3306528,0.0774097,-0.008937844562201284
1077,41,14,41,14,662,16.759647,1.33961,-0.0020303085479127657
1078,42,14,42,14,522,13.218145,1.0477502,-0.001327932223768184
1079,43,14,43,14,314,7.7779293,0.51930094,-0.0060594652709905425
1083,47,14,47,14,1,0.022648986,0.00074387423,0.0055740566243302
1084,48,14,48,14,1,0.022436209,0.00073226553,0.0055740566243302
1087,51,14,51,14,7,0.15271406,0.005047658,0.009102386830983933
