SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
191,61,7,7,96,19,5,6,4,76,22,50,10,183,3,1,2,552,0.6626650660264105
193,78,2,2,108,28,5,3,1,79,32,81,16,186,1,0,4,626,0.6336032388663968
195,50,1,2,66,16,0,1,5,85,21,69,7,151,2,1,9,486,0.6295336787564767
196,55,3,1,60,24,2,1,3,79,17,66,8,127,1,0,4,451,0.5895424836601307
197,12,1,2,75,5,1,2,2,108,7,135,1,122,0,1,2,476,0.6025316455696202
198,57,6,1,84,29,2,4,0,63,24,61,11,169,2,0,4,517,0.6206482593037215
199,17,4,2,60,8,1,1,4,100,18,80,1,120,0,0,6,422,0.6423135464231354
200,78,5,2,59,21,2,5,2,58,21,65,2,144,1,1,8,474,0.6261558784676354
201,77,3,5,57,26,1,3,2,62,37,87,1,149,1,2,11,524,0.6143024618991794
204,22,7,1,93,23,4,8,2,131,19,148,6,162,0,2,5,633,0.6292246520874751
205,3,1,0,64,5,2,1,4,120,11,129,1,103,1,2,3,450,0.6122448979591837
206,58,4,3,75,24,0,6,1,99,27,73,2,142,0,3,9,526,0.6583229036295369
207,62,2,1,52,19,0,4,2,59,27,51,6,146,1,1,12,445,0.4790096878363832
208,55,4,1,50,25,1,0,1,81,27,85,3,164,0,1,7,505,0.5764840182648402
212,52,4,2,77,21,1,6,3,62,23,56,16,148,3,0,3,477,0.6146907216494846
213,40,2,2,48,14,1,4,0,63,25,66,8,140,2,0,7,422,0.5473411154345007
214,15,2,3,54,22,2,4,2,126,15,102,4,107,0,4,2,464,0.6287262872628726
215,82,0,1,54,23,1,8,3,73,34,102,4,249,0,0,12,646,0.6031746031746031
217,51,1,4,73,20,1,4,3,78,17,57,11,163,0,2,5,490,0.582639714625446
220,62,0,12,81,14,4,4,2,44,12,33,11,187,0,0,3,469,0.5944233206590621
221,9,6,2,61,14,2,1,6,77,18,123,7,90,1,2,8,427,0.5988779803646563
223,91,3,5,126,29,3,3,0,66,17,33,26,267,1,0,4,674,0.603401969561325
224,64,3,6,101,13,2,4,2,44,11,37,10,186,0,0,3,486,0.6394736842105263
226,65,8,4,97,14,2,1,0,59,12,29,10,169,0,0,6,476,0.5957446808510638
229,60,5,5,90,18,4,7,1,69,9,29,8,121,0,0,3,429,0.5868673050615595
230,87,1,3,80,33,1,4,0,63,21,68,0,211,1,2,8,583,0.6323210412147505
232,37,4,5,82,25,0,2,3,101,24,67,8,129,0,0,4,491,0.6716826265389877
234,43,2,3,66,22,0,2,0,58,23,63,4,118,1,1,4,410,0.5086848635235732
235,47,2,0,69,18,4,3,1,56,9,50,1,124,0,1,1,386,0.6117274167987322
236,66,1,2,63,17,5,2,2,65,13,57,4,165,0,0,2,464,0.6065359477124183
237,74,2,1,63,20,0,7,4,52,25,65,0,172,0,3,8,496,0.5862884160756501
238,43,2,1,88,18,5,5,1,100,17,102,6,150,1,1,5,545,0.5779427359490986
240,48,3,1,68,21,2,3,2,71,22,94,5,139,2,3,4,488,0.5615650172612198
242,73,5,7,118,24,5,1,6,78,17,90,4,203,0,1,15,647,0.6121097445600757
243,53,7,1,74,11,1,7,2,68,14,74,8,145,0,2,4,471,0.628
246,67,0,1,51,15,1,2,1,50,34,52,3,155,0,0,10,442,0.5717981888745148
250,48,1,1,75,18,1,6,4,64,26,58,5,164,0,1,8,480,0.5896805896805897
251,1,1,0,13,0,1,0,1,8,1,5,3,4,1,1,0,40,0.20725388601036268
252,79,6,2,66,18,2,4,2,57,23,51,5,149,2,1,8,475,0.536723163841808
257,65,0,3,74,17,2,8,3,56,39,46,6,172,0,3,4,498,0.570446735395189
259,10,4,2,65,10,1,2,5,87,18,89,3,135,2,2,5,440,0.6951026856240127
262,27,3,3,86,26,2,3,6,86,10,82,10,140,1,0,1,486,0.6454183266932271
263,80,5,3,95,11,3,11,0,66,26,65,7,178,1,2,6,559,0.5972222222222222
264,111,1,5,71,17,1,6,2,79,42,66,6,198,0,3,14,622,0.5998071359691417
265,83,2,4,75,21,1,5,3,74,30,73,6,219,1,0,10,607,0.6082164328657315
269,98,1,4,79,22,0,13,3,61,30,51,2,200,0,2,6,572,0.5977011494252874
271,61,5,3,73,30,0,4,7,80,22,87,3,194,0,1,6,576,0.7944827586206896
272,43,4,1,74,15,3,6,2,62,13,58,5,112,0,0,6,404,0.5771428571428572
274,23,2,2,46,24,2,0,5,58,18,45,7,125,0,2,3,362,0.5682888540031397
277,28,5,2,73,20,0,1,5,95,27,79,5,168,0,3,0,511,0.5735129068462402
279,91,8,0,98,13,2,5,1,64,27,69,4,198,2,1,9,592,0.5769980506822612
280,81,3,4,81,23,0,3,2,80,36,71,3,185,0,2,18,592,0.6103092783505155
281,89,1,1,83,12,0,5,1,80,40,93,3,172,0,1,26,607,0.6137512639029322
282,22,3,0,55,20,0,2,3,85,16,87,2,84,0,1,6,386,0.603125
284,43,3,1,79,22,1,3,4,62,17,86,3,131,0,2,10,467,0.5653753026634383
286,62,7,3,62,13,2,8,1,74,13,73,0,137,0,1,17,473,0.4978947368421053
288,29,3,1,51,15,0,2,3,65,18,85,1,89,0,0,10,372,0.5061224489795918
