SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
300,57,2,18,3,134,8,222,33,4,2,5,61,34,19,2,19,623,0.8273572377158035
301,80,4,11,1,208,20,219,24,5,1,5,51,43,38,2,25,737,0.8318284424379232
303,61,2,15,1,117,11,218,31,1,0,5,41,39,31,4,29,606,0.8547249647390691
305,85,8,9,3,242,11,225,24,2,1,3,26,34,42,3,9,727,0.8654761904761905
306,83,1,16,1,151,10,251,19,4,1,8,46,34,18,2,22,667,0.8573264781491002
309,70,4,15,1,161,11,257,20,1,2,7,53,42,44,3,17,708,0.8838951310861424
311,85,3,9,3,245,20,223,52,2,2,4,37,32,34,0,21,772,0.8997668997668997
313,78,3,13,3,215,10,203,41,2,1,5,62,29,41,4,23,733,0.8715814506539834
315,58,2,13,1,157,18,195,26,2,0,13,57,32,38,4,18,634,0.8732782369146006
316,59,2,19,2,158,17,179,23,2,2,7,55,31,26,2,26,610,0.7741116751269036
317,80,1,4,1,131,7,155,22,2,0,2,19,42,31,1,7,505,0.9283088235294118
319,91,5,10,2,189,17,200,39,4,3,9,68,41,29,6,17,730,0.8558030480656507
320,56,4,6,3,139,14,166,23,2,0,7,43,20,23,1,30,537,0.8979933110367893
321,114,8,16,1,175,24,308,34,3,1,7,74,29,47,1,31,873,0.9297124600638977
322,89,4,5,1,216,17,158,34,5,1,7,24,20,31,2,13,627,0.9288888888888889
323,103,0,10,2,187,7,170,25,5,1,4,45,31,36,2,8,636,0.9164265129682997
324,95,8,9,2,179,11,167,15,2,0,0,36,36,42,2,11,615,0.9375
325,108,2,10,6,209,12,176,17,7,0,8,30,22,53,1,11,672,0.9105691056910569
326,62,7,15,2,162,14,194,34,3,2,14,46,12,35,4,12,618,0.8982558139534884
327,66,3,2,1,178,13,171,24,1,0,2,21,27,39,1,20,569,0.8821705426356589
329,81,9,24,3,188,19,268,35,0,5,9,78,32,21,1,32,805,0.9044943820224719
331,101,9,10,4,273,11,205,32,1,2,9,28,52,56,5,14,812,0.9144144144144144
332,6,0,1,0,24,0,24,1,0,0,0,3,2,9,0,0,70,0.958904109589041
333,79,4,2,1,252,8,199,15,3,1,3,22,42,60,3,13,707,0.9502688172043011
334,96,3,5,2,253,8,183,19,1,0,2,20,45,76,8,10,731,0.9276649746192893
335,79,6,15,5,196,20,285,45,3,1,9,44,18,58,5,22,811,0.9031180400890868
336,111,4,11,4,239,7,166,17,0,0,3,22,43,62,13,8,710,0.922077922077922
337,98,2,3,3,213,12,161,13,1,0,4,9,33,71,0,6,629,0.9169096209912536
338,99,4,8,5,275,10,136,17,1,0,2,6,40,78,3,9,693,0.9314516129032258
340,62,11,15,1,198,19,219,39,6,4,23,54,22,28,0,15,716,0.8164196123147093
342,88,2,5,3,212,13,209,25,3,0,0,30,44,75,1,10,720,0.9218950064020487
343,84,7,12,5,184,20,224,57,4,3,16,73,23,42,2,21,777,0.8710762331838565
345,78,3,0,3,222,8,123,10,2,1,0,20,28,43,0,11,552,0.9403747870528109
346,96,4,7,4,265,9,175,26,2,0,1,28,39,54,1,7,718,0.9447368421052632
348,81,8,16,1,183,12,205,31,2,1,6,31,36,22,1,16,652,0.8624338624338624
350,127,4,3,3,253,9,219,29,8,1,4,13,61,86,3,7,830,0.9730363423212193
351,104,4,6,2,262,7,162,18,0,0,0,23,54,55,3,9,709,0.9516778523489933
353,95,3,7,5,223,14,203,16,4,0,5,22,48,45,1,13,704,0.9324503311258279
354,84,2,6,6,180,15,158,21,5,1,5,48,33,49,2,15,630,0.9064748201438849
357,44,2,5,0,125,5,151,8,0,0,3,12,20,30,3,3,411,0.899343544857768
362,85,2,12,1,200,10,188,26,1,0,4,32,27,52,0,13,653,0.921015514809591
363,96,3,12,0,231,12,226,34,7,0,4,45,27,34,4,19,754,0.8933649289099526
364,97,2,15,5,183,13,279,47,1,1,11,54,25,54,2,16,805,0.9382284382284383
365,93,6,10,0,251,19,191,44,2,0,3,35,33,41,2,12,742,0.8983050847457628
366,83,8,7,3,164,21,240,59,2,0,19,43,16,41,1,16,723,0.9221938775510204
367,77,3,8,2,251,12,191,30,2,2,1,22,38,37,1,15,692,0.9214380825565912
368,71,1,8,2,209,17,192,18,4,1,5,32,30,53,1,20,664,0.9391796322489392
370,60,1,20,1,137,16,256,36,2,0,4,56,25,30,4,20,668,0.925207756232687
371,59,3,4,1,144,11,105,21,0,0,2,16,23,30,0,4,423,0.8545454545454545
372,115,5,9,0,241,11,265,23,3,0,5,34,41,62,3,17,834,0.954233409610984
373,78,2,11,2,189,8,184,20,1,2,3,28,42,67,2,12,651,0.8905608755129959
375,99,8,7,1,221,15,217,25,4,3,7,31,35,55,2,15,745,0.8911483253588517
377,89,5,7,3,169,20,205,49,2,2,9,37,17,32,2,32,680,0.9078771695594126
378,95,4,6,1,218,10,182,29,3,0,1,34,33,41,3,5,665,0.9527220630372493
379,98,6,4,2,233,6,199,24,3,1,3,32,35,59,0,18,723,0.9140328697850821
381,82,5,5,0,254,8,148,22,1,1,2,29,38,35,1,12,643,0.8980446927374302
383,69,4,13,4,202,31,222,32,2,0,14,61,11,27,3,21,716,0.8413631022326674
384,96,1,8,2,200,13,223,35,3,3,3,33,30,36,1,20,707,0.8904282115869018
385,77,2,6,0,147,8,131,33,3,0,9,32,25,22,1,13,509,0.8867595818815331
386,113,8,11,2,199,22,247,37,2,2,5,40,57,42,0,14,801,0.9238754325259516
387,78,11,16,3,177,10,211,25,2,2,7,26,40,41,0,27,676,0.9135135135135135
388,98,6,13,5,206,3,221,35,1,0,5,31,36,55,1,12,728,0.9021065675340768
389,100,0,13,1,260,11,197,32,3,0,2,24,34,61,2,18,758,0.9143546441495778
391,86,5,4,3,312,13,179,29,3,0,2,12,33,56,2,16,755,0.9096385542168675
393,99,5,11,2,251,8,164,29,3,0,6,40,37,40,0,18,713,0.89125
394,68,3,13,0,137,20,171,30,1,0,2,29,21,28,3,15,541,0.9016666666666666
396,69,4,9,1,152,14,216,40,4,2,11,50,24,35,0,29,660,0.8753315649867374
397,92,7,7,2,215,6,208,28,0,0,4,19,51,62,1,8,710,0.9149484536082474
399,108,4,4,2,251,16,198,28,1,0,4,20,41,69,3,9,758,0.9805950840879689
400,134,3,9,1,278,9,189,20,3,0,1,20,37,61,1,15,781,0.95593635250918
401,93,0,8,3,196,10,207,31,2,0,5,36,46,44,2,15,698,0.9136125654450262
402,28,1,2,0,50,2,54,9,2,0,1,10,14,19,0,1,193,0.8894009216589862
403,90,2,14,6,206,14,210,26,3,0,3,35,42,44,2,15,712,0.9012658227848102
404,21,3,2,1,68,3,33,1,1,0,0,4,8,14,0,2,161,0.8895027624309392
406,97,5,8,3,257,10,222,37,1,0,11,30,44,53,2,13,793,0.9351415094339622
407,100,2,9,2,197,17,191,30,2,1,4,37,35,42,1,12,682,0.8961892247043364
409,76,1,1,2,254,21,197,34,1,2,4,43,27,52,0,25,740,0.893719806763285
411,86,4,8,3,197,11,148,32,3,0,4,30,30,31,0,11,598,0.860431654676259
414,83,6,11,1,237,12,195,32,4,2,4,35,42,44,3,18,729,0.9227848101265823
415,77,4,5,1,221,5,163,21,1,2,1,33,38,54,1,19,646,0.918918918918919
416,56,5,14,3,133,12,183,23,6,1,7,25,40,34,1,8,551,0.7871428571428571
417,73,8,13,5,192,11,207,36,2,0,7,37,32,34,1,10,668,0.8824306472919419
418,124,2,7,3,241,9,222,30,1,1,2,27,57,65,0,21,812,0.9666666666666667
422,76,3,0,1,153,7,102,13,5,0,1,9,25,22,1,8,426,0.8729508196721312
423,141,5,7,3,282,27,194,21,4,0,4,33,42,77,3,15,858,0.9761092150170648
424,67,1,1,1,189,8,114,9,1,0,1,16,34,23,0,8,473,0.9202334630350194
425,110,2,11,2,268,11,174,37,1,1,0,31,47,68,2,8,773,0.9347037484885127
426,42,5,2,3,117,8,106,11,4,1,3,11,15,17,1,8,354,0.9242819843342036
427,110,4,7,2,285,17,118,19,1,1,2,25,38,43,1,16,689,0.9609483960948396
428,73,5,4,3,151,17,153,33,2,1,4,45,28,29,3,19,570,0.8715596330275229
430,63,3,10,6,157,16,177,26,3,0,7,48,26,29,1,20,592,0.8604651162790697
431,79,7,9,1,175,9,165,23,4,1,3,23,38,37,1,14,589,0.8817365269461078
433,68,5,10,3,216,13,164,24,1,0,5,36,41,41,5,9,641,0.8915159944367177
435,81,3,4,3,180,11,209,21,3,0,3,33,27,47,5,18,648,0.8415584415584415
436,72,2,0,0,179,11,133,24,2,0,2,17,29,42,5,6,524,0.8618421052631579
437,92,3,1,3,252,4,188,15,1,0,5,18,37,46,1,11,677,0.9026666666666666
438,83,0,12,3,246,22,251,40,5,1,6,47,24,45,0,15,800,0.8733624454148472
439,88,5,18,5,195,8,174,35,2,0,7,27,29,54,2,18,667,0.9124487004103967
440,82,1,11,1,156,13,135,22,1,0,3,27,20,19,1,9,501,0.9364485981308411
441,115,3,12,0,225,11,250,23,2,1,5,31,27,56,1,19,781,0.9209905660377359
444,112,4,10,2,166,21,193,34,4,0,3,23,31,43,3,21,670,0.9103260869565217
446,77,2,5,1,205,8,192,29,0,1,5,28,29,51,4,14,651,0.9234042553191489
447,54,5,4,2,130,7,86,25,1,0,1,12,19,25,1,13,385,0.8830275229357798
