SEZIONE,Alternativa Municipale,"Beppe Sala Sindaco Noi, Milano",Fuxia People Maria Teresa Bald,Giorgia Meloni per Parisi,Io corro per Milano Lista Civ.,Italia dei Valori per B. Sala,Lega Nord Lega Lomb. Salvini,Milano Popolare Parisi Sindaco,Milano in Comune Rizzo Sindaco,Movimento 5 Stelle,Noi x Milano Mardegan Sindaco,Partito Comunista dei Lavorato,Partito Democratico Beppe Sala,Pensionati,Per Parisi Forza Italia Berl.,Radicali con Cappato Sindaco,Sinistra x Milano,TOTALE,AFFLUENZA
193,0,47,0,18,27,2,41,8,33,45,6,2,147,2,79,14,36,507,0.513677811550152
195,4,29,0,5,15,2,46,8,8,38,6,0,152,2,70,6,23,414,0.5260482846251588
196,0,22,0,12,12,0,46,9,17,38,2,2,93,1,54,9,12,329,0.44161073825503355
197,0,24,0,3,7,2,55,12,16,62,3,2,135,1,88,5,3,418,0.5135135135135135
198,3,26,1,6,11,2,27,11,7,32,2,1,153,4,69,7,22,384,0.4549763033175355
199,3,19,0,4,6,0,46,20,16,47,6,3,107,4,61,7,19,368,0.5661538461538461
200,1,27,1,11,7,2,47,10,21,27,1,1,124,0,50,11,18,359,0.45907928388746805
201,1,42,3,5,11,1,35,8,12,49,1,3,151,3,51,10,23,409,0.477803738317757
204,2,26,2,8,4,3,70,10,14,73,7,5,174,3,118,12,14,545,0.5455455455455456
205,0,15,3,6,6,1,65,7,9,53,2,1,97,3,96,6,9,379,0.4858974358974359
206,0,37,0,13,20,0,55,16,12,23,1,1,120,1,79,8,19,405,0.5185659411011524
207,1,24,1,7,13,1,29,10,27,23,2,1,107,0,59,7,27,339,0.37293729372937295
208,3,24,2,5,13,2,45,15,7,45,1,0,151,1,56,8,26,404,0.4454244762954796
212,0,34,0,17,16,2,30,22,8,21,9,1,128,0,79,12,18,397,0.5176010430247718
213,2,22,3,11,13,7,27,11,19,29,2,2,119,1,59,7,15,349,0.46720214190093706
214,8,18,1,11,8,4,65,10,20,65,5,4,93,4,67,2,16,401,0.5448369565217391
215,3,38,3,11,22,0,25,12,35,52,6,1,207,2,56,9,48,530,0.5110896817743491
217,1,33,1,15,15,4,23,22,22,29,2,2,147,2,76,12,19,425,0.5120481927710844
220,0,52,2,6,21,4,21,14,8,22,12,3,137,2,72,10,22,408,0.5257731958762887
221,1,12,3,19,7,3,30,7,18,53,3,1,122,2,86,6,5,378,0.5156889495225102
223,2,60,0,17,34,4,28,33,10,17,9,0,183,0,85,17,27,526,0.49250936329588013
224,0,41,0,8,22,4,27,18,9,16,2,0,125,0,78,14,17,381,0.5059760956175299
226,0,46,0,17,17,3,45,9,9,14,1,1,135,0,87,14,18,416,0.5219573400250941
229,0,36,0,9,17,1,43,12,7,17,5,0,84,1,63,9,11,315,0.4430379746835443
230,0,43,0,9,17,4,36,13,22,31,0,0,191,0,70,7,36,479,0.5322222222222223
232,0,29,0,12,9,2,62,18,15,42,7,0,125,3,112,8,12,456,0.6289655172413793
234,0,30,0,16,11,3,37,11,14,21,0,0,100,1,69,6,12,331,0.4227330779054917
235,0,28,1,6,19,2,40,9,9,19,2,1,98,1,71,7,15,328,0.5141065830721003
236,0,31,0,7,11,0,34,5,9,24,4,2,136,1,54,8,22,348,0.4627659574468085
237,2,35,1,4,7,2,34,9,18,26,1,0,140,1,56,14,31,381,0.46577017114914426
238,0,41,1,4,15,0,41,16,15,44,3,3,117,0,69,6,11,386,0.4115138592750533
240,1,32,0,12,11,4,33,6,14,48,8,3,141,1,63,10,13,400,0.44493882091212456
242,0,39,1,19,23,2,39,12,20,50,6,5,150,1,79,15,18,479,0.4583732057416268
243,0,37,1,11,11,3,46,9,9,38,1,2,100,1,59,4,19,351,0.4618421052631579
246,0,30,1,8,9,2,27,8,24,20,1,1,100,1,61,13,33,339,0.43350383631713557
250,0,42,0,12,23,3,16,7,11,21,3,2,105,1,68,9,20,343,0.4245049504950495
251,0,8,2,2,0,4,4,3,3,1,1,2,8,4,10,1,2,55,0.29411764705882354
252,2,12,0,8,20,1,20,15,11,37,3,0,131,3,89,4,38,394,0.43777777777777777
257,2,44,2,10,10,2,39,20,20,20,1,1,131,2,73,10,24,411,0.48696682464454977
259,2,35,0,1,7,1,49,10,15,58,3,3,150,2,94,5,13,448,0.6070460704607046
262,0,31,0,24,12,5,48,9,5,35,2,0,160,2,96,7,5,441,0.5772251308900523
263,4,38,1,10,17,2,36,11,23,26,2,0,153,0,67,22,31,443,0.4916759156492786
264,1,57,0,9,12,6,30,13,27,28,3,1,159,1,69,17,34,467,0.4587426326129666
265,0,44,0,4,11,3,36,19,21,33,3,3,148,2,70,20,23,440,0.44534412955465585
269,2,53,0,11,23,2,29,8,18,36,4,2,191,0,73,15,28,495,0.526595744680851
271,1,46,1,12,11,5,25,7,20,21,5,2,147,0,48,9,16,376,0.5164835164835165
272,0,48,1,9,11,1,35,12,14,20,0,2,93,1,65,11,14,337,0.4869942196531792
274,1,22,0,9,12,2,39,5,11,25,6,1,102,2,49,4,4,294,0.47572815533980584
277,2,24,1,8,16,3,33,7,15,38,1,3,155,1,96,7,8,418,0.4733861834654587
279,1,42,0,7,17,4,33,11,24,41,8,0,142,1,84,8,31,454,0.44422700587084146
280,0,31,2,10,10,1,28,15,31,30,6,0,161,0,101,14,39,479,0.49128205128205127
281,3,35,0,10,9,2,25,5,35,45,6,1,156,0,69,11,37,449,0.4517102615694165
282,0,21,0,4,6,2,46,8,3,38,1,1,82,3,72,2,4,293,0.45709828393135726
284,0,15,0,12,7,1,29,4,20,41,10,1,99,0,70,5,26,340,0.4131227217496962
286,1,27,0,5,9,1,37,17,18,38,4,4,94,2,67,9,14,347,0.3679745493107105
288,4,18,1,4,4,1,34,3,19,42,8,2,76,1,64,9,27,317,0.41601049868766404
291,2,31,2,4,16,2,36,8,27,44,5,2,96,1,76,7,12,371,0.4726114649681529
292,2,15,0,5,2,2,23,9,13,38,7,2,120,0,56,9,20,323,0.45365168539325845
294,2,46,0,8,7,2,61,15,4,35,3,1,150,0,80,8,22,444,0.48737650933040616
295,2,34,2,7,10,2,64,13,11,51,3,4,112,1,95,3,14,428,0.5323383084577115
297,1,20,1,11,3,1,34,22,10,48,3,1,90,2,96,6,5,354,0.5086206896551724
299,0,41,0,3,10,3,18,13,14,34,2,0,96,0,42,8,42,326,0.4116161616161616
300,3,41,3,7,7,0,32,13,18,39,1,3,135,2,59,10,47,420,0.41749502982107356
301,0,45,2,12,9,1,38,17,16,40,3,2,141,1,83,10,20,440,0.4263565891472868
303,0,23,0,2,3,1,27,12,17,26,0,2,142,0,62,11,32,360,0.44171779141104295
305,0,47,0,8,19,5,36,17,10,39,2,4,180,3,123,4,8,505,0.520618556701031
306,2,53,1,2,12,1,28,15,26,22,5,2,148,0,74,14,29,434,0.4854586129753915
309,0,40,0,4,19,1,21,13,17,29,11,0,136,1,60,7,27,386,0.48553459119496856
311,4,49,4,5,11,4,49,16,17,50,3,1,168,1,111,16,22,531,0.5042735042735043
313,0,35,0,12,7,1,40,9,8,44,1,1,129,0,92,8,20,407,0.45121951219512196
315,0,38,0,10,20,0,22,6,20,38,1,1,114,0,58,3,28,359,0.4544303797468354
316,1,34,0,3,15,1,31,4,7,45,1,0,80,2,72,3,21,320,0.39800995024875624
317,0,33,3,8,10,2,21,9,10,18,1,1,103,1,64,13,19,316,0.41415465268676277
319,0,52,1,7,13,0,50,9,30,35,4,1,147,1,67,25,20,462,0.47384615384615386
320,0,20,0,4,10,2,24,10,9,25,7,1,81,0,54,3,17,267,0.39322533136966126
321,0,45,0,6,4,6,57,23,19,89,8,2,199,0,94,13,22,587,0.5953346855983773
322,2,45,0,14,21,3,51,22,12,31,2,0,112,4,73,10,17,419,0.5909732016925247
323,0,45,0,16,14,1,41,16,18,16,1,2,123,2,74,5,11,385,0.49805950840879687
324,0,47,0,3,21,3,25,9,16,19,8,0,140,1,67,13,22,394,0.5163826998689384
325,0,43,0,16,24,1,51,19,9,36,4,0,118,1,78,14,18,432,0.5339925834363412
326,0,27,1,4,8,4,43,12,19,35,1,3,84,3,72,9,13,338,0.5029761904761905
327,0,29,1,9,19,5,30,10,7,33,0,1,112,0,72,7,9,344,0.47579529737206083
329,0,34,1,12,9,2,57,11,22,68,8,3,134,2,78,8,18,467,0.5087145969498911
331,3,68,1,9,29,4,35,21,22,41,2,0,134,3,112,4,18,506,0.5211122554067971
333,2,60,1,18,30,3,27,24,7,12,3,0,125,1,97,13,13,436,0.49321266968325794
334,3,75,0,20,38,2,26,15,10,25,11,0,125,0,107,10,18,485,0.49897119341563784
335,1,36,0,4,6,2,45,11,15,40,4,1,168,4,91,5,16,449,0.5495716034271726
336,0,70,0,7,33,4,36,21,8,16,0,1,118,1,98,4,13,430,0.4746136865342163
337,0,40,0,13,27,3,25,15,5,7,2,0,105,0,94,7,6,349,0.43844221105527637
338,0,69,1,25,23,3,47,24,3,13,2,1,122,0,116,8,9,466,0.5087336244541485
340,1,21,1,12,8,3,75,13,10,74,3,2,123,3,95,5,5,454,0.4860813704496788
342,1,76,2,12,27,4,30,13,11,18,7,0,130,0,92,16,10,449,0.480728051391863
343,0,23,1,7,2,1,85,11,16,73,14,0,158,1,97,3,14,506,0.525987525987526
345,0,64,0,10,27,1,38,12,1,3,6,1,107,0,84,9,8,371,0.43089430894308944
346,5,55,4,11,35,1,36,12,7,25,5,0,136,1,104,14,17,468,0.5176991150442478
348,2,22,0,12,4,2,45,2,14,45,6,1,147,1,66,18,12,399,0.4877750611246944
350,1,63,0,17,58,3,42,17,1,25,4,1,143,0,102,9,16,502,0.48549323017408125
351,0,56,1,19,33,3,22,17,6,27,5,1,128,0,87,12,21,438,0.5
353,2,70,0,14,32,4,25,19,10,24,2,0,130,0,79,9,16,436,0.49942726231386025
354,1,37,2,12,13,2,39,14,11,27,4,1,102,0,86,8,13,372,0.49865951742627346
357,0,38,1,7,10,2,10,12,6,14,4,0,92,0,53,6,18,273,0.42194744976816073
362,0,46,0,8,11,3,39,24,13,38,5,2,176,1,84,17,26,493,0.5278372591006424
363,0,55,0,16,9,1,52,7,16,43,2,3,156,2,74,10,22,468,0.5171270718232044
364,0,50,0,6,11,4,67,4,16,52,2,1,193,1,87,9,14,517,0.6154761904761905
365,0,48,0,17,18,2,53,9,16,34,1,1,146,0,104,9,24,482,0.5233441910966341
366,3,46,0,5,4,5,64,10,15,66,9,1,114,1,79,6,13,441,0.610803324099723
367,0,62,0,8,18,8,25,15,8,23,8,1,134,0,99,10,11,430,0.5205811138014528
368,1,43,1,11,15,1,29,11,14,34,4,0,130,1,65,14,16,390,0.5193075898801598
370,1,31,0,1,8,4,43,9,29,50,3,4,156,1,53,4,45,442,0.6461988304093568
371,1,23,0,7,5,1,22,3,4,27,0,3,74,0,63,1,15,249,0.4322916666666667
372,0,95,0,22,22,5,31,14,12,22,5,1,147,3,83,17,30,509,0.5079840319361277
373,0,43,0,10,33,2,26,23,12,22,7,0,118,1,86,7,10,400,0.4778972520908005
375,1,58,1,12,14,5,48,16,10,42,2,0,126,2,72,14,34,457,0.4755463059313215
377,2,19,1,9,5,5,75,14,14,47,3,0,121,1,96,6,12,430,0.6116642958748222
378,0,55,0,9,19,3,35,15,12,26,0,0,110,0,80,7,17,388,0.49238578680203043
379,5,63,0,7,38,4,37,15,11,27,4,1,125,1,104,14,17,473,0.5130151843817787
381,0,43,0,9,23,1,44,18,5,23,2,1,112,1,97,10,12,401,0.48902439024390243
383,0,24,3,20,10,4,50,8,26,95,4,5,141,3,95,6,10,504,0.4980237154150198
384,3,52,2,11,18,3,41,10,14,32,9,0,139,0,75,15,21,445,0.5216881594372802
385,0,33,0,7,15,1,36,22,9,28,1,0,95,1,64,6,12,330,0.46218487394957986
386,0,53,5,21,10,2,51,15,7,38,1,1,169,3,96,15,21,508,0.5269709543568465
387,1,56,2,16,11,5,31,14,16,33,4,0,133,0,64,8,21,415,0.5168119551681195
388,7,54,1,12,17,5,42,18,8,33,7,3,154,2,75,11,26,475,0.5129589632829373
389,5,72,0,11,19,2,36,13,18,32,7,0,166,1,89,13,13,497,0.5509977827050998
391,3,62,0,11,26,3,49,20,7,32,6,0,128,2,138,6,17,510,0.5182926829268293
393,0,43,1,10,16,4,40,16,10,41,4,0,99,3,131,12,9,439,0.4787350054525627
394,0,24,1,7,13,2,30,1,9,32,2,5,91,1,47,2,8,275,0.4590984974958264
396,2,17,0,5,3,3,40,16,17,59,4,1,112,4,80,4,16,383,0.5182679296346414
397,0,64,1,12,27,2,28,17,12,18,4,1,166,0,68,6,4,430,0.47200878155872666
399,1,55,3,6,33,2,41,15,11,24,4,0,136,0,104,2,24,461,0.5032751091703057
400,0,46,1,16,26,3,51,13,4,15,5,1,150,1,114,7,14,467,0.4503375120540019
401,1,45,3,13,21,0,38,9,20,17,2,0,117,0,79,10,10,385,0.44508670520231214
402,1,25,0,2,8,1,13,4,3,5,2,0,26,0,15,2,6,113,0.14543114543114544
403,1,54,1,8,13,5,42,16,17,38,5,1,119,2,61,9,16,408,0.4981684981684982
406,2,66,1,18,22,1,51,23,7,20,3,1,169,2,104,9,15,514,0.498545101842871
407,0,54,0,10,12,4,34,9,4,34,1,2,122,0,97,7,17,407,0.4903614457831325
409,0,52,1,9,12,0,33,15,10,31,8,2,132,0,98,7,19,429,0.4880546075085324
411,0,25,2,3,16,2,41,15,8,38,3,0,97,0,80,7,10,347,0.4596026490066225
414,0,45,2,7,10,3,39,14,26,30,10,2,115,1,90,11,13,418,0.48604651162790696
415,3,54,0,14,34,1,34,6,7,21,6,2,116,1,82,5,11,397,0.4829683698296837
416,0,33,0,6,8,5,24,5,8,35,9,3,94,1,42,13,19,305,0.3900255754475703
417,7,35,1,18,12,1,38,9,16,30,4,1,126,1,67,10,18,394,0.46904761904761905
418,0,52,0,16,37,2,42,8,13,20,6,1,140,0,76,20,25,458,0.475103734439834
