SEZIONE,Azzaretto Natale ,Boatti Giuseppe Riccardo ,Brenna Sergio Luigi,Campiotti Aquilele Quilino ,Cantù Maria Cristina,Capotosti Roberta,Cerno Tommaso ,D'Alfonso Franco Maria,Dovis Giovanni Mario ,Escobar Roberto Luigi ,Ferrara Salvatore ,Framba Francesco ,Laforgia Francesco ,Leccisi Gabriele Giuseppe ,Ligi Isabella ,Musciolà Filomena Patrizia,Oddenino Ruben ,Pagliuca Luigi ,Palmieri Antonio ,Perduca Marco ,Pessina Angela ,Pongiluppi Eleuteri Emanuela ,Previato Sonia ,Re Fraschini Mario Antonio,Riva Nadia ,Ruffini Luigino ,Santaniello Tiziana ,Sciascia Salvatore ,Tacchini Valerio Giovanni Mich,Zerkaoui Mounira ,TOTALE,AFFLUENZA
23,0.0,0.0,0.0,5.0,220.0,4.0,0.0,172.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,215.0,0.0,0.0,0.0,653.0,0.6491053677932406
24,1.0,0.0,2.0,0.0,0.0,0.0,278.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,186.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,546.0,0.6254295532646048
25,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,135.0,21.0,0.0,0.0,0.0,3.0,1.0,0.0,184.0,0.0,0.0,463.0,0.640387275242047
26,1.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,163.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,454.0,0.6021220159151194
27,1.0,0.0,6.0,0.0,0.0,0.0,296.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,207.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,601.0,0.646236559139785
28,1.0,0.0,7.0,0.0,0.0,0.0,209.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,149.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,425.0,0.5483870967741935
29,0.0,0.0,0.0,20.0,236.0,6.0,0.0,126.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,168.0,0.0,0.0,0.0,594.0,0.6541850220264317
30,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,134.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,201.0,0.0,0.0,467.0,0.6293800539083558
31,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,161.0,43.0,0.0,0.0,0.0,16.0,1.0,0.0,151.0,0.0,0.0,471.0,0.6408163265306123
32,0.0,0.0,0.0,0.0,274.0,4.0,0.0,259.0,0.0,0.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,175.0,0.0,0.0,0.0,757.0,0.6783154121863799
33,0.0,0.0,0.0,3.0,154.0,4.0,0.0,156.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,99.0,0.0,0.0,0.0,452.0,0.5939553219448095
34,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,46.0,inf
35,0.0,0.0,0.0,4.0,172.0,1.0,0.0,209.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,144.0,0.0,0.0,0.0,568.0,0.731016731016731
36,0.0,0.0,2.0,0.0,0.0,0.0,291.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,212.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,564.0,0.6064516129032258
37,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,154.0,12.0,0.0,0.0,0.0,11.0,5.0,0.0,236.0,0.0,0.0,654.0,0.7194719471947195
38,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,248.0,28.0,0.0,0.0,0.0,9.0,3.0,0.0,253.0,0.0,1.0,677.0,0.7030114226375909
39,1.0,0.0,5.0,0.0,0.0,0.0,282.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,211.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,590.0,0.6303418803418803
40,0.0,0.0,0.0,0.0,127.0,0.0,0.0,181.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,89.0,0.0,0.0,0.0,417.0,0.6087591240875913
41,1.0,0.0,6.0,0.0,0.0,0.0,255.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,521.0,0.662007623888183
42,0.0,0.0,0.0,2.0,147.0,1.0,0.0,239.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,74.0,0.0,0.0,0.0,495.0,0.6462140992167101
43,0.0,0.0,1.0,0.0,0.0,0.0,201.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,395.0,0.6012176560121766
44,0.0,0.0,2.0,0.0,0.0,0.0,239.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,192.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,496.0,0.6138613861386139
45,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,64.0,1.3617021276595744
46,1.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,571.0,0.6120042872454448
47,1.0,0.0,1.0,0.0,0.0,0.0,215.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,173.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,441.0,0.5646606914212549
48,0.0,0.0,1.0,0.0,0.0,0.0,209.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,182.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,443.0,0.5435582822085889
49,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,51.0,inf
50,0.0,0.0,0.0,1.0,43.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,103.0,inf
54,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,inf
55,0.0,0.0,0.0,0.0,235.0,5.0,0.0,256.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,81.0,0.0,0.0,0.0,615.0,0.6577540106951871
56,0.0,0.0,2.0,0.0,0.0,0.0,246.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,223.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,539.0,0.4869015356820235
57,0.0,0.0,0.0,5.0,226.0,3.0,0.0,277.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,63.0,0.0,0.0,0.0,602.0,0.6529284164859002
58,0.0,0.0,1.0,0.0,0.0,0.0,227.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,483.0,0.5616279069767441
59,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,191.0,20.0,0.0,0.0,0.0,5.0,1.0,0.0,209.0,0.0,0.0,535.0,0.6613102595797281
61,0.0,0.0,0.0,2.0,285.0,1.0,0.0,278.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,634.0,0.6143410852713178
64,0.0,0.0,0.0,2.0,145.0,7.0,0.0,91.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,92.0,0.0,0.0,0.0,379.0,0.583076923076923
65,0.0,0.0,5.0,0.0,0.0,0.0,228.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,433.0,0.5439698492462312
66,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,118.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,145.0,0.0,0.0,435.0,0.6083916083916084
69,0.0,0.0,1.0,0.0,0.0,0.0,244.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,205.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,513.0,0.559432933478735
72,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,159.0,22.0,0.0,0.0,0.0,5.0,3.0,0.0,157.0,0.0,0.0,455.0,0.6319444444444444
73,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,191.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,399.0,0.5465753424657535
74,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,143.0,18.0,0.0,0.0,0.0,6.0,3.0,0.0,141.0,0.0,0.0,401.0,0.6159754224270353
78,1.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,223.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,425.0,0.5077658303464755
79,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,384.0,0.5597667638483965
80,0.0,0.0,0.0,0.0,193.0,6.0,0.0,149.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,484.0,0.5714285714285714
82,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,467.0,0.5566150178784267
83,1.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,496.0,0.5655644241733181
84,0.0,0.0,0.0,0.0,213.0,0.0,0.0,147.0,0.0,0.0,7.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,125.0,0.0,0.0,0.0,531.0,0.6833976833976834
86,2.0,0.0,16.0,0.0,0.0,0.0,126.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,190.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,439.0,0.5671834625322998
87,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,323.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,605.0,0.5896686159844055
88,0.0,0.0,0.0,2.0,268.0,2.0,0.0,240.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,138.0,0.0,0.0,0.0,697.0,0.6753875968992248
91,3.0,0.0,5.0,0.0,0.0,0.0,210.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,564.0,0.6573426573426573
92,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,158.0,32.0,0.0,0.0,0.0,8.0,5.0,0.0,197.0,0.0,0.0,537.0,0.6469879518072289
93,0.0,0.0,4.0,0.0,0.0,0.0,260.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,291.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,617.0,0.6072834645669292
94,1.0,0.0,6.0,0.0,0.0,0.0,225.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,205.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,508.0,0.6187576126674786
97,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,144.0,22.0,0.0,0.0,0.0,7.0,3.0,0.0,220.0,0.0,0.0,533.0,0.6468446601941747
