SEZIONE,Bene comune,Destra F.T.,Difesa Vita,Italia Valori,Lega Nord,Lista del Grillo,Part. Comunista Lav.,Part. Democratico,Part. Socialista,Popolo Libertà,Sin. Arcobaleno,Sin. Critica,UDC Casini,Un. Consumatori,TOTALE,AFFLUENZA
224,1,13,14,26,66,0,1,176,3,242,11,2,16,0,571,0.8963893249607535
226,0,11,8,21,56,0,2,195,1,287,12,2,27,1,623,0.9134897360703812
229,0,7,11,14,58,0,0,169,5,259,16,0,17,0,556,0.8373493975903614
230,0,11,9,29,88,0,0,304,9,270,21,1,19,1,762,0.8901869158878505
232,0,12,12,28,108,0,0,165,3,268,17,0,24,2,639,0.9287790697674418
234,2,13,4,19,57,0,0,187,6,231,21,2,15,1,558,0.8291233283803864
235,1,7,7,34,79,1,1,206,3,213,8,1,16,1,578,0.8797564687975646
236,1,16,4,41,68,4,2,193,1,194,22,4,22,0,572,0.8436578171091446
237,1,12,5,19,63,1,1,258,7,172,21,3,15,0,578,0.8221906116642959
238,2,14,9,24,81,1,0,206,2,242,24,2,30,0,637,0.839262187088274
240,4,15,7,47,66,2,0,211,4,245,25,4,24,1,655,0.8935879945429741
242,1,19,8,29,83,3,1,227,7,244,31,4,11,0,668,0.8871181938911022
243,3,16,1,24,70,3,2,212,4,224,27,1,24,0,611,0.8741058655221745
246,1,9,2,25,58,0,2,237,10,199,27,1,12,0,583,0.8340486409155937
250,1,15,5,29,69,4,0,260,6,239,21,2,19,2,672,0.797153024911032
251,3,5,3,2,6,2,7,25,8,22,2,5,4,1,95,0.42410714285714285
252,4,17,7,19,56,2,4,286,5,206,28,9,18,0,661,0.8090575275397797
257,2,9,5,15,67,0,0,233,4,203,14,1,20,1,574,0.8084507042253521
259,0,9,3,37,107,3,1,238,7,187,26,2,23,1,644,0.8609625668449198
262,1,6,3,31,76,1,3,207,7,308,16,0,23,2,684,0.868020304568528
263,1,8,8,35,79,0,0,266,6,233,21,5,27,3,692,0.8367593712212817
264,3,17,4,40,77,0,1,339,7,198,40,1,22,1,750,0.8287292817679558
265,2,9,6,46,71,2,0,263,3,210,29,2,11,4,658,0.8004866180048662
269,1,15,4,36,66,3,2,302,6,239,26,4,21,1,726,0.88
271,1,21,11,45,45,2,0,259,6,219,26,0,28,0,663,0.9324894514767933
272,1,18,6,25,54,0,0,221,1,210,14,2,33,0,585,0.8877086494688923
274,1,6,9,18,83,1,2,173,5,201,15,0,19,0,533,0.8514376996805112
275,1,15,3,34,57,1,1,229,2,218,30,8,14,0,613,0.8184245660881175
277,2,14,7,40,73,3,2,208,11,264,27,7,18,2,678,0.7829099307159353
279,1,15,5,33,71,2,3,281,3,233,44,4,25,0,720,0.8571428571428571
280,4,15,3,36,75,0,4,294,1,210,32,4,14,0,692,0.8564356435643564
281,0,14,2,28,57,3,0,219,2,167,34,6,15,3,550,0.837138508371385
282,1,20,2,29,58,2,1,178,7,215,21,0,8,3,545,0.7665260196905767
284,0,23,1,22,50,3,2,228,5,212,30,2,10,1,589,0.7863818424566088
286,4,8,2,18,31,1,1,126,5,139,29,5,7,0,376,0.658493870402802
288,3,20,1,21,55,5,3,136,4,165,39,1,9,2,464,0.6657101865136298
291,3,23,5,20,65,1,1,203,3,244,20,5,18,2,613,0.82171581769437
292,2,9,4,26,54,2,6,212,4,209,22,7,13,2,572,0.8056338028169014
294,0,8,5,19,67,1,0,187,7,213,12,3,22,0,544,0.8845528455284553
295,4,9,4,34,82,2,2,207,8,228,31,1,18,1,631,0.8313570487483531
297,1,11,1,28,49,2,2,181,4,239,18,4,25,4,569,0.7859116022099447
299,3,11,2,35,30,2,2,248,2,143,28,1,6,2,515,0.7850609756097561
300,2,6,1,37,65,4,3,266,4,140,36,4,12,1,581,0.8013793103448276
301,3,15,4,36,83,3,2,244,3,237,33,5,17,1,686,0.7580110497237569
303,4,9,4,25,42,3,1,254,9,171,36,5,23,2,588,0.8235294117647058
305,2,28,8,28,62,0,2,251,3,267,13,2,26,1,693,0.8410194174757282
306,1,19,5,18,50,3,1,289,3,199,30,7,16,3,644,0.822477650063857
309,2,14,6,32,45,1,2,287,4,197,29,6,30,1,656,0.8631578947368421
311,0,16,3,47,110,1,1,238,4,260,17,5,23,1,726,0.8412514484356894
313,1,9,1,40,81,3,5,215,8,235,28,4,21,1,652,0.7893462469733656
315,1,9,5,41,56,1,3,242,7,201,21,2,13,0,602,0.8224043715846995
316,2,10,3,24,54,2,4,201,1,198,33,5,12,1,550,0.7198952879581152
317,1,8,2,21,63,1,0,180,1,181,15,6,16,1,496,0.9447619047619048
319,2,17,2,29,80,1,1,229,10,240,46,4,16,2,679,0.8290598290598291
320,1,11,2,25,45,1,3,194,2,183,20,3,18,0,508,0.8300653594771242
321,3,22,3,61,87,5,2,338,3,265,43,1,27,0,860,0.900523560209424
322,0,8,2,37,90,4,1,174,0,250,15,0,29,0,610,0.9104477611940298
323,2,14,2,19,68,1,1,218,1,236,23,3,15,0,603,0.8638968481375359
324,3,17,5,24,58,0,0,213,3,238,21,0,15,0,597,0.9227202472952086
325,1,24,4,34,70,2,2,198,2,242,9,7,32,2,629,0.8442953020134228
326,1,18,2,28,62,0,2,202,2,181,29,2,23,0,552,0.832579185520362
327,0,13,5,30,58,1,1,200,4,199,20,3,17,0,551,0.8677165354330708
329,1,31,1,33,72,3,5,264,5,251,53,8,12,5,744,0.8611111111111112
331,4,15,4,25,79,5,1,254,2,333,23,3,24,3,775,0.8816837315130831
333,0,12,15,18,70,3,0,231,7,297,9,2,15,0,679,0.9017264276228419
334,3,7,7,21,52,2,2,213,3,323,17,2,43,0,695,0.8921694480102695
335,2,11,2,48,98,1,0,292,7,231,34,1,33,1,761,0.8677309007981756
336,1,12,6,25,73,3,0,200,3,313,10,3,21,2,672,0.8924302788844621
337,0,11,1,21,64,2,0,176,4,287,10,2,27,0,605,0.9043348281016442
338,1,12,12,19,91,1,1,163,3,323,10,0,30,2,668,0.9226519337016574
340,2,13,5,40,77,1,1,242,6,241,25,5,23,0,681,0.775626423690205
342,0,12,13,25,81,1,0,239,4,256,22,0,27,0,680,0.8740359897172236
343,0,15,6,36,120,4,4,261,6,226,25,1,34,1,739,0.8369195922989807
345,0,13,8,12,64,2,0,162,3,267,5,0,25,0,561,0.893312101910828
346,1,9,5,18,85,2,1,216,2,300,11,0,34,1,685,0.9206989247311828
348,3,11,2,30,53,4,1,213,10,234,26,4,16,0,607,0.8114973262032086
350,0,9,11,19,103,3,0,245,2,325,8,0,29,0,754,0.9472361809045227
351,1,5,12,12,76,1,1,229,1,277,4,1,34,1,655,0.907202216066482
353,1,19,8,35,59,2,0,238,4,260,18,1,26,0,671,0.8982597054886211
354,3,11,3,22,58,1,0,203,7,219,17,3,17,0,564,0.8281938325991189
357,2,7,6,13,32,0,0,160,6,155,7,1,21,0,410,0.9382151029748284
362,1,12,5,26,72,3,0,218,6,248,12,2,32,0,637,0.9178674351585014
363,4,12,3,29,74,3,2,251,4,275,20,1,18,2,698,0.8553921568627451
364,3,13,7,33,102,0,2,292,5,245,39,4,26,1,772,0.9267707082833133
365,4,19,2,30,85,1,1,222,2,296,28,1,21,1,713,0.8791615289765722
366,3,12,2,49,93,0,2,227,4,204,24,4,22,1,647,0.8672922252010724
367,3,12,6,32,77,2,0,235,7,276,11,1,19,0,681,0.8798449612403101
368,1,6,14,29,73,1,1,220,5,227,21,1,21,0,620,0.8819345661450925
370,0,17,4,41,48,5,1,241,5,163,56,5,16,0,602,0.8852941176470588
371,2,10,1,20,44,0,1,116,3,158,14,1,18,1,389,0.8138075313807531
372,4,17,12,39,96,2,0,289,5,265,19,3,21,0,772,0.9146919431279621
373,3,9,11,14,67,0,2,223,3,244,24,1,22,2,625,0.8704735376044568
375,1,15,8,28,65,1,1,255,5,253,20,3,17,1,673,0.8157575757575758
377,3,15,3,33,106,4,0,210,1,208,30,0,18,0,631,0.8763888888888889
378,3,13,1,23,73,2,1,207,6,253,16,2,19,1,620,0.9131075110456554
379,0,11,7,19,89,2,1,233,0,273,17,2,28,1,683,0.8835705045278137
381,6,13,4,20,82,4,2,189,2,276,20,3,19,1,641,0.8732970027247956
383,5,16,6,55,95,6,5,309,1,334,41,2,28,4,907,0.8012367491166078
384,2,10,3,33,86,2,1,244,2,240,27,2,16,0,668,0.8564102564102564
385,1,8,2,24,62,4,0,163,1,196,20,0,10,1,492,0.8512110726643599
386,0,12,6,37,99,1,2,285,7,259,17,1,16,0,742,0.888622754491018
387,2,12,4,31,71,2,1,244,2,217,24,3,26,0,639,0.8705722070844687
388,0,16,8,32,101,6,0,249,2,248,8,2,18,0,690,0.8571428571428571
389,1,19,8,29,91,0,3,216,5,282,17,2,29,0,702,0.8592411260709915
391,0,10,14,23,90,3,0,202,4,323,7,0,19,0,695,0.8569667077681874
393,1,15,8,16,57,1,2,193,3,318,26,2,15,1,658,0.8371501272264631
394,1,14,1,29,62,3,1,197,2,156,9,2,24,1,502,0.8853615520282186
396,3,20,1,34,76,1,3,232,5,180,22,5,9,2,593,0.8316970546984572
397,1,10,10,12,98,0,0,256,6,242,13,1,36,0,685,0.8793324775353016
399,3,9,7,29,103,1,3,234,6,284,11,2,28,2,722,0.9232736572890026
400,0,14,4,24,97,2,0,224,2,314,9,0,17,2,709,0.8774752475247525
401,1,15,10,34,72,2,2,215,10,224,10,1,14,1,611,0.8404401650618982
402,1,4,2,10,30,0,1,60,2,64,2,0,7,0,183,0.9195979899497487
403,0,13,7,40,69,2,2,214,4,221,22,1,31,0,626,0.8436657681940701
404,0,6,1,7,15,3,0,46,1,75,3,0,1,1,159,0.9814814814814815
406,0,3,7,28,91,3,0,247,1,303,13,2,23,1,722,0.8719806763285024
407,1,15,4,38,70,4,1,205,2,252,21,3,20,1,637,0.848202396804261
409,2,9,7,28,77,2,2,215,3,241,19,1,25,2,633,0.82421875
411,1,13,4,13,70,2,0,185,2,245,19,1,13,3,571,0.8335766423357664
414,3,17,2,32,86,1,3,264,3,257,20,2,25,0,715,0.8794587945879458
415,2,7,5,15,90,0,1,179,4,253,17,1,27,1,602,0.8985074626865671
416,2,10,3,26,66,1,3,195,2,151,20,1,19,1,500,0.7267441860465116
417,2,16,1,29,83,6,2,225,8,180,18,3,18,2,593,0.8447293447293447
418,2,9,9,29,88,2,0,286,6,286,12,3,20,0,752,0.9447236180904522
422,1,13,8,19,42,1,0,126,3,163,1,0,11,2,390,0.851528384279476
423,1,15,11,31,103,2,1,238,4,354,21,1,33,2,817,0.8968166849615807
424,0,4,2,15,53,1,0,140,4,215,10,1,9,0,454,0.8937007874015748
425,1,8,3,19,92,1,1,203,1,342,14,3,29,1,718,0.8703030303030304
426,0,11,3,13,29,0,0,119,1,113,14,2,7,0,312,0.9069767441860465
427,4,13,2,26,83,1,0,135,3,328,15,0,20,0,630,0.9251101321585903
428,1,13,0,31,53,1,3,183,2,188,14,1,15,0,505,0.7940251572327044
430,3,9,6,33,52,2,0,226,3,179,24,3,17,0,557,0.8413897280966768
431,1,12,5,20,73,3,0,206,5,213,11,1,16,0,566,0.8473053892215568
433,3,12,9,40,76,2,0,213,1,289,25,5,17,4,696,0.8518971848225214
435,2,10,6,28,60,2,3,276,7,289,19,1,30,0,733,0.8189944134078212
436,4,8,1,24,61,0,0,153,4,192,8,0,21,0,476,0.8040540540540541
437,1,11,5,17,81,2,1,211,1,288,10,0,20,1,649,0.9026425591098748
438,2,16,6,37,87,1,1,255,2,270,32,8,30,1,748,0.8480725623582767
439,1,19,4,35,108,2,6,202,0,234,8,2,26,1,648,0.8492791612057667
440,1,10,2,22,54,1,0,161,0,172,10,0,17,2,452,0.8810916179337231
441,2,22,6,28,96,4,2,279,3,300,23,2,22,1,790,0.8946772366930917
444,2,10,1,32,76,2,2,224,4,235,12,4,18,4,626,0.8598901098901099
446,3,5,5,20,68,3,1,218,5,236,20,0,29,0,613,0.8871201157742402
447,4,14,0,18,42,0,3,101,3,149,7,1,5,0,347,0.8610421836228288
449,0,3,5,22,74,0,1,195,0,308,7,1,15,0,631,0.8963068181818182
450,0,15,6,26,79,6,4,230,3,250,19,0,31,1,670,0.8200734394124847
451,1,6,1,6,13,0,0,60,0,93,2,0,13,0,195,0.9466019417475728
452,1,10,4,23,70,0,4,214,2,171,17,4,11,2,533,0.7691197691197691
453,0,17,7,32,69,2,3,249,6,224,30,2,20,0,661,0.9706314243759178
454,1,11,9,18,46,3,2,233,1,208,23,5,16,0,576,0.8545994065281899
457,0,22,6,19,93,2,1,256,1,314,12,0,15,2,743,0.8751472320376914
458,3,11,6,29,79,5,1,213,5,281,32,3,16,0,684,0.8769230769230769
460,1,16,5,22,67,4,6,194,12,248,23,5,21,3,627,0.810077519379845
461,1,8,4,17,90,2,2,271,5,244,37,2,20,2,705,0.8524788391777509
462,4,19,2,23,76,5,3,257,3,246,19,2,18,1,678,0.8956406869220608
465,2,15,1,34,90,1,4,265,2,201,17,8,12,0,652,0.8380462724935732
467,2,8,3,29,85,1,2,263,1,198,23,1,13,1,630,0.9064748201438849
468,2,22,5,29,55,2,1,274,6,191,30,6,18,3,644,0.8320413436692506
469,2,11,7,23,58,2,1,216,2,175,10,1,22,0,530,0.8493589743589743
474,0,8,5,34,75,3,1,244,3,188,15,4,16,4,600,0.8152173913043478
477,0,10,9,30,73,0,2,183,3,248,21,0,23,0,602,0.8514851485148515
479,1,22,1,34,103,4,2,260,5,254,26,3,25,2,742,0.8127053669222344
480,1,14,4,29,81,0,2,242,2,253,27,7,24,2,688,0.882051282051282
482,5,19,4,44,101,7,2,259,4,279,41,2,29,4,800,0.9291521486643438
483,3,25,3,34,92,1,1,186,5,265,12,2,22,1,652,0.8434670116429496
484,4,10,2,43,79,0,0,260,5,263,20,2,16,0,704,0.8756218905472637
485,2,12,2,36,101,2,0,193,2,293,25,1,21,2,692,0.8617683686176837
487,0,18,6,40,79,2,0,268,1,280,27,4,32,1,758,0.8239130434782609
488,1,12,3,33,93,2,3,234,6,201,33,3,12,1,637,0.8584905660377359
489,1,17,7,39,115,2,1,256,4,276,34,3,29,1,785,0.8761160714285714
490,0,12,4,16,88,6,1,200,4,225,32,0,16,0,604,0.84593837535014
493,0,20,3,29,106,2,3,215,6,274,15,1,16,0,690,0.8383961117861483
495,2,13,3,32,69,2,0,208,6,205,20,4,15,2,581,0.8160112359550562
498,1,15,2,33,61,7,4,288,1,168,39,2,15,0,636,0.8153846153846154
499,0,5,4,27,69,5,0,267,2,205,30,3,20,2,639,0.8777472527472527
501,1,12,7,15,65,0,2,219,7,294,12,0,23,0,657,0.9049586776859504
