party,OLS_coefficient,p_value,0.01,0.99,country,period,party_name_english,party_name_short,party_name,family_name
Democratic Party,-0.258977540120342,8.905188662368766e-97,-0.2906395213432053,-0.2273155588974787,IT,2,Democratic Party,PD,Partito Democratico,Social democracy
Other,-0.1043617858498344,2.5200885395031906e-36,-0.1256509066389004,-0.0830726650607685,IT,2,,X,ALTRO,
Italy Alive,-0.0973200958484255,6.60489869932092e-31,-0.1189471502518265,-0.0756930414450246,IT,2,Italy Alive,IV,Italia Viva,Liberal
More Europe,-0.0966084029358863,1.728652102848436e-33,-0.1171820987580335,-0.076034707113739,IT,2,More Europe,+EU,+Europa,Liberal
Left,-0.0899379057007523,1.3025518045369282e-26,-0.111585391210147,-0.0682904201913575,IT,2,Left,S,Sinistra,Communist/Socialist
Five Star Movement,-0.0075609628471028,0.5114236756458579,-0.0372253967217068,0.0221034710275012,IT,2,Five Star Movement,M5S,Movimento 5 Stelle,no family
South American Union Italian Emigrants,-0.0074847685265533,0.3340698389783066,-0.0274463230738439,0.0124767860207371,IT,2,South American Union Italian Emigrants,USEI,Unione Sudamericana Emigrati Italiani,Conservative
Union / Centre,-0.0036786877484472,0.6370799971428616,-0.0237661521847325,0.016408776687838,IT,2,Union / Centre,UC,Unione / Centro,Christian democracy
Democratic Centre,-0.0004669701559426,0.9522156425079832,-0.020542280670589,0.0196083403587038,IT,2,,CD,Centro Democratico,
Associative Italians Abroad,0.0037685374197159,0.6269428478515922,-0.0162062629611419,0.0237433378005738,IT,2,Associative Italians Abroad,AIE,Associativo Italiani all'Estero,Special issue
South Tyrol Peoples Party,0.0101837866654864,0.1891255149058676,-0.0097941620746858,0.0301617354056587,IT,2,South Tyrol Peoples Party,SVP,Südtiroler Volkspartei,Special issue
Go Italy -- The People of Freedom,0.0477847253278175,1.2762749068078212e-07,0.0244935177479274,0.0710759329077076,IT,2,Go Italy -- The People of Freedom,FI-PdL,Forza Italia – Il Popolo della Libertà,Conservative
Brothers of Italy,0.0649077882156673,5.775846805853937e-14,0.0426780842360484,0.0871374921952862,IT,2,Brothers of Italy,FdI,Fratelli d'Italia,Right-wing
North League,0.1950590046960707,7.356666309491959e-85,0.1695258454922813,0.2205921638998601,IT,2,North League,LN,Lega Nord,Right-wing
