tile_id,i,j,x,y,people,hc1,hc2,pvhe
322,17,5,17,5,1358,45.8047,6.3656282,-0.07474494832253215
323,18,5,18,5,1520,52.91248,7.6663,-0.060385173774737136
324,19,5,19,5,74,2.5645401,0.28935015,-0.0717227990084387
325,20,5,20,5,1656,59.12769,8.519216,-0.07511174728413206
326,21,5,21,5,1553,55.662136,7.933417,-0.06861324601130779
327,22,5,22,5,168,5.8730283,0.6349161,-0.06705248947680179
328,23,5,23,5,891,31.382671,3.8800123,-0.0651922391959899
329,24,5,24,5,1508,53.650833,7.7168083,-0.06207078528532099
330,25,5,25,5,1298,45.728397,6.6324034,-0.05935035258693394
331,26,5,26,5,2144,74.71809,12.260003,-0.05987084628258034
332,27,5,27,5,1188,38.643555,4.927896,-0.08194090103105608
335,30,5,30,5,212,5.6681542,0.30463988,-0.0799266256296915
336,31,5,31,5,186,4.7851048,0.23807143,-0.0799266256296915
337,32,5,32,5,18,0.44352397,0.01703554,-0.0799266256296915
374,8,6,8,6,321,7.3580484,0.49024072,-0.041421990975529836
375,9,6,9,6,588,14.346118,1.2255297,-0.04604667940714615
376,10,6,10,6,516,13.142882,1.1218921,-0.0381530098881914
377,11,6,11,6,146,3.8345337,0.28185493,-0.03909332700903615
379,13,6,13,6,1028,29.743227,3.102538,-0.05712446620250076
380,14,6,14,6,769,22.852697,2.1691816,-0.056903283043267236
381,15,6,15,6,53,1.6001986,0.113329664,-0.04902141071914583
383,17,6,17,6,403,13.593775,1.4288701,-0.05823516714968642
384,18,6,18,6,1405,50.71683,7.2757397,-0.06721179442151495
385,19,6,19,6,1628,60.63292,9.137033,-0.07570499550759671
386,20,6,20,6,1013,38.141846,5.498635,-0.07547863789767946
387,21,6,21,6,1457,54.76898,7.930749,-0.07101173025853215
388,22,6,22,6,853,31.182611,3.7212858,-0.06892018669024182
389,23,6,23,6,196,7.0498934,0.7418859,-0.07720607726655286
390,24,6,24,6,688,24.746122,2.8859282,-0.07302344935706429
391,25,6,25,6,606,21.688469,2.6429007,-0.06038942359552275
392,26,6,26,6,1824,65.51895,10.040244,-0.06751894827150554
393,27,6,27,6,1226,41.791977,5.492184,-0.08480897785574674
396,30,6,30,6,179,4.9972706,0.274275,-0.0799266256296915
397,31,6,31,6,168,4.506264,0.22990647,-0.0799266256296915
398,32,6,32,6,45,1.1557382,0.04778941,-0.08958786031390316
436,9,7,9,7,68,1.6336149,0.08487147,-0.039814131734448706
440,13,7,13,7,128,3.641282,0.2348337,-0.040126900864306286
445,18,7,18,7,952,34.623764,4.2247405,-0.06608999523827075
446,19,7,19,7,844,32.21852,4.4414296,-0.07913385622917159
447,20,7,20,7,1438,55.779743,8.046487,-0.07879096031205254
448,21,7,21,7,796,30.312548,3.7222586,-0.07214739563012723
449,22,7,22,7,180,6.6759467,0.6666314,-0.0819327930385051
450,23,7,23,7,1092,40.36223,4.537085,-0.06869229214239272
451,24,7,24,7,485,17.60393,1.7636682,-0.07637513558998989
452,25,7,25,7,165,5.8828006,0.5446275,-0.06533733366819347
453,26,7,26,7,452,16.04382,1.7163131,-0.06735662412854765
454,27,7,27,7,1163,40.36015,4.7520695,-0.07386445619456888
457,30,7,30,7,39,1.1305606,0.057883058,-0.0799196014997443
458,31,7,31,7,51,1.4193016,0.06769219,-0.08056523483535498
459,32,7,32,7,21,0.5611252,0.023805184,-0.09642325148049409
460,33,7,33,7,5,0.12851928,0.0048662736,-0.097738342111358
463,36,7,36,7,1,0.02319577,0.0007199995,-0.09733630508788849
464,37,7,37,7,10,0.22483431,0.006807398,-0.09287601907901144
465,38,7,38,7,40,0.8718788,0.025860516,-0.08536529971487002
466,39,7,39,7,5,0.105494745,0.002756554,-0.083741110526349
467,40,7,40,7,1,0.020458754,0.0004914551,-0.083741110526349
506,18,8,18,8,275,10.048067,1.000039,-0.04757511434964295
507,19,8,19,8,2159,84.73845,12.7734165,-0.0716458462608121
508,20,8,20,8,856,33.621723,4.2996073,-0.06733302541037636
509,21,8,21,8,444,17.057741,1.7733963,-0.07917263490127577
510,22,8,22,8,73,2.7447758,0.23697333,-0.08249095486382742
511,23,8,23,8,202,7.538663,0.66708225,-0.08246736699843077
512,24,8,24,8,201,7.389775,0.63380754,-0.0824934262632841
513,25,8,25,8,125,4.5004015,0.3577169,-0.07626662619659061
