SEZIONE,Casini Presidente - Unione di Centro,Il Popolo della Liberta',Italia dei Valori - Lista Di Pietro,La Destra - Fiamma Tricolore,La Sinistra L'Arcobaleno,Lega Nord,M.E.D.A. Movimento Europeo Diversamente Abili,Partito Comunista dei Lavoratori,Partito Democratico - Veltroni,Partito Liberale Italiano,Partito Socialista - Boselli,Per il Bene Comune,Sinistra Critica,Unione Democratica per i Consumatori,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
296,23,127,21,13,36,7,0,2,360,1,7,1,6,0,3,2,19,628,604,753.0,604,0.8021248339973439
297,16,140,26,19,45,13,0,3,328,2,7,1,4,4,3,0,11,622,608,739.0,608,0.8227334235453315
298,36,158,32,15,45,6,0,4,333,1,7,2,8,1,3,0,11,662,648,771.0,648,0.8404669260700389
299,36,144,35,14,24,9,1,3,353,3,9,3,6,2,4,0,9,655,642,783.0,642,0.8199233716475096
300,21,132,22,13,30,1,1,2,385,3,10,0,5,0,2,0,14,641,625,766.0,625,0.8159268929503917
301,30,193,28,21,41,10,1,6,367,3,6,2,7,4,3,0,14,736,719,889.0,719,0.8087739032620922
302,18,158,39,13,35,9,0,4,388,1,4,1,1,0,2,0,8,681,671,801.0,671,0.8377028714107366
303,23,162,25,10,36,9,1,1,266,1,5,2,2,1,3,0,17,564,544,737.0,544,0.7381275440976933
304,47,179,28,10,53,5,2,5,369,2,6,2,1,3,5,0,12,729,712,826.0,712,0.8619854721549637
305,21,154,34,13,29,9,2,3,314,1,3,2,2,2,1,0,13,603,589,710.0,589,0.8295774647887324
306,36,177,25,12,40,7,0,1,383,4,9,1,1,2,4,0,8,710,698,838.0,698,0.8329355608591885
307,26,162,21,18,50,16,0,11,456,2,12,2,4,1,5,0,13,799,781,934.0,781,0.8361884368308351
308,18,116,23,13,41,3,2,7,347,5,5,3,1,4,3,0,14,605,588,761.0,588,0.7726675427069645
309,22,122,21,8,36,5,3,7,344,0,6,1,3,2,4,0,12,596,580,766.0,580,0.7571801566579635
310,14,193,25,18,20,6,1,1,262,1,10,2,0,1,3,1,10,568,554,678.0,554,0.8171091445427728
311,14,152,20,16,33,11,3,11,219,3,7,1,2,1,5,0,11,509,493,690.0,493,0.7144927536231884
312,17,120,16,11,36,7,2,2,276,3,11,1,1,1,1,0,18,523,504,642.0,504,0.7850467289719626
313,17,126,21,6,34,4,0,4,295,0,8,1,6,1,4,1,9,537,523,679.0,523,0.7702503681885126
314,35,229,41,13,33,10,1,3,250,6,9,1,1,2,2,0,12,648,634,721.0,634,0.8793342579750347
315,17,147,19,14,32,5,1,7,213,2,5,0,3,1,2,1,10,479,466,614.0,466,0.758957654723127
316,29,166,27,17,24,11,2,8,313,0,2,4,7,3,1,0,11,625,613,828.0,613,0.7403381642512077
317,14,148,19,14,28,14,1,7,311,2,11,3,4,1,2,0,6,585,577,756.0,577,0.7632275132275133
318,24,198,26,8,37,8,4,7,279,1,10,1,3,1,2,0,15,624,607,747.0,607,0.8125836680053548
319,17,184,39,13,27,11,0,0,269,2,4,1,1,2,6,0,10,586,570,685.0,570,0.8321167883211679
320,34,165,34,14,23,12,1,2,288,1,11,5,4,4,1,0,8,607,598,691.0,598,0.8654124457308249
321,22,192,26,8,24,11,0,3,280,1,5,0,2,2,4,0,9,589,576,701.0,576,0.8216833095577746
322,20,228,34,16,27,12,2,1,256,1,7,1,1,0,2,0,5,613,606,728.0,606,0.8324175824175825
323,9,142,34,17,49,6,3,11,280,1,6,1,1,2,3,0,11,576,562,711.0,562,0.790436005625879
324,21,132,34,16,29,5,1,5,264,2,4,3,5,3,4,0,10,538,524,675.0,524,0.7762962962962963
325,26,202,17,6,15,16,1,4,239,2,3,0,0,0,1,0,14,546,531,650.0,531,0.816923076923077
326,18,191,25,19,39,8,1,4,246,1,4,2,6,2,7,0,14,587,566,747.0,566,0.7576974564926372
327,30,233,38,18,35,5,0,1,270,1,3,2,2,0,10,0,2,650,638,775.0,638,0.8232258064516129
328,40,189,31,16,37,6,1,4,323,2,6,0,1,2,1,0,14,673,658,826.0,658,0.7966101694915254
329,28,187,35,11,26,10,0,4,300,3,12,1,3,0,5,0,7,632,620,769.0,620,0.8062418725617685
330,27,136,30,20,25,6,1,5,300,0,10,0,3,1,11,0,33,608,564,740.0,564,0.7621621621621621
331,23,187,17,16,19,9,2,5,316,3,3,3,2,2,6,0,11,624,607,737.0,607,0.8236092265943012
332,31,183,34,8,23,6,1,1,285,0,5,3,0,2,7,0,8,597,582,721.0,582,0.8072122052704577
333,14,140,32,9,41,4,2,2,300,3,10,1,2,2,2,0,11,575,562,679.0,562,0.8276877761413843
334,35,193,26,5,33,5,1,5,265,2,5,2,2,2,7,0,13,601,581,702.0,581,0.8276353276353277
335,23,150,36,12,44,4,0,4,297,2,3,1,1,1,3,0,14,595,578,711.0,578,0.8129395218002813
336,24,230,24,15,33,13,1,7,257,1,6,3,1,2,3,0,15,635,617,738.0,617,0.8360433604336044
337,34,211,28,14,23,3,2,10,327,2,6,0,2,0,8,0,10,680,662,822.0,662,0.805352798053528
338,25,184,26,14,38,6,2,4,314,3,11,2,1,1,4,1,10,646,631,745.0,631,0.8469798657718121
339,31,137,21,12,33,6,1,3,296,1,2,1,5,3,2,0,8,562,552,725.0,552,0.7613793103448275
340,19,133,28,8,23,5,4,2,307,1,8,1,3,1,5,0,9,557,543,703.0,543,0.7724039829302988
341,40,178,31,15,41,7,0,4,351,1,5,2,2,0,5,0,15,697,677,832.0,677,0.8137019230769231
342,29,208,47,12,38,7,4,3,371,4,7,3,1,6,3,0,19,762,740,904.0,740,0.8185840707964602
343,32,155,37,6,52,6,0,7,359,0,4,2,4,2,2,0,11,679,666,754.0,666,0.883289124668435
344,31,163,28,12,39,6,1,3,338,5,6,1,1,1,1,0,9,645,635,815.0,635,0.7791411042944786
345,25,225,31,21,31,5,0,4,342,2,6,2,4,1,4,0,20,723,699,875.0,699,0.7988571428571428
346,26,133,28,8,47,15,1,7,382,2,3,4,4,2,6,0,14,682,662,806.0,662,0.8213399503722084
347,26,195,32,12,57,7,4,7,376,2,8,1,8,1,2,0,19,757,736,934.0,736,0.7880085653104925
348,23,167,36,15,40,10,3,4,402,0,11,2,4,4,5,0,22,748,721,918.0,721,0.7854030501089324
349,23,189,26,25,32,16,1,5,357,0,7,5,0,0,4,0,11,701,686,857.0,686,0.8004667444574096
350,27,127,30,22,53,8,0,5,390,1,8,2,7,2,1,0,17,700,682,835.0,682,0.8167664670658683
351,12,170,24,19,43,7,3,7,310,4,6,3,2,2,7,1,13,633,612,769.0,612,0.7958387516254877
352,13,146,25,11,47,7,2,2,356,2,3,2,4,2,3,0,19,644,622,775.0,622,0.8025806451612904
353,19,158,14,12,30,8,2,6,204,3,6,3,2,1,4,0,7,479,468,684.0,468,0.6842105263157895
354,3,13,0,1,1,0,0,0,14,1,0,0,0,0,0,0,2,35,33,,33,
355,4,34,3,0,3,1,1,2,56,0,2,0,2,0,0,0,2,110,108,,108,
356,5,40,6,5,1,2,0,0,64,0,4,0,1,1,3,0,3,135,129,,129,
357,2,8,1,2,4,0,0,1,23,0,1,0,0,0,0,0,3,45,42,,42,
358,3,18,2,2,2,0,0,1,30,0,0,0,0,0,0,0,2,60,58,,58,
359,2,31,7,1,5,3,0,3,53,1,1,0,0,0,1,0,1,109,107,,107,
360,5,41,3,2,3,1,0,4,62,1,1,2,1,0,0,0,5,131,126,,126,
361,2,18,0,2,10,1,0,1,36,1,2,0,1,0,1,0,0,75,74,,74,
362,1,26,4,2,10,0,1,2,43,0,0,0,0,1,1,0,1,92,90,,90,
