SEZIONE,Casini Presidente - Unione di Centro,Il Popolo della Liberta',Italia dei Valori - Lista Di Pietro,La Destra - Fiamma Tricolore,La Sinistra L'Arcobaleno,Lega Nord,M.E.D.A. Movimento Europeo Diversamente Abili,Partito Comunista dei Lavoratori,Partito Democratico - Veltroni,Partito Liberale Italiano,Partito Socialista - Boselli,Per il Bene Comune,Sinistra Critica,Unione Democratica per i Consumatori,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
253,18,150,28,11,51,5,3,6,322,1,8,0,1,1,1,0,14,620,605,761.0,605,0.7950065703022339
254,30,190,35,14,41,15,1,2,305,1,5,4,3,1,6,0,13,666,647,810.0,647,0.7987654320987654
255,21,214,41,12,32,12,1,3,346,1,4,1,3,1,6,0,9,707,692,832.0,692,0.8317307692307693
256,19,189,34,11,39,8,2,2,318,3,4,3,1,2,2,0,9,646,635,775.0,635,0.8193548387096774
257,28,189,41,18,34,7,2,1,297,0,3,4,3,1,7,0,8,643,628,761.0,628,0.8252299605781866
258,30,207,39,14,38,7,1,3,346,2,2,4,3,1,8,0,15,720,697,843.0,697,0.8268090154211151
259,16,147,29,6,45,8,1,3,290,3,8,1,2,1,3,2,10,575,560,714.0,560,0.7843137254901961
260,16,131,35,8,50,11,0,2,275,2,9,2,1,3,2,0,9,556,545,661.0,545,0.8245083207261724
261,32,198,40,4,36,4,1,6,263,0,3,1,1,0,4,0,12,605,589,726.0,589,0.8112947658402204
262,27,243,34,18,28,10,2,1,268,5,7,3,0,3,1,0,12,662,649,769.0,649,0.8439531859557867
263,48,237,30,12,39,10,0,2,337,4,2,0,5,3,4,0,12,745,729,874.0,729,0.834096109839817
264,35,247,31,7,33,9,0,3,336,1,2,2,1,0,6,0,5,718,707,865.0,707,0.8173410404624277
265,21,172,37,11,30,6,2,5,300,0,12,2,2,0,5,0,18,623,600,755.0,600,0.7947019867549668
266,27,216,40,6,28,14,0,0,270,1,5,0,2,1,3,0,11,624,610,745.0,610,0.8187919463087249
