SEZIONE,+EUROPA,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,TOTALE
175,34,65,91,23,168,4,11,10,24,47,3,180,11,671
176,16,29,37,10,66,1,5,2,14,53,0,150,9,392
177,19,14,95,26,135,1,7,5,8,25,3,60,6,404
178,26,47,95,36,145,1,11,6,22,36,3,150,15,593
179,27,47,81,11,96,4,10,9,13,55,4,187,17,561
180,25,33,88,25,93,1,10,3,13,27,0,113,14,445
181,17,32,71,8,107,1,4,14,13,29,1,109,6,412
182,12,22,41,8,37,0,5,6,9,18,1,111,4,274
183,28,39,75,21,98,2,5,16,17,38,1,199,20,559
184,14,21,63,18,97,1,7,10,23,43,1,132,9,439
185,17,54,102,21,106,3,9,18,18,57,1,207,17,630
186,16,43,55,9,77,1,5,3,20,49,2,158,18,456
187,25,50,78,24,117,0,3,7,28,56,2,224,21,635
188,16,32,76,15,131,2,8,11,14,35,0,155,19,514
189,27,49,55,14,67,1,11,9,13,57,1,171,16,491
190,19,42,35,9,52,1,10,8,18,50,1,121,16,382
191,27,46,63,14,82,0,5,5,11,62,3,139,20,477
192,7,31,42,17,99,1,10,16,17,47,2,99,15,403
193,29,56,59,11,81,0,6,6,23,58,4,140,18,491
194,26,73,58,10,97,2,3,16,17,63,5,127,16,513
195,38,47,90,24,113,3,8,11,19,60,1,212,13,639
196,24,58,74,29,129,1,14,19,22,57,12,193,13,645
197,18,48,81,22,91,0,4,8,13,47,3,171,19,525
198,19,40,77,26,116,2,9,3,18,37,1,172,14,534
199,24,54,64,20,91,2,10,11,18,60,0,177,13,544
200,19,43,74,9,122,0,12,9,21,42,1,178,19,549
201,18,39,76,24,129,0,9,11,18,47,0,171,18,560
202,17,30,62,17,113,4,7,3,18,47,3,160,7,488
203,23,43,83,10,135,2,4,12,19,69,5,229,22,656
204,21,29,61,25,130,3,17,16,27,71,1,214,24,639
205,23,23,100,21,108,5,9,7,17,26,0,183,2,524
206,36,38,75,32,146,4,10,11,20,44,6,236,14,672
207,27,37,54,23,132,1,8,14,20,75,6,245,16,658
208,17,32,64,32,124,2,12,13,14,83,0,166,9,568
209,17,40,60,11,140,0,6,15,30,76,2,190,22,609
210,36,46,90,22,155,5,18,14,42,101,0,254,23,806
211,26,44,65,9,112,3,6,14,20,69,0,180,18,566
212,19,24,57,14,98,1,6,4,17,42,1,177,4,464
213,24,32,62,24,102,1,7,9,20,60,7,146,11,505
214,13,21,62,17,106,1,4,4,27,43,1,153,4,456
215,20,40,53,15,84,0,8,5,11,46,1,143,10,436
216,27,47,49,13,86,0,10,4,16,72,1,200,13,538
217,25,35,57,21,81,2,13,11,17,42,1,140,7,452
218,17,32,43,16,94,3,15,9,21,45,1,142,16,454
219,17,44,54,15,68,0,13,12,20,50,2,133,17,445
220,17,63,39,14,87,0,4,11,19,70,1,157,23,505
221,17,64,42,5,70,2,13,16,14,65,1,189,25,523
222,14,54,54,11,68,4,15,13,14,65,0,156,22,490
223,14,41,27,11,85,2,13,12,18,53,0,131,9,416
224,20,35,52,22,111,1,6,16,20,53,0,143,15,494
225,24,35,46,9,100,1,2,10,27,73,0,140,11,478
226,21,44,48,14,70,3,7,11,26,60,0,131,7,442
227,13,41,45,15,52,1,6,7,10,58,1,135,9,393
228,26,41,61,12,81,2,4,10,12,62,0,159,11,481
229,11,42,55,16,89,1,14,11,18,61,1,195,8,522
230,17,51,72,11,103,0,4,11,25,73,6,178,5,556
231,10,30,84,25,85,1,4,9,26,68,3,160,3,508
232,19,37,50,10,76,0,5,8,22,33,4,173,4,441
233,10,27,27,17,60,4,7,6,37,43,0,79,4,321
234,8,33,34,12,61,2,13,12,26,64,1,137,14,417
235,1,17,24,19,92,0,11,8,29,48,0,100,5,354
236,5,17,19,15,86,5,7,4,24,45,0,100,10,337
237,4,16,25,34,90,1,9,4,20,69,2,107,9,390
238,16,25,51,19,87,4,8,7,23,81,1,172,7,501
239,8,36,38,15,68,6,5,3,10,48,3,215,8,463
240,28,27,43,12,121,1,14,13,31,49,4,168,2,513
241,22,32,63,16,117,0,9,7,40,102,6,212,14,640
242,8,15,57,18,106,2,5,18,28,45,0,132,8,442
243,16,35,56,19,115,3,11,5,37,62,1,127,15,502
244,13,25,38,16,110,1,2,8,31,85,0,148,12,489
245,18,48,85,38,117,2,7,12,51,89,0,202,14,683
246,22,42,60,14,117,1,7,6,28,72,3,215,16,603
247,12,26,64,17,106,1,6,8,24,37,0,151,11,463
248,15,32,50,7,91,4,17,20,30,52,1,158,9,486
249,18,22,47,20,97,2,4,7,33,41,1,153,6,451
250,25,35,67,21,145,9,13,7,28,81,3,228,11,673
251,28,33,35,32,152,2,16,12,23,84,3,124,7,551
252,16,37,65,28,109,1,12,14,34,68,0,191,17,592
253,16,39,42,5,61,1,22,7,17,71,0,140,27,448
254,29,48,58,18,90,2,5,7,11,54,2,151,14,489
255,29,37,92,21,109,5,4,6,15,52,3,202,10,585
256,13,43,67,12,87,2,8,6,16,49,2,189,9,503
257,14,40,65,6,83,1,12,4,9,65,4,171,12,486
258,30,55,65,16,91,2,10,10,32,67,2,170,15,565
259,16,47,66,6,62,0,11,3,23,63,1,154,14,466
260,25,37,50,20,80,0,6,9,21,50,2,128,9,437
261,17,34,81,17,87,0,7,7,17,54,2,137,9,469
262,28,50,74,22,102,1,4,11,14,57,0,163,15,541
263,24,49,96,20,120,0,9,14,19,47,11,209,25,643
264,34,36,86,24,107,2,8,5,17,41,0,198,18,576
265,33,46,60,19,90,1,4,9,26,57,1,129,20,495
266,29,61,54,20,107,2,11,5,14,54,2,174,23,556
267,28,40,81,11,89,1,8,11,15,61,3,163,20,531
268,24,42,74,21,72,2,1,9,23,60,1,137,21,487
269,38,52,58,14,99,3,6,11,22,54,3,198,21,579
270,37,49,84,16,79,4,8,7,23,60,6,188,13,574
271,27,52,89,16,84,2,9,7,15,60,3,185,24,573
272,29,64,81,21,69,0,6,4,14,48,2,170,20,528
273,25,50,70,10,89,2,7,7,14,35,1,144,15,469
274,29,43,116,25,121,3,8,4,14,46,3,129,21,562
275,28,41,86,28,83,0,5,6,19,33,3,162,12,506
276,29,46,108,21,119,2,2,4,21,51,4,156,20,583
277,40,52,78,22,144,4,9,5,14,45,6,134,10,563
278,34,41,101,30,133,1,5,4,12,37,4,164,14,580
279,21,24,62,13,101,1,4,5,10,28,1,66,6,342
280,12,13,52,7,64,0,3,4,6,16,0,67,6,250
281,18,24,85,9,103,1,1,7,19,38,0,94,7,406
282,14,22,96,6,82,0,3,8,9,25,5,80,6,356
283,18,21,89,15,64,1,4,10,13,27,13,107,4,386
284,28,37,66,10,90,1,6,7,13,49,4,171,25,507
285,23,60,89,17,58,1,6,11,16,39,4,162,20,506
286,18,40,56,16,63,1,4,2,8,61,0,175,19,463
287,21,50,52,14,73,1,9,4,14,68,2,201,27,536
288,22,43,86,17,116,2,7,9,20,53,2,146,17,540
289,19,32,62,13,88,3,5,14,14,59,3,128,14,454
290,18,50,36,19,83,1,1,4,10,49,1,122,9,403
291,26,34,52,18,66,1,6,2,23,38,1,224,10,501
292,13,29,45,14,65,6,1,6,21,50,0,139,23,412
293,13,29,58,8,74,1,6,4,18,26,0,89,23,349
294,23,44,42,14,54,2,5,6,9,34,1,131,10,375
295,26,42,51,18,91,3,4,4,22,65,1,183,12,522
296,22,46,49,15,98,6,8,13,11,54,2,181,15,520
297,17,46,51,9,86,2,12,8,9,64,2,163,12,481
298,11,40,53,17,92,3,6,3,14,47,2,150,17,455
299,24,43,51,6,71,0,3,10,26,41,1,188,11,475
300,11,33,74,13,79,1,6,9,18,54,0,176,15,489
301,27,52,67,26,92,0,1,4,23,69,1,177,14,553
302,20,42,80,15,102,2,6,7,29,60,2,189,14,568
303,17,33,38,13,80,0,10,6,23,66,0,119,27,432
304,22,34,78,20,76,3,11,6,18,56,2,217,19,562
305,17,55,50,11,105,5,6,17,29,76,2,170,26,569
306,32,72,98,16,126,2,5,7,20,71,1,189,22,661
307,32,61,75,9,124,2,11,7,26,73,2,253,25,700
308,15,54,33,19,71,3,9,9,16,80,2,155,20,486
309,14,32,51,31,179,3,4,1,39,93,0,139,22,608
310,13,19,41,22,109,4,7,7,20,67,4,114,11,438
311,7,15,32,8,89,1,8,5,19,32,0,75,19,310
312,14,31,35,9,89,4,9,4,29,47,1,110,13,395
313,10,20,34,13,52,1,9,11,20,47,0,95,14,326
314,30,11,83,21,121,5,9,9,36,56,1,180,9,571
315,8,20,29,15,69,0,5,13,18,38,1,92,10,318
316,16,37,55,9,107,1,11,8,27,70,3,136,12,492
317,23,47,66,21,110,3,7,11,17,53,2,180,5,545
318,29,52,85,15,123,1,6,8,19,94,1,195,31,659
319,25,42,63,26,105,2,3,4,18,62,8,165,7,530
320,22,40,61,12,96,0,10,8,16,57,3,183,9,517
321,16,33,86,21,111,0,5,10,28,63,4,143,13,533
322,30,23,97,40,124,3,5,6,37,64,2,170,13,614
323,17,39,34,17,88,1,9,8,19,54,1,154,10,451
324,15,41,42,16,114,1,5,8,24,53,0,131,10,460
325,16,9,30,21,112,1,5,3,23,35,5,117,7,384
326,14,14,19,5,102,2,8,12,15,39,0,76,5,311
327,17,25,61,15,91,5,10,11,24,60,4,144,11,478
328,21,29,68,19,100,1,14,7,28,82,1,149,9,528
329,21,26,35,26,94,7,7,8,24,65,4,176,8,501
330,13,19,64,15,84,2,11,6,13,53,1,143,5,429
331,8,17,62,23,110,2,7,5,21,44,0,139,6,444
332,18,24,70,23,89,2,10,12,31,52,1,144,9,485
333,18,36,56,18,66,1,5,6,25,48,0,138,18,435
334,17,27,73,21,123,3,7,8,25,54,1,129,11,499
335,14,23,41,21,89,3,9,14,27,52,0,148,11,452
336,13,28,66,20,115,0,6,7,30,56,3,129,10,483
337,17,26,71,19,104,4,10,9,15,32,2,130,6,445
338,14,31,64,29,118,5,10,12,17,61,0,142,10,513
339,8,31,44,16,80,2,6,3,20,39,3,116,13,381
340,12,28,38,23,81,1,14,6,39,38,1,158,14,453
341,22,28,57,21,113,0,8,7,26,61,1,142,11,497
342,26,42,64,13,123,1,17,5,33,73,1,185,16,599
343,14,24,63,21,84,3,7,5,18,62,3,197,10,511
344,17,30,77,19,104,3,6,7,25,58,1,161,11,519
345,13,39,67,24,132,4,10,13,45,86,1,177,12,623
346,16,33,40,15,125,3,10,9,42,105,1,213,18,630
347,21,30,53,29,147,5,9,18,40,95,2,192,14,655
348,13,26,56,18,89,3,6,9,60,68,0,160,14,522
349,8,23,53,27,115,1,16,9,28,68,2,164,10,524
350,13,32,46,13,131,3,7,6,20,75,0,189,19,554
351,19,20,50,32,74,2,4,4,33,71,0,135,7,451
352,7,25,23,16,90,2,9,6,20,35,0,142,9,384
353,7,12,17,25,111,6,10,6,30,77,1,67,4,373
354,25,30,53,28,129,2,18,15,41,78,1,183,9,612
355,5,9,10,3,21,0,3,1,2,7,0,30,2,93
356,4,3,6,3,20,0,1,1,3,5,0,25,1,72
357,3,7,13,1,17,0,1,1,4,9,0,33,2,91
358,9,11,16,8,35,0,1,4,7,13,1,59,2,166
359,3,2,4,0,4,0,0,0,2,2,0,15,0,32
360,3,2,10,3,14,0,0,0,5,8,1,28,2,76
